"","Influencer","Frequency","Percentage"
"1","rachelbotsman",82,32.8
"2","roorogers",39,15.6
"3","adamthierer",19,7.6
"4","arunsundararajan",19,7.6
"5","janelleorsi",18,7.2
"6","julietschor",12,4.8
"7","aligheitasy",11,4.4
"8","jeremiahowyang",9,3.6
"9","laurenanderson",8,3.2
"10","laurapiscicelli",6,2.4
"11","airilampinen",5,2
"12","ronlieber",5,2
"13","miltonfriedman",4,1.6
"14","markscott",3,1.2
"15","francoiacomella",2,0.8
"16","michelbauwens",2,0.8
"17","derekthompson",1,0.4
"18","friedrichchasin",1,0.4
"19","haraldheinrichs",1,0.4
"20","heikogrunenberg",1,0.4
"21","mikeisaac",1,0.4
"22","sophiecurtis",1,0.4
