"","Company","Frequency","Percentage"
"1","airbnb",312,42.7397260273973
"2","thredup",51,6.98630136986301
"3","lyft",42,5.75342465753425
"4","peerby",30,4.10958904109589
"5","taskrabbit",30,4.10958904109589
"6","via",28,3.83561643835616
"7","zipcar",25,3.42465753424658
"8","relayrides",20,2.73972602739726
"9","couchsurfing",14,1.91780821917808
"10","craigslist",12,1.64383561643836
"11","prosper",11,1.50684931506849
"12","twice",9,1.23287671232877
"13","tilt",8,1.0958904109589
"14","homeaway",7,0.958904109589041
"15","kickstarter",7,0.958904109589041
"16","gone",6,0.821917808219178
"17","blablacar",5,0.684931506849315
"18","flightcar",5,0.684931506849315
"19","liquidspace",5,0.684931506849315
"20","zopa",5,0.684931506849315
"21","chegg",4,0.547945205479452
"22","circle",4,0.547945205479452
"23","favor",4,0.547945205479452
"24","sidecar",4,0.547945205479452
"25","uber",4,0.547945205479452
"26","button",3,0.410958904109589
"27","etsy",3,0.410958904109589
"28","gazelle",3,0.410958904109589
"29","roomorama",3,0.410958904109589
"30","skillshare",3,0.410958904109589
"31","dogvacay",2,0.273972602739726
"32","edufire",2,0.273972602739726
"33","getable",2,0.273972602739726
"34","gigwalk",2,0.273972602739726
"35","grubwithus",2,0.273972602739726
"36","jayride",2,0.273972602739726
"37","leap",2,0.273972602739726
"38","pivotdesk",2,0.273972602739726
"39","udemy",2,0.273972602739726
"40","wello",2,0.273972602739726
"41","zozi",2,0.273972602739726
"42","99designs",1,0.136986301369863
"43","airtasker",1,0.136986301369863
"44","airtime",1,0.136986301369863
"45","alfred",1,0.136986301369863
"46","artsicle",1,0.136986301369863
"47","artsy",1,0.136986301369863
"48","bixi",1,0.136986301369863
"49","bookrenter",1,0.136986301369863
"50","cherry",1,0.136986301369863
"51","crowdcube",1,0.136986301369863
"52","crowdflower",1,0.136986301369863
"53","deskwanted",1,0.136986301369863
"54","eatwith",1,0.136986301369863
"55","floqq",1,0.136986301369863
"56","frents",1,0.136986301369863
"57","fundingcircle",1,0.136986301369863
"58","getaround",1,0.136986301369863
"59","getmaid",1,0.136986301369863
"60","gidsy",1,0.136986301369863
"61","glovico",1,0.136986301369863
"62","gobble",1,0.136986301369863
"63","gocarshare",1,0.136986301369863
"64","homejoy",1,0.136986301369863
"65","kiva",1,0.136986301369863
"66","lendingclub",1,0.136986301369863
"67","livemocha",1,0.136986301369863
"68","myngle",1,0.136986301369863
"69","onefinestay",1,0.136986301369863
"70","poshmark",1,0.136986301369863
"71","quickflix",1,0.136986301369863
"72","quirky",1,0.136986301369863
"73","redbeacon",1,0.136986301369863
"74","rentstuff",1,0.136986301369863
"75","rover",1,0.136986301369863
"76","sidetour",1,0.136986301369863
"77","swapnetcycler",1,0.136986301369863
"78","turningart",1,0.136986301369863
"79","vayable",1,0.136986301369863
"80","whipcar",1,0.136986301369863
"81","zaarly",1,0.136986301369863
"82","zookal",1,0.136986301369863
