"","Influencer","Frequency","Percentage"
"1","rachelbotsman",16,23.8805970149254
"2","aligheitasy",10,14.9253731343284
"3","julietschor",8,11.9402985074627
"4","arunsundararajan",6,8.95522388059701
"5","laurapiscicelli",6,8.95522388059701
"6","jeremiahowyang",5,7.46268656716418
"7","roorogers",5,7.46268656716418
"8","adamthierer",4,5.97014925373134
"9","airilampinen",3,4.47761194029851
"10","miltonfriedman",2,2.98507462686567
"11","heikogrunenberg",1,1.49253731343284
"12","janelleorsi",1,1.49253731343284
