"","Word","Frequency","Percentage"
"1","sharing",1154,0.793814574820807
"2","2014",775,0.533107708393523
"3","sharingeconomy",729,0.50146518634694
"4","new",689,0.473949949784693
"5","can",669,0.46019233150357
"6","social",657,0.451937760534896
"7","goods",621,0.427174047628875
"8","people",562,0.386589073699561
"9","also",550,0.378334502730887
"10","business",541,0.372143574504382
"11","research",487,0.334998005145349
"12","users",482,0.331558600575068
"13","platforms",476,0.327431315090731
"14","platform",457,0.314361577723664
"15","2013",441,0.303355483098766
"16","one",441,0.303355483098766
"17","will",434,0.298540316700373
"18","use",406,0.2792796511068
"19","tourism",395,0.271712961052183
"20","economy",390,0.268273556481902
"21","may",389,0.267585675567846
"22","market",384,0.264146270997565
"23","economic",378,0.260018985513228
"24","community",375,0.257955342771059
"25","airbnb",363,0.249700771802386
"26","model",359,0.246949248146161
"27","services",354,0.24350984357588
"28","data",339,0.233191629865038
"29","online",332,0.228376463466645
"30","collaborativeconsumption",314,0.215994607013634
"31","models",312,0.214618845185521
"32","time",310,0.213243083357409
"33","case",308,0.211867321529297
"34","peertopeer",305,0.209803678787128
"35","companies",304,0.209115797873072
"36","many",304,0.209115797873072
"37","e28093",303,0.208427916959016
"38","different",294,0.202236988732511
"39","value",289,0.19879758416223
"40","consumption",285,0.196046060506005
"41","available",274,0.188479370451387
"42","service",272,0.187103608623275
"43","information",271,0.186415727709219
"44","lyft",268,0.18435208496705
"45","2012",261,0.179536918568657
"46","2010",259,0.178161156740545
"47","study",258,0.177473275826489
"48","company",255,0.17540963308432
"49","like",255,0.17540963308432
"50","systems",255,0.17540963308432
"51","trust",245,0.168530823943759
"52","however",244,0.167842943029703
"53","two",239,0.164403538459422
"54","system",238,0.163715657545366
"55","public",231,0.158900491146973
"56","car",219,0.150645920178299
"57","consumer",217,0.149270158350186
"58","number",217,0.149270158350186
"59","accessed",216,0.14858227743613
"60","costs",215,0.147894396522074
"61","first",212,0.145830753779906
"62","exchange",210,0.144454991951793
"63","group",208,0.143079230123681
"64","share",207,0.142391349209625
"65","city",204,0.140327706467456
