"","Company","Frequency","Percentage"
"1","airbnb",3153,18.46018735363
"2","uber",2941,17.2189695550351
"3","via",1826,10.6908665105386
"4","lyft",887,5.19320843091335
"5","zipcar",840,4.91803278688525
"6","taskrabbit",623,3.64754098360656
"7","relayrides",349,2.04332552693208
"8","couchsurfing",282,1.65105386416862
"9","kickstarter",276,1.61592505854801
"10","gone",270,1.5807962529274
"11","button",266,1.55737704918033
"12","craigslist",264,1.54566744730679
"13","etsy",235,1.37587822014052
"14","circle",198,1.15925058548009
"15","getaround",197,1.15339578454333
"16","instacart",178,1.04215456674473
"17","twice",152,0.889929742388759
"18","favor",148,0.866510538641686
"19","sidecar",142,0.831381733021077
"20","zopa",134,0.784543325526932
"21","angellist",131,0.766978922716628
"22","blablacar",131,0.766978922716628
"23","maven",129,0.755269320843091
"24","prosper",107,0.626463700234192
"25","thredup",102,0.597189695550351
"26","postmates",90,0.526932084309134
"27","leap",88,0.515222482435597
"28","skillshare",85,0.497658079625293
"29","homejoy",77,0.450819672131148
"30","quirky",58,0.339578454332553
"31","mosaic",57,0.333723653395785
"32","trustcloud",56,0.327868852459016
"33","vayable",56,0.327868852459016
"34","chegg",55,0.322014051522248
"35","indiegogo",55,0.322014051522248
"36","kiva",54,0.31615925058548
"37","liquidspace",53,0.310304449648712
"38","alfred",52,0.304449648711944
"39","zaarly",51,0.298594847775176
"40","homeaway",50,0.292740046838407
"41","whipcar",49,0.286885245901639
"42","rover",48,0.281030444964871
"43","fiverr",47,0.275175644028103
"44","dogvacay",46,0.269320843091335
"45","thumbtack",46,0.269320843091335
"46","checkr",41,0.240046838407494
"47","makerbot",41,0.240046838407494
"48","flightcar",39,0.228337236533958
"49","deliv",37,0.216627634660422
"50","boxbee",35,0.204918032786885
"51","lendingclub",35,0.204918032786885
"52","munchery",35,0.204918032786885
"53","shyp",35,0.204918032786885
"54","airtasker",34,0.199063231850117
"55","loosecubes",34,0.199063231850117
"56","poshmark",33,0.193208430913349
"57","upstart",33,0.193208430913349
"58","artsy",32,0.187353629976581
"59","udemy",30,0.175644028103044
"60","wonolo",30,0.175644028103044
"61","shapeways",29,0.169789227166276
"62","storefront",29,0.169789227166276
"63","cherry",28,0.163934426229508
"64","coursera",28,0.163934426229508
"65","fon",28,0.163934426229508
"66","cohealo",27,0.15807962529274
"67","drivy",27,0.15807962529274
"68","sprig",27,0.15807962529274
"69","wallapop",27,0.15807962529274
"70","bixi",26,0.152224824355972
"71","eatwith",26,0.152224824355972
"72","wework",26,0.152224824355972
"73","gazelle",24,0.140515222482436
"74","crowdcube",23,0.134660421545667
"75","feastly",23,0.134660421545667
"76","getable",23,0.134660421545667
"77","handybook",23,0.134660421545667
"78","sidetour",23,0.134660421545667
"79","artsicle",22,0.128805620608899
"80","99designs",21,0.122950819672131
"81","gidsy",21,0.122950819672131
"82","peerby",21,0.122950819672131
"83","zirtual",21,0.122950819672131
"84","ola",19,0.111241217798595
"85","gigwalk",18,0.105386416861827
"86","gocarshare",18,0.105386416861827
"87","jayride",18,0.105386416861827
"88","roomorama",18,0.105386416861827
"89","sharedesk",18,0.105386416861827
"90","washio",18,0.105386416861827
"91","boatbound",17,0.0995316159250585
"92","breather",17,0.0995316159250585
"93","crowdflower",17,0.0995316159250585
"94","scoot",17,0.0995316159250585
"95","hourlynerd",16,0.0936768149882904
"96","livemocha",16,0.0936768149882904
"97","onefinestay",16,0.0936768149882904
"98","spoonrocket",16,0.0936768149882904
"99","zookal",16,0.0936768149882904
"100","gobble",15,0.0878220140515222
"101","redbeacon",15,0.0878220140515222
"102","transferwise",15,0.0878220140515222
"103","vint",15,0.0878220140515222
"104","housetrip",14,0.0819672131147541
"105","wello",14,0.0819672131147541
"106","zeel",14,0.0819672131147541
"107","zozi",14,0.0819672131147541
"108","grubwithus",13,0.0761124121779859
"109","hailo",13,0.0761124121779859
"110","housecall",13,0.0761124121779859
"111","kitchit",13,0.0761124121779859
"112","kaggle",12,0.0702576112412178
"113","pager",12,0.0702576112412178
"114","traity",12,0.0702576112412178
"115","wegolook",12,0.0702576112412178
"116","yeloha",12,0.0702576112412178
"117","custommade",11,0.0644028103044497
"118","grabtaxi",11,0.0644028103044497
"119","justpark",11,0.0644028103044497
"120","airtime",10,0.0585480093676815
"121","bookrenter",10,0.0585480093676815
"122","makespace",10,0.0585480093676815
"123","greennote",9,0.0526932084309134
"124","pivotdesk",9,0.0526932084309134
"125","threadflip",9,0.0526932084309134
"126","udacity",9,0.0526932084309134
"127","fitmob",8,0.0468384074941452
"128","fundingcircle",8,0.0468384074941452
"129","kozaza",8,0.0468384074941452
"130","blender",7,0.040983606557377
"131","flywheel",7,0.040983606557377
"132","inspirato",7,0.040983606557377
"133","kitchensurfing",7,0.040983606557377
"134","lovehomeswap",7,0.040983606557377
"135","myngle",7,0.040983606557377
"136","popexpert",7,0.040983606557377
"137","turningart",7,0.040983606557377
"138","bannerman",6,0.0351288056206089
"139","campusbookrentals",6,0.0351288056206089
"140","crowdrise",6,0.0351288056206089
"141","frents",6,0.0351288056206089
"142","quickflix",6,0.0351288056206089
"143","tilt",6,0.0351288056206089
"144","yourmechanic",6,0.0351288056206089
"145","circleup",5,0.0292740046838408
"146","crowdfunder",5,0.0292740046838408
"147","floqq",5,0.0292740046838408
"148","bellhops",4,0.0234192037470726
"149","deskwanted",4,0.0234192037470726
"150","edufire",4,0.0234192037470726
"151","medicast",4,0.0234192037470726
"152","pley",4,0.0234192037470726
"153","rentstuff",4,0.0234192037470726
"154","ridejoy",4,0.0234192037470726
"155","tongal",4,0.0234192037470726
"156","blackjet",3,0.0175644028103044
"157","cargomatic",3,0.0175644028103044
"158","codecademy",3,0.0175644028103044
"159","firechat",3,0.0175644028103044
"160","getmaid",3,0.0175644028103044
"161","glovico",3,0.0175644028103044
"162","listia",3,0.0175644028103044
"163","localmotion",3,0.0175644028103044
"164","moveloot",3,0.0175644028103044
"165","somolend",3,0.0175644028103044
"166","swapnetcycler",3,0.0175644028103044
"167","tindie",3,0.0175644028103044
"168","airpr",2,0.0117096018735363
"169","auxmoney",2,0.0117096018735363
"170","barnacle",2,0.0117096018735363
"171","beepi",2,0.0117096018735363
"172","eaze",2,0.0117096018735363
"173","farmigo",2,0.0117096018735363
"174","gett",2,0.0117096018735363
"175","peerspace",2,0.0117096018735363
"176","shuddle",2,0.0117096018735363
"177","soothe",2,0.0117096018735363
"178","vandebron",2,0.0117096018735363
"179","appbackr",1,0.00585480093676815
"180","bagborroworsteal",1,0.00585480093676815
"181","bidwilly",1,0.00585480093676815
"182","bridj",1,0.00585480093676815
"183","classpass",1,0.00585480093676815
"184","flytenow",1,0.00585480093676815
"185","helparound",1,0.00585480093676815
"186","icarsclub",1,0.00585480093676815
"187","life360",1,0.00585480093676815
"188","loup",1,0.00585480093676815
"189","ouicar",1,0.00585480093676815
"190","rocksbox",1,0.00585480093676815
"191","roomer",1,0.00585480093676815
"192","shiftgig",1,0.00585480093676815
"193","swifto",1,0.00585480093676815
"194","thinkful",1,0.00585480093676815
"195","tujia",1,0.00585480093676815
"196","usebutton",1,0.00585480093676815
"197","videdressing",1,0.00585480093676815
"198","vizeat",1,0.00585480093676815
