"","Influencer","Frequency","Percentage"
"1","rachelbotsman",776,37.1825586966938
"2","jeremiahowyang",594,28.4619070436033
"3","roorogers",231,11.0685194058457
"4","janelleorsi",107,5.12697652132247
"5","arunsundararajan",96,4.59990416866315
"6","michelbauwens",68,3.25826545280307
"7","laurenanderson",62,2.97077144226162
"8","sarahorowitz",46,2.20412074748443
"9","julietschor",23,1.10206037374221
"10","adamthierer",21,1.00622903689506
"11","miltonfriedman",14,0.670819357930043
"12","catherinerampell",5,0.239578342117873
"13","derekthompson",5,0.239578342117873
"14","francoiacomella",5,0.239578342117873
"15","michaelspence",5,0.239578342117873
"16","davidswan",3,0.143747005270724
"17","esthershaw",3,0.143747005270724
"18","laurapiscicelli",3,0.143747005270724
"19","danahull",2,0.095831336847149
"20","friedrichchasin",2,0.095831336847149
"21","jasonankeny",2,0.095831336847149
"22","michaelroddan",2,0.095831336847149
"23","mikeisaac",2,0.095831336847149
"24","sophiecurtis",2,0.095831336847149
"25","aligheitasy",1,0.0479156684235745
"26","deirdremacken",1,0.0479156684235745
"27","francesbula",1,0.0479156684235745
"28","laurendavidson",1,0.0479156684235745
"29","markscott",1,0.0479156684235745
"30","mauriecohen",1,0.0479156684235745
"31","nicolasmendoza",1,0.0479156684235745
"32","ronlieber",1,0.0479156684235745
