"","Word","Frequency","Percentage"
"1","new",17453,0.503461314566829
"2","business",15837,0.456845060379011
"3","social",13012,0.375353155626172
"4","can",12707,0.36655491458206
"5","will",11120,0.320775214460731
"6","people",10586,0.305371080960549
"7","2015",10441,0.301188310628102
"8","sharing",8811,0.254168202753013
"9","e28093",8589,0.247764237140577
"10","c2a0",8479,0.244591101026308
"11","one",8097,0.233571664702207
"12","media",7772,0.224196489819137
"13","may",7584,0.21877331173293
"14","like",7492,0.216119416073723
"15","sharingeconomy",7201,0.207725028716882
"16","economy",6840,0.197311372923687
"17","services",6541,0.188686212031263
"18","share",6494,0.187330417509711
"19","2014",6447,0.18597462298816
"20","world",6279,0.181128378740911
"21","news",6177,0.178186016162225
"22","technology",6058,0.174753259820424
"23","get",6022,0.173714778910299
"24","companies",5953,0.171724357165893
"25","also",5890,0.169907015573175
"26","time",5847,0.168666607819415
"27","2013",5828,0.168118520672405
"28","e296bac2a0",5823,0.167974287212665
"29","email",5687,0.16405113710775
"30","community",5679,0.163820363572167
"31","now",5454,0.157329857883887
"32","work",5431,0.156666383969086
"33","2010",5422,0.156406763741554
"34","use",5409,0.156031756746232
"35","research",5366,0.154791348992472
"36","2011",5357,0.15453172876494
"37","design",5316,0.153349014395076
"38","blog",5268,0.151964373181577
"39","collaborativeconsumption",5239,0.151127819115087
"40","2012",5179,0.149397017598213
"41","marketing",5100,0.147118128934328
"42","online",4961,0.143108438753569
"43","home",4906,0.141521870696434
"44","just",4895,0.141204557085007
"45","service",4872,0.140541083170205
"46","information",4817,0.13895451511307
"47","2009",4701,0.135608298847113
"48","many",4627,0.133473643642968
"49","make",4613,0.133069789955697
"50","management",4520,0.130387047604542
"51","way",4519,0.130358200912594
"52","data",4475,0.129088946466886
"53","november",4426,0.127675458561439
"54","market",4407,0.127127371414428
"55","company",4382,0.126406204115731
"56","open",4373,0.126146583888199
"57","need",4364,0.125886963660668
"58","2008",4289,0.123723461764575
"59","web",4286,0.123636921688731
"60","december",4282,0.12352153492094
"61","global",4278,0.123406148153148
"62","october",4243,0.122396513934971
"63","read",4212,0.121502266484586
"64","economic",4153,0.11980031165966
"65","september",4147,0.119627231507972
"66","innovation",4109,0.118531057213952
"67","june",4098,0.118213743602525
"68","first",4078,0.117636809763567
"69","years",4056,0.117002182540713
"70","digital",3973,0.114607907109036
"71","august",3950,0.113944433194235
"72","july",3936,0.113540579506964
"73","ago",3922,0.113136725819693
"74","march",3903,0.112588638672683
"75","search",3822,0.110252056624902
"76","money",3819,0.110165516549059
