"","Company","Frequency","Percentage"
"1","via",112,32.5581395348837
"2","airbnb",50,14.5348837209302
"3","uber",32,9.30232558139535
"4","button",14,4.06976744186047
"5","gone",10,2.90697674418605
"6","mosaic",9,2.61627906976744
"7","lyft",8,2.32558139534884
"8","vint",8,2.32558139534884
"9","twice",7,2.03488372093023
"10","wallapop",7,2.03488372093023
"11","circle",6,1.74418604651163
"12","leap",6,1.74418604651163
"13","zipcar",5,1.45348837209302
"14","favor",4,1.16279069767442
"15","kickstarter",4,1.16279069767442
"16","postmates",4,1.16279069767442
"17","taskrabbit",4,1.16279069767442
"18","craigslist",3,0.872093023255814
"19","etsy",3,0.872093023255814
"20","kiva",3,0.872093023255814
"21","skillshare",3,0.872093023255814
"22","traity",3,0.872093023255814
"23","vayable",3,0.872093023255814
"24","zaarly",3,0.872093023255814
"25","coursera",2,0.581395348837209
"26","crowdrise",2,0.581395348837209
"27","getaround",2,0.581395348837209
"28","prosper",2,0.581395348837209
"29","alfred",1,0.290697674418605
"30","angellist",1,0.290697674418605
"31","blablacar",1,0.290697674418605
"32","circleup",1,0.290697674418605
"33","codecademy",1,0.290697674418605
"34","couchsurfing",1,0.290697674418605
"35","crowdcube",1,0.290697674418605
"36","eatwith",1,0.290697674418605
"37","fiverr",1,0.290697674418605
"38","getable",1,0.290697674418605
"39","indiegogo",1,0.290697674418605
"40","inspirato",1,0.290697674418605
"41","kaggle",1,0.290697674418605
"42","makerbot",1,0.290697674418605
"43","maven",1,0.290697674418605
"44","peerby",1,0.290697674418605
"45","poshmark",1,0.290697674418605
"46","relayrides",1,0.290697674418605
"47","rover",1,0.290697674418605
"48","sidecar",1,0.290697674418605
"49","soothe",1,0.290697674418605
"50","storefront",1,0.290697674418605
"51","udacity",1,0.290697674418605
"52","udemy",1,0.290697674418605
"53","upstart",1,0.290697674418605
