"","Influencer","Frequency","Percentage"
"1","rachelbotsman",91,47.8947368421053
"2","michelbauwens",22,11.5789473684211
"3","roorogers",18,9.47368421052632
"4","jeremiahowyang",17,8.94736842105263
"5","arunsundararajan",9,4.73684210526316
"6","laurenanderson",9,4.73684210526316
"7","janelleorsi",8,4.21052631578947
"8","sarahorowitz",6,3.15789473684211
"9","francoiacomella",4,2.10526315789474
"10","julietschor",3,1.57894736842105
"11","danahull",1,0.526315789473684
"12","derekthompson",1,0.526315789473684
"13","ronlieber",1,0.526315789473684
