"","Word","Frequency","Percentage"
"1","new",2005,0.580652821741032
"2","2015",1845,0.534316436963693
"3","business",1656,0.479581582445461
"4","sharingeconomy",1551,0.449173329935332
"5","can",1463,0.423688318307795
"6","uber",1438,0.416448258186336
"7","people",1406,0.407180981230868
"8","sharing",1385,0.401099330728842
"9","will",1279,0.370401475813855
"10","companies",1227,0.35534215076122
"11","like",1111,0.321748271797649
"12","economy",1086,0.31450821167619
"13","services",1033,0.299159284218696
"14","news",971,0.281203935117477
"15","social",969,0.28062473030776
"16","one",937,0.271357453352293
"17","collaborativeconomy",881,0.255139718680224
"18","c2a0",844,0.244424429700464
"19","share",806,0.233419538315846
"20","get",795,0.230233911862404
"21","ondemand",760,0.220097827692361
"22","service",756,0.218939418072928
"23","airbnb",745,0.215753791619486
"24","collaborativeconsumption",734,0.212568165166044
"25","may",726,0.210251345927177
"26","e28093",722,0.209092936307743
"27","email",721,0.208803333902885
"28","work",720,0.208513731498026
"29","also",717,0.207644924283451
"30","media",694,0.200984068971709
"31","technology",683,0.197798442518267
"32","company",668,0.193454406445391
"33","time",656,0.189979177587091
"34","many",647,0.187372755943365
"35","now",638,0.18476633429964
"36","ite28099s",620,0.179553491012189
"37","use",615,0.178105478987898
"38","just",594,0.172023828485872
"39","make",586,0.169707009247005
"40","need",586,0.169707009247005
"41","world",578,0.167390190008138
"42","research",550,0.159281322672103
"43","home",546,0.15812291305267
"44","market",541,0.156674901028378
"45","workers",539,0.156095696218661
"46","drivers",536,0.155226889004086
"47","car",532,0.154068479384653
"48","online",530,0.153489274574936
"49","tech",519,0.150303648121494
"50","policy",509,0.14740762407291
"51","next",506,0.146538816858335
"52","want",492,0.142484383190318
"53","data",480,0.139009154332018
"54","way",474,0.137271539902867
"55","marketing",471,0.136402732688292
"56","twitter",453,0.131189889400842
"57","economic",450,0.130321082186266
"58","2014",443,0.128293865352258
"59","platforms",436,0.126266648518249
"60","money",433,0.125397841303674
"61","comments",429,0.124239431684241
"62","global",428,0.123949829279382
"63","read",428,0.123949829279382
"64","report",428,0.123949829279382
"65","search",428,0.123949829279382
"66","blog",427,0.123660226874524
"67","contact",427,0.123660226874524
"68","see",426,0.123370624469666
"69","mobile",417,0.12076420282594
"70","businesses",416,0.120474600421082
"71","community",410,0.118736985991932
"72","facebook",407,0.117868178777357
"73","follow",403,0.116709769157923
"74","model",403,0.116709769157923
"75","jobs",396,0.114682552323914
"76","local",395,0.114392949919056
"77","said",393,0.113813745109339
"78","startups",390,0.112944937894764
"79","access",387,0.112076130680189
"80","first",387,0.112076130680189
"81","privacy",386,0.111786528275331
"82","customers",382,0.110628118655897
"83","even",379,0.109759311441322
"84","free",377,0.109180106631605
"85","digital",373,0.108021697012172
"86","information",373,0.108021697012172
"87","view",368,0.10657368498788
"88","future",367,0.106284082583022
"89","c2b7",361,0.104546468153872
"90","events",361,0.104546468153872
"91","terms",349,0.101071239295571
"92","industry",347,0.100492034485854
"93","video",344,0.0996232272712793
"94","big",342,0.0990440224615625
"95","think",341,0.0987544200567042
"96","find",340,0.0984648176518458
"97","growth",339,0.0981752152469874
"98","public",337,0.0975960104372707
"99","change",336,0.0973064080324123
"100","help",336,0.0973064080324123
"101","platform",334,0.0967272032226956
"102","around",332,0.0961479984129788
"103","sign",331,0.0958583960081204
"104","small",330,0.0955687936032621
"105","city",328,0.0949895887935453
"106","much",328,0.0949895887935453
"107","things",325,0.0941207815789702
"108","using",325,0.0941207815789702
"109","says",323,0.0935415767692535
"110","take",323,0.0935415767692535
"111","consumer",322,0.0932519743643951
"112","consumers",319,0.09238316714982
"113","good",317,0.0918039623401033
"114","well",316,0.0915143599352449
"115","year",316,0.0915143599352449
"116","customer",313,0.0906455527206698
"117","innovation",312,0.0903559503158114
"118","content",311,0.0900663479109531
"119","resources",310,0.0897767455060947
"120","years",310,0.0897767455060947
"121","e28094",309,0.0894871431012363
"122","subscribe",308,0.0891975406963779
"123","google",307,0.0889079382915196
"124","best",306,0.0886183358866612
"125","better",306,0.0886183358866612
"126","december",306,0.0886183358866612
"127","2013",304,0.0880391310769445
"128","cities",302,0.0874599262672277
"129","peertopeer",301,0.0871703238623694
"130","goods",300,0.086880721457511
"131","part",299,0.0865911190526526
"132","reply",299,0.0865911190526526
"133","top",298,0.0863015166477942
"134","app",297,0.0860119142429359
"135","post",296,0.0857223118380775
"136","know",295,0.0854327094332191
"137","value",293,0.0848535046235024
"138","done28099t",288,0.0834054925992105
"139","article",287,0.0831158901943522
"140","really",287,0.0831158901943522
"141","travel",287,0.0831158901943522
"142","august",286,0.0828262877894938
"143","back",285,0.0825366853846354
"144","right",285,0.0825366853846354
"145","products",283,0.0819574805749187
"146","comment",282,0.0816678781700603
"147","rights",282,0.0816678781700603
"148","york",277,0.0802198661457685
"149","network",275,0.0796406613360517
"150","benefits",274,0.0793510589311934
"151","ago",273,0.079061456526335
"152","employees",273,0.079061456526335
"153","models",272,0.0787718541214766
"154","traditional",272,0.0787718541214766
"155","trust",272,0.0787718541214766
"156","financial",271,0.0784822517166183
"157","collaborative",270,0.0781926493117599
"158","please",270,0.0781926493117599
"159","taxi",270,0.0781926493117599
"160","management",269,0.0779030469069015
"161","web",269,0.0779030469069015
"162","lyft",267,0.0773238420971848
"163","real",267,0.0773238420971848
"164","internet",266,0.0770342396923264
"165","might",265,0.076744637287468
"166","two",261,0.0755862276680346
