"","Company","Frequency","Percentage"
"1","zipcar",3610,25.6848096762718
"2","uber",3138,22.3265741728922
"3","airbnb",2145,15.2614727854856
"4","lyft",914,6.50302383493419
"5","via",637,4.53219494841693
"6","bixi",543,3.86339381003202
"7","relayrides",410,2.91711134827464
"8","getaround",203,1.44432586268232
"9","taskrabbit",199,1.41586623977232
"10","sidecar",180,1.28068303094984
"11","gone",159,1.13127001067236
"12","twice",137,0.974742084667378
"13","blablacar",98,0.697260761294913
"14","circle",83,0.590537175382426
"15","flightcar",81,0.576307363927428
"16","button",74,0.526503023834934
"17","etsy",69,0.490928495197439
"18","craigslist",65,0.462468872287442
"19","favor",61,0.434009249377446
"20","udemy",61,0.434009249377446
"21","rover",57,0.405549626467449
"22","homejoy",40,0.284596229099964
"23","instacart",40,0.284596229099964
"24","thumbtack",39,0.277481323372465
"25","airtasker",38,0.270366417644966
"26","couchsurfing",38,0.270366417644966
"27","kickstarter",35,0.249021700462469
"28","hailo",32,0.227676983279972
"29","dogvacay",31,0.220562077552472
"30","justpark",31,0.220562077552472
"31","leap",27,0.192102454642476
"32","prosper",27,0.192102454642476
"33","homeaway",26,0.184987548914977
"34","zopa",25,0.177872643187478
"35","postmates",23,0.16364283173248
"36","cherry",22,0.15652792600498
"37","feastly",21,0.149413020277481
"38","flywheel",20,0.142298114549982
"39","poshmark",20,0.142298114549982
"40","roadie",20,0.142298114549982
"41","gett",18,0.128068303094984
"42","gobble",18,0.128068303094984
"43","vayable",18,0.128068303094984
"44","liquidspace",16,0.113838491639986
"45","yeloha",16,0.113838491639986
"46","blackjet",15,0.106723585912487
"47","helparound",15,0.106723585912487
"48","ola",15,0.106723585912487
"49","onefinestay",15,0.106723585912487
"50","icarsclub",14,0.0996086801849875
"51","zaarly",14,0.0996086801849875
"52","storefront",13,0.0924937744574884
"53","upstart",13,0.0924937744574884
"54","blender",12,0.0853788687299893
"55","flytenow",12,0.0853788687299893
"56","fon",12,0.0853788687299893
"57","housetrip",12,0.0853788687299893
"58","life360",12,0.0853788687299893
"59","quirky",12,0.0853788687299893
"60","pivotdesk",11,0.0782639630024902
"61","boxbee",10,0.0711490572749911
"62","eatwith",10,0.0711490572749911
"63","indiegogo",10,0.0711490572749911
"64","kanga",10,0.0711490572749911
"65","kozaza",10,0.0711490572749911
"66","mosaic",10,0.0711490572749911
"67","trustcloud",10,0.0711490572749911
"68","alfred",9,0.064034151547492
"69","bookrenter",8,0.0569192458199929
"70","breather",8,0.0569192458199929
"71","fiverr",8,0.0569192458199929
"72","pley",8,0.0569192458199929
"73","shyp",8,0.0569192458199929
"74","weswap",8,0.0569192458199929
"75","boatbound",7,0.0498043400924938
"76","threadflip",7,0.0498043400924938
"77","grabtaxi",6,0.0426894343649947
"78","loosecubes",6,0.0426894343649947
"79","thredup",6,0.0426894343649947
"80","wework",6,0.0426894343649947
"81","cohealo",5,0.0355745286374956
"82","lendingclub",5,0.0355745286374956
"83","scoot",5,0.0355745286374956
"84","skillshare",5,0.0355745286374956
"85","whipcar",5,0.0355745286374956
"86","crowdcube",4,0.0284596229099964
"87","kitchit",4,0.0284596229099964
"88","kiva",4,0.0284596229099964
"89","ridejoy",4,0.0284596229099964
"90","washio",4,0.0284596229099964
"91","wonolo",4,0.0284596229099964
"92","yourmechanic",4,0.0284596229099964
"93","angellist",3,0.0213447171824973
"94","fundingcircle",3,0.0213447171824973
"95","gocarshare",3,0.0213447171824973
"96","gocatch",3,0.0213447171824973
"97","hourlynerd",3,0.0213447171824973
"98","roomorama",3,0.0213447171824973
"99","sharedesk",3,0.0213447171824973
"100","shuddle",3,0.0213447171824973
"101","transferwise",3,0.0213447171824973
"102","yongche",3,0.0213447171824973
"103","zirtual",3,0.0213447171824973
"104","airtime",2,0.0142298114549982
"105","artsy",2,0.0142298114549982
"106","coursera",2,0.0142298114549982
"107","drivy",2,0.0142298114549982
"108","jayride",2,0.0142298114549982
"109","loungebuddy",2,0.0142298114549982
"110","lovehomeswap",2,0.0142298114549982
"111","makespace",2,0.0142298114549982
"112","medicast",2,0.0142298114549982
"113","tilt",2,0.0142298114549982
"114","99designs",1,0.00711490572749911
"115","appearhere",1,0.00711490572749911
"116","artsicle",1,0.00711490572749911
"117","chegg",1,0.00711490572749911
"118","crowdfunder",1,0.00711490572749911
"119","custommade",1,0.00711490572749911
"120","fitmob",1,0.00711490572749911
"121","gazelle",1,0.00711490572749911
"122","getable",1,0.00711490572749911
"123","handybook",1,0.00711490572749911
"124","helpling",1,0.00711490572749911
"125","localmotion",1,0.00711490572749911
"126","maven",1,0.00711490572749911
"127","munchery",1,0.00711490572749911
"128","pager",1,0.00711490572749911
"129","peerby",1,0.00711490572749911
"130","rocksbox",1,0.00711490572749911
"131","soothe",1,0.00711490572749911
"132","spoonrocket",1,0.00711490572749911
"133","tujia",1,0.00711490572749911
"134","vizeat",1,0.00711490572749911
"135","zookal",1,0.00711490572749911
