"","Word","Frequency","Percentage"
"1","will",13379,0.7420562707055
"2","car",11348,0.6294083683359
"3","said",10455,0.579878788416623
"4","new",9760,0.541331131032639
"5","c2a0",8068,0.447485611185587
"6","can",8060,0.447041897143757
"7","people",7392,0.40999177465095
"8","city",6279,0.348260058581346
"9","sharing",6271,0.347816344539516
"10","also",5962,0.330677889673831
"11","one",5338,0.296068194411089
"12","bike",5190,0.287859484637233
"13","share",5009,0.277820454440829
"14","company",4782,0.265230068503902
"15","business",4444,0.246483150236583
"16","cars",4427,0.245540257897694
"17","use",4235,0.234891120893773
"18","service",4051,0.224685697931682
"19","like",3943,0.218695558366977
"20","program",3920,0.217419880496716
"21","year",3806,0.211096955400638
"22","companies",3618,0.200669675417632
"23","zipcar",3610,0.200225961375802
"24","sharingeconomy",3500,0.194124893300639
"25","services",3366,0.186692683099986
"26","make",3307,0.183420292041489
"27","time",3283,0.182089149915999
"28","work",3282,0.182033685660771
"29","now",3237,0.179537794175477
"30","just",3180,0.176376331627438
"31","uber",3138,0.17404683290783
"32","says",3118,0.172937547803255
"33","first",3062,0.169831549510445
"34","get",3037,0.168444943129726
"35","public",2963,0.164340588242798
"36","market",2913,0.16156737548136
"37","per",2849,0.15801766314672
"38","members",2844,0.157740341870576
"39","vehicles",2791,0.154800736343452
"40","need",2783,0.154357022301622
"41","way",2782,0.154301558046394
"42","many",2731,0.151472881029727
"43","million",2708,0.150197203159466
"44","transportation",2671,0.148145025716002
"45","drivers",2642,0.146536562314368
"46","years",2565,0.142265814661754
"47","cities",2485,0.137828674243454
"48","well",2464,0.13666392488365
"49","system",2456,0.13622021084182
"50","may",2431,0.134833604461101
"51","two",2410,0.133668855101297
"52","around",2395,0.132836891272866
"53","carsharing",2367,0.131283892126461
"54","information",2314,0.128344286599337
"55","bikes",2272,0.126014787879729
"56","local",2228,0.123574360649664
"57","rental",2225,0.123407967883978
"58","airbnb",2145,0.118970827465677
"59","last",2138,0.118582577679076
"60","help",2114,0.117251435553586
"61","technology",2112,0.117140507043128
"62","part",2107,0.116863185766985
"63","including",2094,0.116142150449011
"64","want",2094,0.116142150449011
"65","available",2083,0.115532043641495
"66","money",2071,0.11486647257875
"67","parking",2064,0.114478222792148
"68","online",2051,0.113757187474174
"69","even",2020,0.112037795562083
"70","users",2019,0.111982331306854
"71","take",2006,0.111261295988881
"72","university",2002,0.111039438967966
"73","day",1991,0.110429332160449
"74","community",1867,0.103551764512084
"75","san",1849,0.102553407917966
"76","access",1828,0.101388658558162
"77","york",1828,0.101388658558162
"78","see",1819,0.100889480261104
"79","number",1816,0.100723087495417
"80","businesses",1802,0.0999465879222147
"81","world",1800,0.0998356594117572
"82","dont",1792,0.0993919453699272
"83","government",1774,0.0983935887758096
"84","percent",1770,0.0981717317548946
"85","using",1770,0.0981717317548946
"86","industry",1762,0.0977280177130646
"87","vehicle",1741,0.0965632683532607
"88","travel",1719,0.0953430547382281
"89","social",1718,0.0952875904829994
"90","cost",1706,0.0946220194202543
"91","home",1703,0.0944556266545681
"92","economy",1689,0.0936791270813655
"93","pay",1687,0.093568198570908
"94","across",1676,0.0929580917633917
"95","scheme",1667,0.0924589134663329
"96","much",1664,0.0922925207006467
"97","used",1628,0.0902958075124115
"98","consumers",1618,0.089741164960124
"99","growth",1615,0.0895747721944377
"100","think",1603,0.0889092011316927
"101","costs",1601,0.0887982726212352
"102","global",1594,0.0884100228346339
"103","free",1593,0.0883545585794051
"104","rent",1581,0.0876889875166601
"105","next",1574,0.0873007377300588
"106","group",1553,0.086135988370255
"107","economic",1532,0.0849712390104511
"108","insurance",1515,0.0840283466715623
"109","three",1512,0.083861953905876
"110","made",1502,0.0833073113535885
"111","good",1496,0.082974525822216
"112","council",1488,0.082530811780386
"113","going",1478,0.0819761692280984
"114","provide",1468,0.0814215266758109
"115","transport",1443,0.080034920295092
"116","network",1441,0.0799239917846345
"117","already",1414,0.0784264568934582
"118","students",1389,0.0770398505127393
"119","energy",1381,0.0765961364709093
"120","customers",1377,0.0763742794499943
"121","today",1375,0.0762633509395367
"122","week",1357,0.0752649943454192
"123","area",1348,0.0747658160483604
"124","ride",1335,0.0740447807303866
"125","since",1323,0.0733792096676415
"126","still",1313,0.072824567115354
"127","less",1311,0.0727136386048965
"128","without",1308,0.0725472458392102
"129","state",1307,0.0724917815839815
"130","find",1303,0.0722699245630665
"131","green",1283,0.0711606394584914
"132","director",1280,0.0709942466928051
"133","residents",1265,0.0701622828643738
"134","stations",1244,0.06899753350457
"135","taxi",1240,0.068775676483655
"136","set",1236,0.0685538194627399
"137","report",1231,0.0682764981865962
"138","app",1229,0.0681655696761387
"139","programs",1222,0.0677773198895374
"140","offer",1220,0.0676663913790799
"141","place",1219,0.0676109271238511
"142","plan",1215,0.0673890701029361
"143","lot",1208,0.0670008203163348
"144","cent",1206,0.0668898918058773
"145","making",1204,0.0667789632954198
"146","reduce",1202,0.0666680347849623
"147","every",1197,0.0663907135088185
"148","president",1197,0.0663907135088185
"149","working",1197,0.0663907135088185
"150","big",1196,0.0663352492535898
"151","small",1196,0.0663352492535898
"152","future",1194,0.0662243207431323
"153","development",1191,0.066057927977446
"154","include",1188,0.0658915352117597
"155","based",1182,0.0655587496803872
"156","better",1182,0.0655587496803872
"157","become",1181,0.0655032854251585
"158","idea",1179,0.065392356914701
"159","say",1179,0.065392356914701
"160","another",1174,0.0651150356385572
"161","drive",1167,0.0647267858519559
"162","benefits",1165,0.0646158573414984
"163","looking",1155,0.0640612147892109
"164","inc",1150,0.0637838935130671
"165","great",1149,0.0637284292578384
"166","month",1145,0.0635065722369233
"167","states",1139,0.0631737867055508
"168","research",1138,0.063118322450322
"169","hour",1132,0.0627855369189495
"170","news",1131,0.0627300726637208
"171","mobile",1125,0.0623972871323483
"172","back",1117,0.0619535730905182
"173","north",1115,0.0618426445800607
"174","employees",1112,0.0616762518143745
"175","according",1110,0.0615653233039169
"176","able",1106,0.0613434662830019
"177","model",1104,0.0612325377725444
"178","change",1102,0.0611216092620869
"179","consumer",1102,0.0611216092620869
"180","support",1100,0.0610106807516294
"181","fleet",1099,0.0609552164964006
"182","hertz",1097,0.0608442879859431
"183","private",1097,0.0608442879859431
"184","francisco",1095,0.0607333594754856
"185","electric",1091,0.0605115024545706
"186","major",1085,0.0601787169231981
"187","really",1082,0.0600123241575118
"188","project",1080,0.0599013956470543
"189","internet",1078,0.0597904671365968
"190","launched",1077,0.0597350028813681
"191","bikeshare",1076,0.0596795386261393
"192","look",1068,0.0592358245843093
"193","site",1068,0.0592358245843093
"194","financial",1064,0.0590139675633943
"195","growing",1059,0.0587366462872505
"196","areas",1057,0.058625717776793
"197","space",1052,0.0583483965006492
"198","national",1048,0.0581265394797342
"199","know",1040,0.0576828254379042
"200","billion",1039,0.0576273611826754
"201","street",1033,0.0572945756513029
"202","capital",1032,0.0572391113960741
"203","road",1026,0.0569063258647016
"204","tax",1026,0.0569063258647016
"205","driving",1021,0.0566290045885578
"206","plans",1018,0.0564626118228716
"207","come",1017,0.0564071475676428
"208","high",1011,0.0560743620362703
"209","best",1010,0.0560188977810415
"210","things",1009,0.0559634335258128
"211","executive",1008,0.055907969270584
"212","workers",1008,0.055907969270584
"213","media",1007,0.0558525050153553
"214","urban",1006,0.0557970407601265
"215","shared",1002,0.0555751837392115
"216","among",1000,0.055464255228754
"217","ceo",1000,0.055464255228754
"218","data",999,0.0554087909735252
"219","annual",991,0.0549650769316952
"220","london",987,0.0547432199107802
"221","within",987,0.0547432199107802
"222","end",982,0.0544658986346364
"223","announced",978,0.0542440416137214
"224","staff",978,0.0542440416137214
"225","create",974,0.0540221845928064
"226","traffic",973,0.0539667203375776
