"","Word","Frequency","Percentage"
"1","will",1726,0.780797625940938
"2","car",1441,0.65187101910828
"3","said",1237,0.559586711059641
"4","new",1183,0.535158511870295
"5","can",1007,0.455540677475391
"6","sharing",929,0.420255500868558
"7","bike",908,0.410755645628257
"8","people",858,0.388136942675159
"9","city",779,0.352399392009265
"10","also",722,0.326614070642733
"11","share",717,0.324352200347423
"12","company",656,0.296757382744644
"13","c2a0",597,0.270067313259988
"14","one",578,0.261472206137811
"15","business",551,0.249258106543138
"16","program",549,0.248353358425014
"17","cars",492,0.222568037058483
"18","like",473,0.213972929936306
"19","service",445,0.201306456282571
"20","use",439,0.198592211928199
"21","now",434,0.196330341632889
"22","san",420,0.189997104806022
"23","says",419,0.18954473074696
"24","year",411,0.185925738274464
"25","zipcar",408,0.184568616097279
"26","make",402,0.181854371742907
"27","get",399,0.180497249565721
"28","first",391,0.176878257093225
"29","vehicles",382,0.172806890561668
"30","just",372,0.168283149971048
"31","information",364,0.164664157498552
"32","public",363,0.16421178343949
"33","million",360,0.162854661262305
"34","way",355,0.160592790966995
"35","market",351,0.158783294730747
"36","time",351,0.158783294730747
"37","bikes",347,0.156973798494499
"38","system",341,0.154259554140127
"39","per",334,0.151092935726694
"40","need",320,0.144759698899826
"41","services",318,0.143854950781702
"42","available",316,0.142950202663578
"43","may",315,0.142497828604517
"44","well",314,0.142045454545455
"45","users",313,0.141593080486393
"46","transportation",309,0.139783584250145
"47","work",308,0.139331210191083
"48","years",305,0.137974088013897
"49","members",302,0.136616965836711
"50","rental",301,0.136164591777649
"51","companies",300,0.135712217718587
"52","many",300,0.135712217718587
"53","social",300,0.135712217718587
"54","vehicle",300,0.135712217718587
"55","including",298,0.134807469600463
"56","cities",281,0.12711711059641
"57","want",281,0.12711711059641
"58","access",280,0.126664736537348
"59","around",276,0.1248552403011
"60","carsharing",271,0.12259337000579
"61","money",267,0.120783873769543
"62","world",264,0.119426751592357
"63","local",256,0.115807759119861
"64","community",254,0.114903011001737
"65","help",254,0.114903011001737
"66","two",251,0.113545888824551
"67","last",250,0.113093514765489
"68","global",247,0.111736392588303
"69","technology",245,0.110831644470179
"70","electric",239,0.108117400115808
"71","hertz",239,0.108117400115808
"72","mobile",237,0.107212651997684
"73","dont",236,0.106760277938622
"74","online",236,0.106760277938622
"75","c2b7",234,0.105855529820498
"76","network",234,0.105855529820498
"77","part",229,0.103593659525188
"78","even",227,0.102688911407064
"79","take",227,0.102688911407064
"80","future",226,0.102236537348002
"81","free",221,0.0999746670526925
"82","growth",221,0.0999746670526925
"83","facebook",220,0.0995222929936306
"84","cost",216,0.0977127967573827
"85","2012",211,0.095450926462073
"86","across",211,0.095450926462073
"87","app",211,0.095450926462073
"88","going",208,0.0940938042848871
"89","inc",208,0.0940938042848871
"90","group",207,0.0936414302258251
"91","consumers",205,0.0927366821077012
"92","brand",204,0.0922843080486393
"93","much",204,0.0922843080486393
"94","day",203,0.0918319339895773
"95","number",203,0.0918319339895773
"96","rent",203,0.0918319339895773
"97","businesses",202,0.0913795599305153
"98","see",200,0.0904748118123914
"99","bikeshare",199,0.0900224377533295
"100","demand",199,0.0900224377533295
"101","home",199,0.0900224377533295
"102","airbnb",197,0.0891176896352056
"103","york",197,0.0891176896352056
"104","drivers",195,0.0882129415170816
"105","using",192,0.0868558193398958
"106","parking",190,0.0859510712217719
"107","sustainable",188,0.0850463231036479
"108","economic",187,0.084593949044586
"109","francisco",187,0.084593949044586
"110","stations",186,0.084141574985524
"111","used",186,0.084141574985524
"112","director",185,0.0836892009264621
"113","customers",184,0.0832368268674001
"114","based",182,0.0823320787492762
"115","without",179,0.0809749565720903
"116","think",178,0.0805225825130284
"117","development",175,0.0791654603358425
"118","ceo",174,0.0787130862767805
"119","find",174,0.0787130862767805
"120","research",169,0.0764512159814708
"121","plan",165,0.0746417197452229
"122","week",164,0.074189345686161
"123","consumer",163,0.073736971627099
"124","industry",163,0.073736971627099
"125","university",163,0.073736971627099
"126","financial",162,0.0732845975680371
"127","green",162,0.0732845975680371
"128","made",162,0.0732845975680371
"129","fleet",161,0.0728322235089751
"130","month",161,0.0728322235089751
"131","still",160,0.0723798494499131
"132","announced",159,0.0719274753908512
"133","billion",159,0.0719274753908512
"134","good",159,0.0719274753908512
"135","mobility",159,0.0719274753908512
"136","pay",159,0.0719274753908512
"137","live",158,0.0714751013317892
"138","set",158,0.0714751013317892
"139","best",157,0.0710227272727273
"140","costs",156,0.0705703532136653
"141","experience",156,0.0705703532136653
"142","media",156,0.0705703532136653
"143","things",156,0.0705703532136653
"144","bicycle",155,0.0701179791546034
"145","offer",155,0.0701179791546034
"146","brands",153,0.0692132310364794
"147","next",153,0.0692132310364794
"148","place",153,0.0692132310364794
"149","three",153,0.0692132310364794
"150","include",152,0.0687608569774175
"151","big",150,0.0678561088592936
"152","drive",150,0.0678561088592936
"153","companys",149,0.0674037348002316
"154","making",149,0.0674037348002316
"155","site",149,0.0674037348002316
"156","systems",148,0.0669513607411697
"157","today",148,0.0669513607411697
"158","mayor",147,0.0664989866821077
"159","travel",147,0.0664989866821077
"160","2011",146,0.0660466126230457
"161","life",146,0.0660466126230457
"162","provide",146,0.0660466126230457
"163","since",146,0.0660466126230457
"164","cent",144,0.0651418645049218
"165","lot",144,0.0651418645049218
"166","programs",144,0.0651418645049218
"167","driving",143,0.0646894904458599
"168","move",142,0.0642371163867979
"169","sharingeconomy",142,0.0642371163867979
"170","idea",141,0.063784742327736
"171","news",141,0.063784742327736
"172","become",140,0.063332368268674
"173","change",140,0.063332368268674
"174","statements",140,0.063332368268674
"175","urban",140,0.063332368268674
"176","buy",139,0.062879994209612
"177","partnership",139,0.062879994209612
"178","space",139,0.062879994209612
"179","great",138,0.0624276201505501
"180","smart",138,0.0624276201505501
"181","another",136,0.0615228720324262
"182","data",136,0.0615228720324262
"183","launched",136,0.0615228720324262
"184","looking",136,0.0615228720324262
"185","economy",135,0.0610704979733642
"186","events",135,0.0610704979733642
"187","launch",135,0.0610704979733642
"188","already",134,0.0606181239143023
"189","insurance",134,0.0606181239143023
"190","scheme",134,0.0606181239143023
"191","working",134,0.0606181239143023
"192","among",133,0.0601657498552403
"193","high",133,0.0601657498552403
"194","leading",133,0.0601657498552403
"195","ride",133,0.0601657498552403
"196","benefits",132,0.0597133757961783
"197","less",132,0.0597133757961783
"198","platform",132,0.0597133757961783
"199","relayrides",132,0.0597133757961783
"200","students",132,0.0597133757961783
"201","sustainability",132,0.0597133757961783
"202","better",131,0.0592610017371164
"203","every",131,0.0592610017371164
"204","helmet",131,0.0592610017371164
"205","look",131,0.0592610017371164
"206","percent",131,0.0592610017371164
"207","president",131,0.0592610017371164
"208","really",131,0.0592610017371164
"209","release",131,0.0592610017371164
"210","value",131,0.0592610017371164
"211","able",130,0.0588086276780544
"212","areas",130,0.0588086276780544
"213","council",130,0.0588086276780544
"214","helmets",130,0.0588086276780544
"215","provides",130,0.0588086276780544
"216","growing",129,0.0583562536189925
"217","makes",128,0.0579038795599305
"218","ownership",128,0.0579038795599305
"219","private",128,0.0579038795599305
"220","traffic",128,0.0579038795599305
"221","citys",127,0.0574515055008686
"222","department",127,0.0574515055008686
"223","government",127,0.0574515055008686
"224","national",127,0.0574515055008686
"225","annual",126,0.0569991314418066
"226","back",126,0.0569991314418066
"227","london",126,0.0569991314418066
"228","area",125,0.0565467573827446
"229","project",125,0.0565467573827446
