"","Word","Frequency","Percentage"
"1","will",2181,0.743044814358038
"2","new",1735,0.591097089826316
"3","car",1644,0.5600943029824
"4","said",1529,0.520914956970857
"5","city",1322,0.450392134150081
"6","bike",1294,0.440852815121183
"7","can",1212,0.412916237965127
"8","people",1126,0.383616900947799
"9","also",959,0.326721676739733
"10","sharing",943,0.321270637294649
"11","share",926,0.315478907884247
"12","one",836,0.284816811005649
"13","program",747,0.254495404092368
"14","company",738,0.251429194404508
"15","business",724,0.246659534890059
"16","market",674,0.229625036624171
"17","like",651,0.221789167421863
"18","companies",603,0.20543604908661
"19","year",583,0.198622249780255
"20","service",582,0.198281559814937
"21","bikes",580,0.197600179884302
"22","cars",573,0.195215350127077
"23","transportation",569,0.193852590265806
"24","use",569,0.193852590265806
"25","system",561,0.191127070543264
"26","first",555,0.189082930751358
"27","rental",554,0.18874224078604
"28","public",535,0.182269131445002
"29","make",527,0.17954361172246
"30","just",525,0.178862231791825
"31","now",508,0.173070502381423
"32","get",501,0.170685672624199
"33","san",501,0.170685672624199
"34","time",499,0.170004292693563
"35","million",498,0.169663602728245
"36","cities",473,0.161146353595301
"37","services",469,0.15978359373403
"38","work",457,0.155695314150217
"39","says",455,0.155013934219581
"40","way",452,0.153991864323628
"41","years",430,0.146496685086637
"42","zipcar",428,0.145815305156002
"43","around",414,0.141045645641553
"44","industry",408,0.139001505849647
"45","many",402,0.13695736605774
"46","airbnb",399,0.135935296161787
"47","local",397,0.135253916231151
"48","information",394,0.134231846335198
"49","two",392,0.133550466404563
"50","per",389,0.132528396508609
"51","well",388,0.132187706543291
"52","stations",385,0.131165636647338
"53","part",378,0.128780806890114
"54","york",378,0.128780806890114
"55","need",377,0.128440116924796
"56","online",377,0.128440116924796
"57","community",376,0.128099426959478
"58","members",375,0.127758736994161
"59","money",370,0.126055287167572
"60","group",365,0.124351837340983
"61","may",362,0.12332976744503
"62","social",358,0.121967007583759
"63","even",352,0.119922867791852
"64","vehicles",348,0.118560107930581
"65","technology",347,0.118219417965263
"66","travel",334,0.113790448416132
"67","world",334,0.113790448416132
"68","global",319,0.108680098936366
"69","including",318,0.108339408971048
"70","bikeshare",315,0.107317339075095
"71","users",313,0.106635959144459
"72","sharingeconomy",311,0.105954579213824
"73","available",309,0.105273199283188
"74","parking",309,0.105273199283188
"75","percent",309,0.105273199283188
"76","carsharing",308,0.104932509317871
"77","last",307,0.104591819352553
"78","want",303,0.103229059491282
"79","help",302,0.102888369525964
"80","day",299,0.101866299630011
"81","take",299,0.101866299630011
"82","area",297,0.101184919699375
"83","growth",292,0.0994814698727864
"84","home",287,0.0977780200461976
"85","network",285,0.097096640115562
"86","next",285,0.097096640115562
"87","access",283,0.0964152601849265
"88","see",283,0.0964152601849265
"89","media",275,0.0936897404623844
"90","rent",274,0.0933490504970667
"91","drivers",273,0.0930083605317489
"92","using",270,0.0919862906357956
"93","across",268,0.0913049107051601
"94","vehicle",267,0.0909642207398423
"95","enterprise",266,0.0906235307745246
"96","francisco",262,0.0892607709132535
"97","used",258,0.0878980110519825
"98","made",255,0.0868759411560292
"99","businesses",254,0.0865352511907114
"100","pay",254,0.0865352511907114
"101","future",250,0.0851724913294404
"102","university",250,0.0851724913294404
"103","2013",247,0.0841504214334871
"104","place",247,0.0841504214334871
"105","three",246,0.0838097314681693
"106","number",241,0.0821062816415805
"107","much",240,0.0817655916762628
"108","cost",239,0.081424901710945
"109","programs",233,0.0793807619190384
"110","street",232,0.0790400719537207
"111","council",231,0.0786993819884029
"112","going",230,0.0783586920230852
"113","2012",229,0.0780180020577674
