"","Company","Frequency","Percentage"
"1","uber",1561,47.6059774321439
"2","airbnb",699,21.3174748398902
"3","lyft",225,6.86184812442818
"4","via",75,2.28728270814273
"5","taskrabbit",61,1.86032326928942
"6","thumbtack",39,1.18938700823422
"7","etsy",31,0.945410186032327
"8","udemy",31,0.945410186032327
"9","instacart",29,0.884415980481854
"10","airtasker",28,0.853918877706618
"11","gone",28,0.853918877706618
"12","zipcar",26,0.792924672156145
"13","postmates",23,0.701433363830436
"14","justpark",21,0.640439158279963
"15","roadie",20,0.609942055504727
"16","button",19,0.579444952729491
"17","blablacar",18,0.548947849954254
"18","getaround",18,0.548947849954254
"19","homejoy",16,0.487953644403782
"20","yeloha",16,0.487953644403782
"21","homeaway",15,0.457456541628545
"22","relayrides",15,0.457456541628545
"23","sidecar",15,0.457456541628545
"24","dogvacay",13,0.396462336078073
"25","flytenow",12,0.365965233302836
"26","gett",12,0.365965233302836
"27","craigslist",11,0.3354681305276
"28","feastly",11,0.3354681305276
"29","circle",10,0.304971027752364
"30","favor",10,0.304971027752364
"31","ola",10,0.304971027752364
"32","twice",10,0.304971027752364
"33","alfred",9,0.274473924977127
"34","couchsurfing",9,0.274473924977127
"35","rover",8,0.243976822201891
"36","shyp",8,0.243976822201891
"37","weswap",8,0.243976822201891
"38","eatwith",7,0.213479719426654
"39","onefinestay",7,0.213479719426654
"40","cohealo",5,0.152485513876182
"41","prosper",5,0.152485513876182
"42","upstart",5,0.152485513876182
"43","cherry",4,0.121988411100945
"44","crowdcube",4,0.121988411100945
"45","kickstarter",4,0.121988411100945
"46","poshmark",4,0.121988411100945
"47","washio",4,0.121988411100945
"48","wonolo",4,0.121988411100945
"49","zopa",4,0.121988411100945
"50","gocatch",3,0.0914913083257091
"51","grabtaxi",3,0.0914913083257091
"52","hourlynerd",3,0.0914913083257091
"53","trustcloud",3,0.0914913083257091
"54","zirtual",3,0.0914913083257091
"55","angellist",2,0.0609942055504727
"56","breather",2,0.0609942055504727
"57","leap",2,0.0609942055504727
"58","loungebuddy",2,0.0609942055504727
"59","shuddle",2,0.0609942055504727
"60","wework",2,0.0609942055504727
"61","blender",1,0.0304971027752364
"62","crowdfunder",1,0.0304971027752364
"63","custommade",1,0.0304971027752364
"64","fiverr",1,0.0304971027752364
"65","fon",1,0.0304971027752364
"66","helparound",1,0.0304971027752364
"67","helpling",1,0.0304971027752364
"68","housetrip",1,0.0304971027752364
"69","indiegogo",1,0.0304971027752364
"70","kiva",1,0.0304971027752364
"71","lendingclub",1,0.0304971027752364
"72","medicast",1,0.0304971027752364
"73","mosaic",1,0.0304971027752364
"74","munchery",1,0.0304971027752364
"75","peerby",1,0.0304971027752364
"76","pley",1,0.0304971027752364
"77","quirky",1,0.0304971027752364
"78","rocksbox",1,0.0304971027752364
"79","roomorama",1,0.0304971027752364
"80","scoot",1,0.0304971027752364
"81","transferwise",1,0.0304971027752364
"82","tujia",1,0.0304971027752364
"83","vayable",1,0.0304971027752364
"84","vizeat",1,0.0304971027752364
"85","zaarly",1,0.0304971027752364
