"","Company","Frequency","Percentage"
"1","uber",6992,19.2495113289101
"2","airbnb",6817,18.7677229303747
"3","zipcar",4678,12.878892161991
"4","via",2798,7.70310822343969
"5","lyft",2296,6.32106378878397
"6","taskrabbit",995,2.73931118024392
"7","relayrides",856,2.35663353797869
"8","bixi",577,1.58852517688517
"9","craigslist",561,1.54447595187622
"10","couchsurfing",519,1.42884673622773
"11","etsy",480,1.32147675026843
"12","gone",448,1.23337830025053
"13","getaround",438,1.20584753461994
"14","kickstarter",394,1.08471216584533
"15","sidecar",357,0.982848333012141
"16","button",352,0.969082950196845
"17","twice",321,0.883737576742009
"18","circle",317,0.872725270489772
"19","blablacar",290,0.798392203287173
"20","favor",246,0.677256834512568
"21","instacart",221,0.608429920436087
"22","zopa",175,0.481788398535363
"23","thredup",166,0.45701070946783
"24","prosper",154,0.42397379071112
"25","angellist",134,0.368912259449935
"26","maven",132,0.363406106323817
"27","flightcar",127,0.349640723508521
"28","homejoy",124,0.341381493819343
"29","leap",120,0.330369187567106
"30","postmates",113,0.311097651625692
"31","rover",108,0.297332268810396
"32","skillshare",105,0.289073039121218
"33","udemy",99,0.272554579742863
"34","homeaway",96,0.264295350053685
"35","thumbtack",85,0.234011507860034
"36","dogvacay",83,0.228505354733915
"37","airtasker",80,0.220246125044738
"38","vayable",78,0.214739971918619
"39","trustcloud",76,0.209233818792501
"40","zaarly",76,0.209233818792501
"41","liquidspace",75,0.206480742229441
"42","alfred",72,0.198221512540264
"43","quirky",72,0.198221512540264
"44","indiegogo",69,0.189962282851086
"45","mosaic",67,0.184456129724968
"46","kiva",62,0.170690746909672
"47","chegg",61,0.167937670346612
"48","poshmark",58,0.159678440657435
"49","whipcar",57,0.156925364094375
"50","fiverr",55,0.151419210968257
"51","lendingclub",53,0.145913057842139
"52","peerby",53,0.145913057842139
"53","cherry",52,0.143159981279079
"54","feastly",52,0.143159981279079
"55","upstart",47,0.129394598463783
"56","eatwith",46,0.126641521900724
"57","fon",46,0.126641521900724
"58","justpark",46,0.126641521900724
"59","boxbee",45,0.123888445337665
"60","hailo",45,0.123888445337665
"61","shyp",43,0.118382292211546
"62","storefront",43,0.118382292211546
"63","makerbot",42,0.115629215648487
"64","checkr",41,0.112876139085428
"65","loosecubes",40,0.110123062522369
"66","deliv",37,0.101863832833191
"67","gobble",37,0.101863832833191
"68","onefinestay",37,0.101863832833191
"69","munchery",36,0.0991107562701319
"70","shapeways",36,0.0991107562701319
"71","wonolo",36,0.0991107562701319
"72","artsy",35,0.0963576797070727
"73","ola",34,0.0936046031440134
"74","coursera",33,0.0908515265809542
"75","cohealo",32,0.088098450017895
"76","drivy",32,0.088098450017895
"77","housetrip",32,0.088098450017895
