"","Word","Frequency","Percentage"
"1","new",30798,0.512527364997267
"2","will",27103,0.451036728798004
"3","can",24493,0.407602206340608
"4","business",22876,0.380692772312406
"5","people",20887,0.347592670715563
"6","sharing",19950,0.331999510737563
"7","social",17362,0.288931103028851
"8","c2a0",16547,0.275368215748093
"9","car",16331,0.271773634579205
"10","one",15640,0.260274303154661
"11","also",14881,0.247643344325097
"12","sharingeconomy",14470,0.240803655156518
"13","said",12830,0.213511464800147
"14","like",12721,0.211697532636218
"15","share",12555,0.208935030441609
"16","2015",12022,0.200065068575789
"17","may",11887,0.197818455345234
"18","services",11672,0.194240515755831
"19","use",11637,0.193658060473836
"20","companies",11268,0.187517317643652
"21","time",10629,0.176883348352359
"22","service",10607,0.176517233603676
"23","company",10228,0.170210074978636
"24","economy",9883,0.164468730056107
"25","e28093",9830,0.163586726343371
"26","city",9821,0.163436952128
"27","work",9724,0.161822718917898
"28","get",9612,0.159958862015512
"29","research",9325,0.155182728703147
"30","media",9241,0.153784836026357
"31","technology",9206,0.153202380744361
"32","now",9195,0.15301932337002
"33","2014",9113,0.151654713852201
"34","world",8875,0.14769401793463
"35","make",8776,0.146046501565557
"36","market",8753,0.145663745237388
"37","community",8708,0.144914874160536
"38","just",8625,0.143533623063232
"39","online",8561,0.142468561976154
"40","many",8538,0.142085805647986
"41","information",8454,0.140687912971196
"42","way",8416,0.140055532950743
"43","need",8224,0.13686034968951
"44","collaborativeconsumption",8218,0.136760500212596
"45","first",8155,0.135712080705004
"46","2013",8061,0.134147772233358
"47","public",7471,0.124329240336859
"48","2010",7419,0.123463878203608
"49","2012",7402,0.123180971352353
"50","news",7400,0.123147688193382
"51","year",7375,0.122731648706242
"52","2011",7201,0.119836013875749
"53","home",7184,0.119553107024494
"54","years",7098,0.118121931188733
"55","economic",7000,0.116491056399145
"56","uber",6992,0.11635792376326
"57","see",6864,0.114227801589104
"58","airbnb",6817,0.113445647353282
"59","data",6728,0.111964546779064
"60","money",6610,0.110000840399764
"61","cars",6605,0.109917632502336
"62","local",6580,0.109501593015196
"63","system",6408,0.106639241343674
"64","global",6321,0.105191423928428
"65","well",6255,0.104093079682379
"66","design",6253,0.104059796523408
"67","email",6210,0.103344208605527
"68","marketing",6186,0.102944810697873
"69","help",6162,0.102545412790219
"70","two",6077,0.101130878533943
"71","management",6063,0.100897896421145
"72","part",6044,0.100581706410919
"73","access",6006,0.0999493263904664
"74","want",5914,0.0984183010777919
"75","even",5905,0.0982685268624216
"76","says",5891,0.0980355447496233
"77","2009",5833,0.0970703331394589
"78","e296bac2a0",5823,0.096903917344603
"79","free",5809,0.0966709352318047
"80","model",5809,0.0966709352318047
"81","users",5790,0.0963547452215785
"82","bike",5775,0.0961051215292946
"83","innovation",5742,0.09555594940627
"84","open",5699,0.0948403614883896
"85","development",5691,0.0947072288525048
"86","around",5619,0.0935090351295422
"87","using",5609,0.0933426193346863
"88","change",5557,0.0924772572014355
"89","blog",5529,0.0920112929758389
"90","future",5473,0.0910793645246458
"91","next",5420,0.0901973608119094
"92","industry",5411,0.0900475865965391
"93","program",5395,0.0897813213247696
"94","members",5339,0.0888493928735764
"95","systems",5328,0.0886663354992349
"96","good",5304,0.0882669375915807
"97","internet",5258,0.0875014249352435
"98","2008",5256,0.0874681417762723
"99","consumer",5224,0.0869356112327333
"100","take",5214,0.0867691954378774
"101","network",5181,0.0862200233148529
"102","consumers",5178,0.0861700985763961
"103","much",5160,0.0858705501456554
"104","web",5150,0.0857041343507995
"105","group",5114,0.0851050374893182
"106","used",5105,0.0849552632739479
"107","value",5013,0.0834242379612734
"108","digital",4999,0.0831912558484751
"109","policy",4977,0.0828251410997921
"110","university",4974,0.0827752163613353
"111","businesses",4958,0.0825089510895658
"112","mobile",4951,0.0823924600331667
"113","million",4911,0.081726796853743
"114","per",4874,0.0811110584127761
"115","cities",4870,0.0810444920948337
"116","drivers",4868,0.0810112089358625
"117","find",4857,0.080828151561521
"118","think",4853,0.0807615852435786
"119","available",4804,0.0799461478487846
"120","november",4762,0.0792472015103897
"121","december",4728,0.0786813878078796
"122","report",4726,0.0786481046489084
"123","june",4724,0.0786148214899373
"124","small",4686,0.0779824414694848
"125","october",4685,0.0779657998899992
"126","zipcar",4678,0.0778493088336
"127","ago",4672,0.0777494593566865
"128","international",4651,0.077399986187489
"129","september",4624,0.076950663541378
"130","facebook",4609,0.0767010398490942
"131","july",4578,0.0761851508850408
"132","number",4577,0.0761685093055552
"133","things",4567,0.0760020935106993
"134","day",4560,0.0758856024543001
"135","march",4557,0.0758356777158434
"136","2007",4543,0.0756026956030451
"137","last",4521,0.0752365808543621
"138","growth",4517,0.0751700145364197
"139","resources",4494,0.0747872582082511
"140","read",4468,0.0743545771416257
"141","products",4465,0.0743046524031689
"142","energy",4450,0.074055028710885
"143","april",4444,0.0739551792339714
"144","trust",4441,0.0739052544955147
"145","law",4434,0.0737887634391155
"146","based",4405,0.0733061576340334
"147","content",4400,0.0732229497366054
"148","contact",4373,0.0727736270904944
"149","big",4372,0.0727569855110088
"150","august",4340,0.0722244549674699
"151","transportation",4324,0.0719581896957004
"152","green",4321,0.0719082649572436
"153","goods",4306,0.0716586412649597
"154","different",4303,0.071608716526503
"155","platform",4299,0.0715421502085606
"156","search",4269,0.0710429028239928
"157","government",4229,0.0703772396445691
"158","platforms",4222,0.07026074858817
"159","best",4216,0.0701608991112564
"160","life",4193,0.0697781427830878
"161","know",4189,0.0697115764651455
"162","customers",4184,0.0696283685677175
"163","video",4171,0.0694120280344048
"164","york",4166,0.0693288201369768
"165","experience",4143,0.0689460638088082
"166","collaborativeconomy",4137,0.0688462143318947
"167","great",4120,0.0685633074806396
"168","including",4097,0.068180551152471
"169","site",4072,0.0677645116653312
"170","cost",4023,0.0669490742705372
"171","better",4017,0.0668492247936236
"172","twitter",4010,0.0667327337372245
"173","product",4002,0.0665996011013397
"174","comments",4001,0.0665829595218541
"175","book",3999,0.0665496763628829
"176","support",3994,0.066466468465455
"177","sustainable",3979,0.0662168447731711
"178","models",3944,0.0656343894911754
"179","january",3941,0.0655844647527186
"180","san",3933,0.0654513321168339
"181","travel",3930,0.0654014073783771
"182","case",3922,0.0652682747424924
"183","create",3911,0.0650852173681508
"184","example",3908,0.0650352926296941
"185","financial",3885,0.0646525363015255
"186","made",3878,0.0645360452451263
"187","less",3833,0.0637871741682747
"188","february",3823,0.0636207583734187
"189","space",3819,0.0635541920554764
"190","become",3791,0.0630882278298798
"191","without",3791,0.0630882278298798
"192","provide",3778,0.0628718872965671
"193","rental",3774,0.0628053209786247
"194","study",3699,0.0615572025172053
"195","still",3689,0.0613907867223494
"196","since",3684,0.0613075788249214
"197","food",3678,0.0612077293480079
"198","ite28099s",3678,0.0612077293480079
"199","three",3668,0.061041313553152
"200","shared",3665,0.0609913888146952
"201","every",3657,0.0608582561788104
"202","back",3654,0.0608083314403537
"203","making",3634,0.0604754998506418
"204","costs",3631,0.060425575112185
"205","events",3626,0.0603423672147571
"206","post",3615,0.0601593098404156
"207","personal",3613,0.0601260266814444
"208","customer",3601,0.0599263277276173
"209","power",3577,0.0595269298199631
"210","capital",3574,0.0594770050815063
"211","website",3563,0.0592939477071648
"212","vehicles",3558,0.0592107398097368
"213","important",3557,0.0591940982302512
"214","google",3548,0.0590443240148809
"215","top",3546,0.0590110408559097
"216","another",3539,0.0588945497995106
"217","already",3534,0.0588113419020826
"218","state",3534,0.0588113419020826
"219","pay",3530,0.0587447755841402
"220","today",3505,0.0583287360970004
"221","collaborative",3498,0.0582122450406013
"222","rent",3495,0.0581623203021445
"223","going",3475,0.0578294887124327
"224","project",3473,0.0577962055534615
"225","place",3470,0.0577462808150047
"226","2006",3469,0.0577296392355191
"227","within",3460,0.0575798650201488
"228","view",3454,0.0574800155432352
"229","software",3450,0.0574134492252929
"230","really",3437,0.0571971086919802
"231","right",3430,0.057080617635581
