"","COMPANY","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005"
"1","uber",1561,1430,125,22,NA,NA,NA,NA,NA,NA,NA
"2","airbnb",699,775,399,197,69,6,NA,NA,NA,NA,NA
"3","lyft",225,505,165,19,NA,NA,NA,NA,NA,NA,NA
"4","via",75,117,105,84,76,48,37,34,31,21,9
"5","taskrabbit",61,46,23,38,31,NA,NA,NA,NA,NA,NA
"6","thumbtack",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","etsy",31,13,8,2,3,12,NA,NA,NA,NA,NA
"8","udemy",31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","instacart",29,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","airtasker",28,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","gone",28,28,19,12,13,19,9,13,6,9,3
"12","zipcar",26,71,428,408,598,454,579,378,224,333,111
"13","postmates",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","justpark",21,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","roadie",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","button",19,17,9,13,3,6,1,5,1,NA,NA
"17","blablacar",18,63,7,10,NA,NA,NA,NA,NA,NA,NA
"18","getaround",18,6,10,53,97,15,1,NA,2,1,NA
"19","homejoy",16,1,23,NA,NA,NA,NA,NA,NA,NA,NA
"20","yeloha",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","homeaway",15,3,4,2,2,NA,NA,NA,NA,NA,NA
"22","relayrides",15,23,91,132,109,40,NA,NA,NA,NA,NA
"23","sidecar",15,54,92,19,NA,NA,NA,NA,NA,NA,NA
"24","dogvacay",13,7,2,9,NA,NA,NA,NA,NA,NA,NA
"25","flytenow",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","gett",12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","craigslist",11,11,15,18,6,2,NA,2,NA,NA,NA
