"","COMPANY","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005"
"1","uber",1438,872,223,102,62,41,76,42,32,17,36
"2","airbnb",745,728,594,523,183,78,46,115,50,49,42
"3","lyft",267,322,170,50,12,26,11,17,8,3,1
"4","via",192,251,217,171,207,221,162,133,112,98,62
"5","taskrabbit",104,167,141,114,52,23,3,8,4,NA,7
"6","zipcar",93,90,139,173,119,159,32,27,5,3,NA
"7","couchsurfing",75,19,26,83,42,23,1,8,1,1,3
"8","instacart",69,24,64,1,9,5,3,2,NA,1,NA
"9","etsy",58,53,27,34,22,21,9,4,3,1,3
"10","button",49,55,24,17,9,24,26,16,14,10,22
"11","blablacar",42,24,29,24,6,3,NA,NA,1,2,NA
"12","craigslist",41,58,40,46,32,34,4,3,3,3,NA
"13","postmates",38,26,7,2,7,3,1,2,4,NA,NA
"14","homejoy",37,17,7,3,9,NA,2,2,NA,NA,NA
"15","gone",35,29,25,33,34,32,28,15,10,10,19
"16","kickstarter",29,64,46,61,26,14,4,3,4,12,13
"17","relayrides",28,52,110,77,40,32,2,7,1,NA,NA
"18","maven",23,23,NA,NA,NA,37,44,1,1,NA,NA
"19","favor",22,43,14,16,7,18,10,4,4,5,5
"20","cohealo",21,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","twice",21,16,5,10,27,17,22,11,7,8,8
"22","munchery",15,9,2,4,4,NA,1,NA,NA,NA,NA
"23","shyp",15,17,NA,NA,2,NA,1,NA,NA,NA,NA
"24","alfred",14,22,1,NA,2,1,3,5,1,2,1
"25","drivy",14,1,5,NA,NA,1,1,5,NA,NA,NA
"26","prosper",13,8,16,16,11,17,5,8,2,8,3
"27","sidecar",13,39,54,19,3,3,NA,10,1,NA,NA
"28","circle",12,13,30,20,12,24,30,21,6,8,22
"29","thumbtack",12,3,NA,2,3,1,25,NA,NA,NA,NA
"30","yeloha",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","zeel",11,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"32","wegolook",10,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"33","getaround",9,23,37,67,38,2,9,2,2,8,NA
"34","homeaway",9,25,9,NA,4,3,NA,NA,NA,NA,NA
"35","cherry",8,3,8,NA,3,1,NA,3,NA,1,1
"36","indiegogo",8,5,2,17,5,NA,1,1,1,4,11
"37","lendingclub",8,10,7,3,3,4,NA,NA,NA,NA,NA
"38","rover",8,7,8,1,NA,9,NA,12,1,NA,2
"39","spoonrocket",8,5,1,NA,1,NA,1,NA,NA,NA,NA
"40","sprig",8,7,NA,2,2,NA,8,NA,NA,NA,NA
"41","washio",8,9,NA,NA,1,NA,NA,NA,NA,NA,NA
"42","wework",8,5,3,3,1,2,2,2,NA,NA,NA
"43","artsy",7,4,4,5,5,1,1,5,NA,NA,NA
"44","breather",7,2,3,1,2,1,1,NA,NA,NA,NA
"45","dogvacay",7,19,15,5,NA,NA,NA,NA,NA,NA,NA
"46","poshmark",7,12,5,NA,NA,NA,NA,8,1,NA,NA
"47","zirtual",7,2,1,9,2,NA,NA,NA,NA,NA,NA
"48","zopa",7,4,17,28,17,53,3,NA,NA,3,2
"49","fiverr",6,11,2,5,2,NA,NA,19,1,NA,1
"50","leap",6,7,5,13,6,12,6,8,6,7,12
"51","liquidspace",6,11,21,6,7,1,NA,NA,NA,1,NA
"52","ola",6,1,3,1,1,2,5,NA,NA,NA,NA
"53","skillshare",6,7,23,22,14,1,NA,4,3,2,3
"54","zaarly",6,7,10,15,4,NA,NA,6,3,NA,NA
"55","grabtaxi",5,1,NA,1,1,2,1,NA,NA,NA,NA
"56","hourlynerd",5,4,1,6,NA,NA,NA,NA,NA,NA,NA
"57","justpark",5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","quirky",5,17,5,15,4,NA,NA,1,NA,1,10
"59","traity",5,3,NA,1,NA,NA,NA,NA,3,NA,NA
"60","transferwise",5,4,NA,5,NA,1,NA,NA,NA,NA,NA
"61","upstart",5,4,6,3,2,2,5,3,1,2,NA
"62","wonolo",5,22,1,NA,2,NA,NA,NA,NA,NA,NA
"63","airtasker",4,7,8,1,11,NA,3,NA,NA,NA,NA
"64","fundingcircle",4,1,2,1,NA,NA,NA,NA,NA,NA,NA
"65","getable",4,1,5,4,2,1,NA,1,1,2,2
"66","gigwalk",4,3,6,1,NA,NA,NA,4,NA,NA,NA
"67","thredup",4,19,19,13,30,17,NA,NA,NA,NA,NA
"68","angellist",3,13,9,10,NA,NA,NA,1,1,93,1
"69","bellhops",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","chegg",3,5,10,4,7,24,2,NA,NA,NA,NA
"71","deliv",3,2,23,NA,NA,NA,NA,NA,NA,NA,9
"72","eatwith",3,13,6,1,NA,NA,NA,1,1,NA,1
"73","kitchit",3,1,7,2,NA,NA,NA,NA,NA,NA,NA
"74","storefront",3,4,1,2,4,NA,1,10,1,2,1
"75","threadflip",3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","tongal",3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"77","vayable",3,6,12,20,9,NA,NA,3,3,NA,NA
"78","boatbound",2,5,10,NA,NA,NA,NA,NA,NA,NA,NA
"79","cargomatic",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","circleup",2,NA,NA,NA,NA,NA,NA,1,1,NA,1
"81","crowdflower",2,1,6,2,2,NA,NA,4,NA,NA,NA
"82","flightcar",2,15,14,8,NA,NA,NA,NA,NA,NA,NA
"83","hailo",2,4,5,NA,NA,1,1,NA,NA,NA,NA
"84","jayride",2,1,10,4,1,NA,NA,NA,NA,NA,NA
"85","kaggle",2,NA,NA,6,1,NA,NA,1,1,NA,1
"86","loosecubes",2,1,2,20,9,NA,NA,NA,NA,NA,NA
