"","x.before","x.after"
"sharing",26.6521739130435,44.3846153846154
"sharingeconomy",13.5652173913043,28.0384615384615
"people",43.0869565217391,21.6153846153846
"research",34.8260869565217,18.7307692307692
"social",32.7391304347826,25.2692307692308
"collaborativeconsumption",41.7391304347826,12.0769230769231
"business",18.695652173913,20.8076923076923
"platforms",10.4782608695652,18.3076923076923
"consumer",22.9130434782609,8.34615384615385
"trust",41.695652173913,9.42307692307692
"services",9.95652173913044,13.6153846153846
"companies",12.9130434782609,11.6923076923077
"consumption",17.3913043478261,10.9615384615385
"users",16,18.5384615384615
"service",9.1304347826087,10.4615384615385
"consumers",13.3913043478261,6.65384615384615
"goods",17.2608695652174,23.8846153846154
"online",19.6521739130435,12.7692307692308
"airbnb",15.8695652173913,13.9615384615385
"model",11.1304347826087,13.8076923076923
"platform",7.30434782608696,17.5769230769231
"economic",12.1304347826087,14.5384615384615
"car",8.17391304347826,8.42307692307692
"law",32.4347826086956,0
"data",13.2608695652174,13.0384615384615
"value",11.1304347826087,11.1153846153846
"community",9.39130434782609,14.4230769230769
"company",8.21739130434783,9.80769230769231
"share",9.65217391304348,7.96153846153846
"systems",11.4782608695652,9.80769230769231
"technology",24.8695652173913,6.42307692307692
"public",9.30434782608696,8.88461538461539
"work",9.8695652173913,7.80769230769231
"local",7.52173913043478,6.30769230769231
"ownership",5.91304347826087,5.23076923076923
"members",10.6521739130435,5.84615384615385
"uber",0,6.69230769230769
"shared",11.1739130434783,7.73076923076923
"sustainable",6.1304347826087,7.30769230769231
"collaborative",9.73913043478261,7.57692307692308
"environmental",8.04347826086956,5.80769230769231
"internet",12.9565217391304,5.30769230769231
"traditional",4.52173913043478,4.61538461538461
"models",2.91304347826087,12
"peertopeer",4.30434782608696,11.7307692307692
"products",13.1739130434783,4.19230769230769
"innovation",5.39130434782609,5.11538461538461
"sustainability",4.39130434782609,6.73076923076923
"quality",3.08695652173913,4.88461538461539
"participants",14.304347826087,5.23076923076923
"drivers",3.34782608695652,6.34615384615385
"respondents",10.8695652173913,3.57692307692308
"money",11.5217391304348,5.57692307692308
"development",10.1304347826087,4.88461538461539
"product",10.7391304347826,4.73076923076923
"costs",5,8.26923076923077
"network",5.17391304347826,6.76923076923077
"legal",13.0434782608696,0
"p2p",9.43478260869565,3.53846153846154
"cost",4.65217391304348,6.03846153846154
"process",9.52173913043478,4.73076923076923
"society",13,4.15384615384615
"city",0.0869565217391304,7.84615384615385
"markets",3.1304347826087,7.65384615384615
"tourism",3.26086956521739,15.1923076923077
"private",3.39130434782609,6.42307692307692
"regulation",8.26086956521739,2.34615384615385
"experience",9.60869565217391,4.38461538461539
"potential",6.39130434782609,6.03846153846154
"according",6.82608695652174,5.80769230769231
"university",8.08695652173913,3.23076923076923
"impact",5.52173913043478,6.19230769230769
