"","x.before","x.after"
"sharing",24.7142857142857,27.5
"sharingeconomy",13,13.8125
"people",35.1428571428571,46.5625
"research",16.1428571428571,43
"social",16.4285714285714,39.875
"collaborativeconsumption",39,42.9375
"business",14.8571428571429,20.375
"platforms",14.7142857142857,8.625
"consumer",28.8571428571429,20.3125
"trust",78.7142857142857,25.5
"services",4.42857142857143,12.375
"companies",6.57142857142857,15.6875
"consumption",10.8571428571429,20.25
"users",16.7142857142857,15.6875
"service",6.42857142857143,10.3125
"consumers",13.7142857142857,13.25
"goods",10.4285714285714,20.25
"online",14.2857142857143,22
"airbnb",7.57142857142857,19.5
"model",7.85714285714286,12.5625
"platform",5,8.3125
"economic",16.1428571428571,10.375
"car",5,9.5625
"law",7,43.5625
"data",6,16.4375
"value",4.28571428571429,14.125
"community",7.42857142857143,10.25
"company",4.42857142857143,9.875
"share",5.85714285714286,11.3125
"systems",16.1428571428571,9.4375
"technology",3.57142857142857,34.1875
"public",2.85714285714286,12.125
"work",9.85714285714286,9.875
"local",8.71428571428571,7
"ownership",3.85714285714286,6.8125
"members",5.28571428571429,13
"uber",0,0
"shared",0.428571428571429,15.875
"sustainable",3.28571428571429,7.375
"collaborative",4.42857142857143,12.0625
"environmental",3,10.25
"internet",10.1428571428571,14.1875
"traditional",0.857142857142857,6.125
"models",0.285714285714286,4.0625
"peertopeer",0,6.1875
"products",4.14285714285714,17.125
"innovation",0.142857142857143,7.6875
"sustainability",2.28571428571429,5.3125
"quality",0,4.4375
"participants",3,19.25
"drivers",0,4.8125
"respondents",7.42857142857143,12.375
"money",6.28571428571429,13.8125
"development",9.71428571428571,10.3125
"product",5.85714285714286,12.875
"costs",2.85714285714286,5.9375
"network",1.42857142857143,6.8125
"legal",7.42857142857143,15.5
"p2p",21.4285714285714,4.1875
"cost",3,5.375
"process",3,12.375
"society",10.4285714285714,14.125
"city",0.285714285714286,0
"markets",0,4.5
"tourism",0,4.6875
"private",0,4.875
"regulation",0,11.875
"experience",2.14285714285714,12.875
"potential",0,9.1875
"according",4.42857142857143,7.875
"university",4.28571428571429,9.75
"impact",0,7.9375
"income",16,0
"review",0,8.75
"relationship",3,4.8125
"theory",2.28571428571429,9.125
"things",3.85714285714286,12.9375
"home",5.57142857142857,4.9375
"benefits",0.142857142857143,8.0625
"customers",0,9.375
"rental",2.57142857142857,4.4375
"states",13.1428571428571,8.0625
"space",3.28571428571429,7.5625
"price",3.71428571428571,4.9375
"accommodation",0,4.6875
"environment",4.28571428571429,9.625
"belk",0,6.75
"botsman",7.14285714285714,4.9375
"clothes",0,8.5625
"customer",0,6.1875
"user",3.71428571428571,5.3125
"place",5.57142857142857,6.375
"industry",0,7.0625
"policy",0,5.875
"demand",2.57142857142857,0
"individual",3,5.3125
"cities",0,0
"technologies",3.71428571428571,10.9375
"taxi",0,0
"media",4.42857142857143,6.6875
"ridesharing",0,0
"financial",0.428571428571429,8.0625
"rent",13.7142857142857,7.0625
"regulatory",0,10.375
"lyft",0,0
"businesses",6.71428571428571,0
"international",0.428571428571429,7.5
"global",4.14285714285714,8.25
"networks",5,3.875
"carsharing",2.14285714285714,0
"communities",9.14285714285714,0
"cars",0,3.6875
"marketing",3.57142857142857,6.3125
"culture",4.28571428571429,9.8125
"rules",0.285714285714286,10.375
"food",3.85714285714286,0
"design",4.28571428571429,5.375
"government",7.85714285714286,0
"safety",3.42857142857143,4.5625
"hotel",4.71428571428571,9.875
"transactions",5.85714285714286,4.0625
"collaborativeconomy",0,5.5
"driver",0,0
"relationships",6.14285714285714,5.3125
"hosts",0,0
"ride",0,0
"buy",4.42857142857143,8.4375
"digital",0,0
"interest",0.142857142857143,4.75
"fashion",0,20.6875
"transportation",0,0
"european",0,9
"pay",0,3.9375
"providers",0.428571428571429,0
"discussion",2.28571428571429,4.3125
"owners",2.28571428571429,0
"clothing",0,5.5625
"communication",8.42857142857143,3.875
"regulations",3.42857142857143,0
"peer",0,0
"rise",0,3.75
"renting",4.42857142857143,6.25
"possessions",0,0
"provided",0,5.5
"urban",0.285714285714286,0
"economics",0.857142857142857,0
"reasons",2.28571428571429,4.0625
"mobility",0,0
"lack",0,3.6875
"insurance",0.428571428571429,0
"instance",2.57142857142857,6.75
"swapping",0,8.6875
"concerns",0.142857142857143,5.125
"political",5.57142857142857,0
"capital",4.42857142857143,6.3125
"offer",2.57142857142857,0
"mobile",3.71428571428571,0
"commission",0.142857142857143,7.9375
"issue",4.85714285714286,4.4375
