"","x.before","x.after"
"1",1.715,2.94
"2",1.325,2.6875
"3",1.1675,1.4925
"4",0.425,0.995
"5",0.3275,0.6275
"6",0.68,1.3825
"7",0.6425,0.94
"8",0.6375,0.6875
"9",0.84,1.14
"10",1.1475,0.99
"11",0.44,0.66
"12",0.6625,1.3325
"13",0.92,0.9625
"14",0.8425,0.93
"15",0.825,0.76
"16",0,0
"17",0.35,1.02
"18",0.5425,0.7
"19",0.5375,0.645
"20",0.385,1.1525
"21",0.5475,1.03
"22",0.4575,0.5125
"23",0.6675,0.5575
"24",0.5675,0.53
"25",0.675,0.7925
"26",0.42,0.4575
"27",0.41,0.2675
"28",0.46,0.5375
"29",0.6825,0.5425
"30",0.6525,0.9975
"31",0,0
"32",0.3825,0.5275
"33",0.375,0.5875
"34",0.7725,0.4225
"35",0.9225,0.63
"36",0.34,0.4
"37",0.48,0.7025
"38",0.6325,0.8525
"39",0.665,0.3475
"40",0,0
"41",1.025,0.405
"42",0.32,0.3725
"43",0.205,0.51
"44",0.5625,0.6525
"45",0.395,0.925
"46",0.335,0.6225
"47",0.3675,0.4125
"48",0.3575,0.4475
"49",0,0.3925
"50",0,0
"51",0.235,0.3175
"52",0.3375,0.5475
"53",0.19,0.2375
"54",0,0.345
"55",0.545,0.585
"56",0.2725,0.775
"57",0.285,0.285
"58",0.4175,0.325
"59",0.405,0.38
"60",0.195,0.215
"61",0,0.2725
"62",0.305,0.465
"63",0,0.2075
"64",0.4525,0.27
"65",0.3125,0.3425
"66",0,0.375
"67",0.3325,0.285
"68",0,0
"69",0.3375,0.4175
"70",0.1925,0.245
"71",0.3775,0.3225
"72",0.405,0.3525
"73",0.395,0.65
"74",0,1.195
"75",0.185,0.38
"76",0.3625,0.3425
"77",0.44,0.475
"78",0.21,0.4325
"79",0.265,0.355
"80",0.25,0.32
"81",0,0
"82",0,0.3025
"83",0.215,0.2175
"84",0.23,0.325
"85",0.31,0.3825
"86",0,0
"87",0.3275,0.285
"88",0.225,0.4025
"89",0.1975,0.45
"90",0.3375,0.41
"91",0.19,0.4075
"92",0.26,0.4525
"93",0,0.24
"94",0,0
"95",0,0
"96",0.2525,0.28
"97",0.2725,0.2775
"98",0.22,0.44
"99",0.2725,0.305
"100",0.235,0.2925
"101",0,0
"102",0,0.285
"103",0,0.27
"104",0.1925,0.3175
"105",0.2475,0.2075
"106",0.3775,0.3375
"107",0,0
"108",0,0
"109",0.255,0.34
"110",0,0.405
"111",0,0
"112",0.51,0.4275
"113",0,0
"114",0,0
"115",0.195,0
"116",0.2825,0.34
"117",0,0.28
"118",0.2825,0.2275
"119",0.225,0.5925
"120",0.255,0
"121",0,0.2025
"122",0,0
"123",0.235,0.325
"124",0,0.21
"125",0.45,0.265
"126",0,0
"127",0.275,0.2675
"128",0.3625,0
"129",0.19,0
"130",0.205,0
"131",0,0
"132",0.2925,0
"133",0,0
"134",0.2375,0.51
"135",0,0.21
"136",0,0.3
"137",0,0.3275
"138",0.21,0.2775
"139",0.205,0.275
"140",0.31,0.3575
"141",0,0.4425
"142",0.205,0.3675
"143",0,0.25
"144",0.2375,0
"145",0.2125,0.22
"146",0,0.215
"147",0.18,0
"148",0.2625,0.4275
"149",0,0
"150",0,0
"151",0,0.33
"152",0.2425,0
"153",0,0.2875
"154",0,0
"155",0,0
"156",0,0
"157",0,0
"158",0.425,0
"159",0.38,0.2875
"160",0,0
"161",0,0
"162",0.33,0
"163",0,0.28
"164",0,0.2275
"165",0.2675,0.2625
"166",0,0
"167",0,0
"168",0,0
"169",0,0
"170",0.2975,0
"171",0.1875,0.2525
"172",0,0.465
"173",0.1925,0
"174",0,0.2175
"175",0,0
"176",0,0.75
"177",0,0.22
"178",0,0.2825
"179",0,0.4975
"180",0,0
"181",0,0
"182",0.335,0
"183",0,0.82
"184",0,0
"185",0,0
"186",0,0
"187",0,0
"188",0,0
"189",0,0
"190",0,0
"191",0,0
"192",0.245,0.2625
"193",0.23,0.5475
"194",0.2575,0.2825
"195",0,0
"196",0,0
"197",0,0
"198",0,0.2425
"199",0,0
"200",0.2025,0
"201",0,0.2325
"202",0.2175,0.3625
"203",0,0
"204",0.2,0
"205",0,0
"206",0,0
"207",0,0
"208",0,0
"209",0,0
"210",0,0.2425
"211",0.2025,0
"212",0,0
"213",0,0
"214",0,0
"215",0.27,0
"216",0.25,0
"217",0,0.72
"218",0.255,0
"219",0,0
"220",0,0.215
"221",0.385,0
"222",0,0
"223",0,0
"224",0,0
"225",0,0
"226",0,0
"227",0,0
"228",0,0
"229",0,0
"230",0,0.28
"231",0,0
"232",0,0.385
"233",0,0
"234",0,0
"235",0,0
"236",0,0.2275
"237",0.2075,0
"238",0,0
"239",0,0
"240",0,0
"241",0,0
"242",0.5525,0
"243",0,0
"244",0,0
"245",0.1775,0
"246",0,0.205
"247",0,0
