"","LN.2007.X","LN.2007.Y","LN.2008.X","LN.2008.Y","LN.2009.X","LN.2009.Y","LN.2010.X","LN.2010.Y","LN.2011.X","LN.2011.Y","LN.2012.X","LN.2012.Y","LN.2013.X","LN.2013.Y","LN.2014.X","LN.2014.Y","LN.2015.X","LN.2015.Y"
"car",3.14869888475836,2.45714285714286,2.7959927140255,2.43807339449541,2.63756345177665,2.34171907756813,2.54103967168263,2.22482014388489,2.45391476709613,2.53183023872679,2.47510822510823,1.441,2.20095440084836,1.64564564564565,2.08467826451478,0.975683890577508,1.89458145189302,0.442540322580645
"people",1.20817843866171,1.15,1.17850637522769,1.16743119266055,1.17360406091371,0.983228511530398,1.11149110807114,0.933453237410072,1.06243805748266,0.911140583554377,1.02128427128427,0.858,0.977995758218452,1.12712712712713,1.00922238524418,1.44883485309017,1.08457797846474,1.15625
"city",0.591078066914498,0.810714285714286,0.703096539162113,0.901376146788991,0.790862944162437,0.90356394129979,0.827633378932969,1.35611510791367,0.973240832507433,1.07559681697613,1.00108225108225,0.779,0.94220572640509,1.32332332332332,1.02200796478726,1.05268490374873,1.02726641194859,0.366935483870968
"sharing",1.15985130111524,0.9,1.02732240437158,0.961009174311927,0.997969543147208,0.914046121593291,0.970588235294118,1.00719424460432,0.980673934588702,1.20026525198939,1.04040404040404,0.929,1.01086956521739,0.943943943943944,0.996856005030392,0.889564336372847,0.978464744703022,0.642137096774194
"bike",0,0.260714285714286,0.132969034608379,0.447247706422018,0.272081218274112,0.566037735849057,0.367989056087551,1.13848920863309,0.580277502477701,0.985411140583554,0.69047619047619,0.908,0.748144220572641,1.2952952952953,0.862712219660449,0.897669706180344,0.868704411253908,0.168346774193548
"share",0.669144981412639,0.6,0.633879781420765,0.740825688073395,0.681218274111675,0.834381551362683,0.731190150478796,0.893884892086331,0.77601585728444,0.774535809018568,0.775613275613276,0.717,0.760074231177094,0.926926926926927,0.795011527981555,0.858156028368794,0.805835359499826,0.371975806451613
"company",0.828996282527881,0.75,0.788706739526412,0.522935779816514,0.671065989847716,0.570230607966457,0.638166894664843,0.77158273381295,0.674925668979187,0.721485411140584,0.687590187590188,0.656,0.679215270413574,0.738738738738739,0.691678893313771,0.867274569402229,0.721778395276138,0.631048387096774
"business",0.594795539033457,0.467857142857143,0.530054644808743,0.594036697247706,0.558375634517767,0.465408805031447,0.528043775649795,0.595323741007194,0.546580773042616,0.56763925729443,0.552308802308802,0.551,0.551961823966066,0.724724724724725,0.588136658981346,0.707193515704154,0.608544633553317,0.94758064516129
"cars",1.47955390334573,1.28571428571429,1.38069216757741,1.0848623853211,1.2497461928934,0.80083857442348,1.10328317373461,0.870503597122302,1.03914767096135,0.786472148541114,0.97041847041847,0.492,0.843584305408271,0.573573573573574,0.787046740725215,0.442755825734549,0.728030566168809,0.236895161290323
"service",0.83271375464684,0.617857142857143,0.723132969034608,0.490825688073394,0.620304568527919,0.582809224318658,0.608071135430917,0.589928057553957,0.603072348860258,0.510610079575597,0.577922077922078,0.445,0.542682926829268,0.582582582582583,0.551037518339971,0.794326241134752,0.592740534907954,0.643145161290323
"companies",0.676579925650558,0.528571428571429,0.601092896174863,0.364678899082569,0.496446700507614,0.431865828092243,0.475376196990424,0.397482014388489,0.453914767096135,0.36737400530504,0.43037518037518,0.3,0.395811240721103,0.603603603603604,0.439320897086565,0.690982776089159,0.482459187217784,0.846774193548387
"zipcar",1.65055762081784,0.8,1.21675774134791,0.86697247706422,1.06192893401015,1.21383647798742,1.11149110807114,0.816546762589928,1.03022794846383,0.793103448275862,0.965728715728716,0.408,0.817868504772004,0.428428428428428,0.736323621882205,0,0.610107676276485,0
