"","Word","Frequency","Percentage"
"1","sharing",4869,0.65842586319509
"2","sharingeconomy",3769,0.509674898004168
"3","can",3726,0.503860087546704
"4","new",3585,0.484792918372232
"5","also",3029,0.409606066875729
"6","people",2909,0.393378688854902
"7","research",2821,0.381478611639628
"8","social",2632,0.355920491256824
"9","will",2604,0.352134103051964
"10","business",2596,0.351052277850576
"11","collaborativeconsumption",2476,0.334824899829748
"12","2014",2321,0.313864536552845
"13","one",2205,0.298178071132712
"14","use",1993,0.269509703295916
"15","may",1872,0.253147097124914
"16","consumer",1869,0.252741412674394
"17","platforms",1866,0.252335728223873
"18","trust",1783,0.241111791759467
"19","services",1765,0.238677685056343
"20","2013",1726,0.233403787199574
"21","consumption",1702,0.230158311595408
"22","companies",1697,0.22948217084454
"23","service",1684,0.227724204892284
"24","users",1669,0.225695782639681
"25","consumers",1630,0.220421884782911
"26","goods",1595,0.215688899526837
"27","2012",1550,0.209603632769026
"28","online",1549,0.209468404618853
"29","airbnb",1519,0.205411560113646
"30","model",1507,0.203788822311563
"31","time",1499,0.202706997110174
"32","different",1465,0.198109240004273
"33","market",1433,0.193781939198719
"34","platform",1415,0.191347832495595
"35","see",1407,0.190266007294206
"36","2010",1394,0.18850804134195
"37","however",1373,0.185668250188305
"38","economy",1354,0.183098915335007
"39","information",1323,0.178906842679627
"40","economic",1315,0.177825017478238
"41","2015",1312,0.177419333027718
"42","law",1311,0.177284104877544
"43","study",1311,0.177284104877544
"44","car",1301,0.175931823375808
"45","like",1286,0.173903401123205
"46","value",1263,0.170793153669213
"47","data",1254,0.169576100317651
"48","e28093",1241,0.167818134365395
"49","access",1239,0.167547678065047
"50","2011",1196,0.161732867607584
"51","used",1194,0.161462411307237
"52","many",1180,0.159569217204807
"53","community",1162,0.157135110501683
"54","part",1152,0.155782828999947
"55","example",1134,0.153348722296823
"56","system",1125,0.152131668945261
"57","way",1115,0.150779387443525
"58","case",1093,0.147804368139707
"59","two",1092,0.147669139989533
"60","need",1077,0.14564071773693
"61","company",1064,0.143882751784674
"62","share",1052,0.142260013982591
"63","systems",1045,0.141313416931376
"64","technology",1036,0.140096363579814
"65","public",1023,0.138338397627557
"66","available",1015,0.137256572426169
"67","first",1015,0.137256572426169
"68","work",1011,0.136715659825475
"69","based",1009,0.136445203525127
"70","number",993,0.13428155312235
"71","analysis",973,0.131576990118879
"72","well",970,0.131171305668358
"73","within",944,0.127655373763846
"74","local",942,0.127384917463499
"75","order",940,0.127114461163151
"76","ownership",932,0.126032635961763
"77","members",915,0.123733757408812
"78","uber",913,0.123463301108465
"79","shared",895,0.121029194405341
"80","using",885,0.119676912903605
"81","important",878,0.11873031585239
"82","even",871,0.117783718801175
"83","sustainable",861,0.11643143729944
"84","make",856,0.115755296548572
"85","collaborative",855,0.115620068398398
"86","models",855,0.115620068398398
"87","internet",835,0.112915505394927
"88","traditional",834,0.112780277244753
"89","environmental",833,0.11264504909458
"90","peertopeer",829,0.112104136493886
"91","resources",828,0.111968908343712
"92","journal",820,0.110887083142324
"93","since",820,0.110887083142324
"94","products",808,0.109264345340241
"95","exchange",801,0.108317748289026
"96","innovation",798,0.107912063838505
"97","world",796,0.107641607538158
"98","among",793,0.107235923087637
"99","sustainability",792,0.107100694937464
"100","thus",771,0.104260903783819
"101","quality",764,0.103314306732604
"102","group",762,0.103043850432257
"103","participants",757,0.102367709681389
"104","drivers",749,0.10128588448
"105","less",740,0.100068831128438
"106","take",735,0.0993926903775705
"107","respondents",723,0.0977699525754877
"108","money",720,0.097364268124967
"109","development",718,0.0970938118246199
"110","legal",713,0.0964176710737521
"111","provide",712,0.0962824429235785
"112","future",710,0.0960119866232314
"113","product",710,0.0960119866232314
"114","personal",707,0.0956063021727107
"115","concept",704,0.09520061772219
"116","costs",701,0.0947949332716693
"117","network",699,0.0945244769713222
"118","results",698,0.0943892488211486
"119","whether",695,0.0939835643706279
"120","good",694,0.0938483362204543
"121","figure",689,0.0931721954695865
"122","city",684,0.0924960547187187
"123","management",680,0.0919551421180244
"124","others",679,0.0918199139678509
"125","individuals",673,0.0910085450668095
"126","values",672,0.0908733169166359
"127","factors",669,0.0904676324661152
"128","therefore",662,0.0895210354149003
"129","often",661,0.0893858072647267
"130","rather",657,0.0888448946640324
"131","cost",655,0.0885744383636853
"132","change",644,0.0870869287117761
"133","note",644,0.0870869287117761
"134","level",641,0.0866812442612554
"135","markets",639,0.0864107879609082
"136","process",638,0.0862755598107347
"137","income",635,0.085869875360214
"138","three",631,0.0853289627595197
"139","p2p",630,0.0851937346093462
"140","society",624,0.0843823657083048
"141","private",623,0.0842471375581312
"142","questions",621,0.0839766812577841
"143","possible",618,0.0835709968072634
"144","potential",618,0.0835709968072634
"145","another",614,0.0830300842065691
"146","tourism",614,0.0830300842065691
"147","impact",613,0.0828948560563955
