"","Word","Frequency","Percentage"
"1","trust",551,1.67553595864376
"2","collaborativeconsumption",273,0.830165729055801
"3","people",235,0.714611525011403
"4","usa",222,0.675079823627794
"5","will",211,0.641629922457047
"6","new",202,0.614261821499164
"7","consumer",201,0.611220921392732
"8","also",163,0.495666717348335
"9","economy",153,0.46525771628402
"10","p2p",150,0.456135015964726
"11","can",145,0.440930515432568
"12","one",140,0.425726014900411
"13","2012",130,0.395317013836095
"14","sharing",123,0.374030713091075
"15","items",122,0.370989812984643
"16","2011",121,0.367948912878212
"17","system",116,0.352744412346054
"18","research",113,0.34362171202676
"19","systems",113,0.34362171202676
"20","users",113,0.34362171202676
"21","income",112,0.340580811920328
"22","many",112,0.340580811920328
"23","economic",109,0.331458111601034
"24","social",107,0.325376311388171
"25","platforms",103,0.313212710962445
"26","online",100,0.30409001064315
"27","business",99,0.301049110536719
"28","consumers",96,0.291926410217424
"29","rent",96,0.291926410217424
"30","use",95,0.288885510110993
"31","section",93,0.28280370989813
"32","since",93,0.28280370989813
"33","states",92,0.279762809791698
"34","time",91,0.276721909685267
"35","sharingeconomy",89,0.270640109472404
"36","united",88,0.267599209365972
"37","different",83,0.252394708833815
"38","like",83,0.252394708833815
"39","whether",82,0.249353808727383
"40","well",81,0.246312908620952
"41","large",80,0.24327200851452
"42","need",78,0.237190208301657
"43","way",77,0.234149308195226
"44","consumption",76,0.231108408088794
"45","current",76,0.231108408088794
"46","form",76,0.231108408088794
"47","may",76,0.231108408088794
"48","society",73,0.2219857077695
"49","person",72,0.218944807663068
"50","question",72,0.218944807663068
"51","internet",71,0.215903907556637
"52","goods",70,0.212863007450205
"53","2010",68,0.206781207237342
"54","country",68,0.206781207237342
"55","development",68,0.206781207237342
"56","world",68,0.206781207237342
"57","e280a2",67,0.203740307130911
"58","growth",67,0.203740307130911
"59","willing",65,0.197658506918048
"60","american",61,0.185494906492322
"61","change",61,0.185494906492322
"62","used",61,0.185494906492322
"63","communities",60,0.18245400638589
"64","two",60,0.18245400638589
"65","among",57,0.173331306066596
"66","building",57,0.173331306066596
"67","work",57,0.173331306066596
"68","communication",56,0.170290405960164
"69","factors",55,0.167249505853733
"70","market",55,0.167249505853733
"71","questions",55,0.167249505853733
"72","website",55,0.167249505853733
"73","government",54,0.164208605747301
"74","personal",54,0.164208605747301
"75","airbnb",53,0.16116770564087
"76","determine",53,0.16116770564087
"77","first",53,0.16116770564087
"78","must",53,0.16116770564087
"79","retrieved",53,0.16116770564087
"80","rogers",53,0.16116770564087
"81","tax",53,0.16116770564087
"82","respondents",52,0.158126805534438
"83","botsman",50,0.152045005321575
"84","help",50,0.152045005321575
"85","response",50,0.152045005321575
"86","create",49,0.149004105215144
"87","group",49,0.149004105215144
"88","2009",48,0.145963205108712
"89","influence",48,0.145963205108712
"90","businesses",47,0.142922305002281
"91","local",47,0.142922305002281
"92","companies",46,0.139881404895849
"93","marketplaces",46,0.139881404895849
"94","based",45,0.136840504789418
"95","factor",45,0.136840504789418
"96","1999",44,0.133799604682986
"97","cohen",44,0.133799604682986
"98","creating",44,0.133799604682986
"99","necessary",44,0.133799604682986
"100","2003",43,0.130758704576555
"101","another",43,0.130758704576555
"102","history",43,0.130758704576555
"103","information",43,0.130758704576555
"104","relationships",43,0.130758704576555
"105","even",42,0.127717804470123
"106","model",42,0.127717804470123
"107","money",42,0.127717804470123
"108","part",42,0.127717804470123
"109","reputation",42,0.127717804470123
"110","study",42,0.127717804470123
"111","able",41,0.124676904363692
"112","due",41,0.124676904363692
"113","example",41,0.124676904363692
"114","product",41,0.124676904363692
"115","decision",40,0.12163600425726
"116","war",40,0.12163600425726
"117","websites",40,0.12163600425726
"118","become",39,0.118595104150829
"119","data",39,0.118595104150829
"120","growing",39,0.118595104150829
"121","home",39,0.118595104150829
"122","important",39,0.118595104150829
"123","life",39,0.118595104150829
"124","make",39,0.118595104150829
"125","place",39,0.118595104150829
"126","political",39,0.118595104150829
"127","amount",38,0.115554204044397
"128","behavior",38,0.115554204044397
"129","community",38,0.115554204044397
"130","general",38,0.115554204044397
"131","needs",38,0.115554204044397
"132","stay",38,0.115554204044397
"133","legal",37,0.112513303937966
"134","members",37,0.112513303937966
"135","take",37,0.112513303937966
"136","good",36,0.109472403831534
"137","possible",36,0.109472403831534
"138","similar",36,0.109472403831534
"139","average",35,0.106431503725103
"140","confidence",35,0.106431503725103
"141","incentive",35,0.106431503725103
"142","increase",35,0.106431503725103
"143","interviews",35,0.106431503725103
"144","longer",35,0.106431503725103
"145","platform",35,0.106431503725103
"146","share",35,0.106431503725103
"147","strangers",35,0.106431503725103
"148","thus",35,0.106431503725103
"149","web",35,0.106431503725103
"150","answer",34,0.103390603618671
"151","changes",34,0.103390603618671
"152","consumerism",34,0.103390603618671
"153","exchange",34,0.103390603618671
"154","issue",34,0.103390603618671
"155","participate",34,0.103390603618671
"156","fact",33,0.10034970351224
"157","hotel",33,0.10034970351224
"158","house",33,0.10034970351224
"159","however",33,0.10034970351224
