"","Company","Frequency","Percentage"
"1","airbnb",363,22.3797780517879
"2","lyft",268,16.5228113440197
"3","craigslist",190,11.7139334155364
"4","uber",174,10.7274969173859
"5","etsy",116,7.15166461159063
"6","zipcar",92,5.67200986436498
"7","couchsurfing",83,5.11713933415536
"8","kickstarter",60,3.69913686806412
"9","via",52,3.2059186189889
"10","taskrabbit",50,3.0826140567201
"11","relayrides",40,2.46609124537608
"12","blablacar",14,0.863131935881628
"13","getaround",12,0.739827373612824
"14","sidecar",9,0.554870530209618
"15","circle",8,0.493218249075216
"16","bixi",7,0.431565967940814
"17","tujia",7,0.431565967940814
"18","twice",7,0.431565967940814
"19","favor",6,0.369913686806412
"20","eatwith",5,0.30826140567201
"21","skillshare",5,0.30826140567201
"22","alfred",4,0.246609124537608
"23","button",4,0.246609124537608
"24","shapeways",4,0.246609124537608
"25","indiegogo",3,0.184956843403206
"26","kiva",3,0.184956843403206
"27","prosper",3,0.184956843403206
"28","zaarly",3,0.184956843403206
"29","feastly",2,0.123304562268804
"30","gone",2,0.123304562268804
"31","kitchensurfing",2,0.123304562268804
"32","kitchit",2,0.123304562268804
"33","leap",2,0.123304562268804
"34","ppzuche",2,0.123304562268804
"35","rover",2,0.123304562268804
"36","threadflip",2,0.123304562268804
"37","airtime",1,0.061652281134402
"38","flightcar",1,0.061652281134402
"39","fon",1,0.061652281134402
"40","homeaway",1,0.061652281134402
"41","housetrip",1,0.061652281134402
"42","icarsclub",1,0.061652281134402
"43","makerbot",1,0.061652281134402
"44","quirky",1,0.061652281134402
"45","storefront",1,0.061652281134402
"46","thredup",1,0.061652281134402
"47","udemy",1,0.061652281134402
"48","vayable",1,0.061652281134402
"49","yongche",1,0.061652281134402
"50","zopa",1,0.061652281134402
