"","influencer","X2015","X2014","X2013","X2012","X2011","X2010"
"1","rachelbotsman",37,16,21,8,NA,NA
"2","roorogers",20,5,12,2,NA,NA
"3","adamthierer",15,4,NA,NA,NA,NA
"4","arunsundararajan",13,6,NA,NA,NA,NA
"5","janelleorsi",11,1,3,1,NA,2
"6","ronlieber",5,NA,NA,NA,NA,NA
"7","julietschor",4,8,NA,NA,NA,NA
"8","laurenanderson",3,NA,5,NA,NA,NA
"9","markscott",3,NA,NA,NA,NA,NA
"10","airilampinen",2,3,NA,NA,NA,NA
"11","miltonfriedman",2,2,NA,NA,NA,NA
"12","aligheitasy",1,10,NA,NA,NA,NA
"13","derekthompson",1,NA,NA,NA,NA,NA
"14","francoiacomella",1,NA,1,NA,NA,NA
"15","friedrichchasin",1,NA,NA,NA,NA,NA
"16","haraldheinrichs",1,NA,NA,NA,NA,NA
"17","jeremiahowyang",1,5,3,NA,NA,NA
"18","michelbauwens",1,NA,NA,1,NA,NA
"19","mikeisaac",1,NA,NA,NA,NA,NA
"20","sophiecurtis",1,NA,NA,NA,NA,NA
"21","laurapiscicelli",NA,6,NA,NA,NA,NA
"22","heikogrunenberg",NA,1,NA,NA,NA,NA
