"","Company","Frequency","Percentage"
"1","airbnb",523,24.0459770114943
"2","zipcar",173,7.95402298850575
"3","via",171,7.86206896551724
"4","taskrabbit",114,5.24137931034483
"5","uber",102,4.68965517241379
"6","couchsurfing",83,3.81609195402299
"7","relayrides",77,3.54022988505747
"8","getaround",67,3.08045977011494
"9","kickstarter",61,2.80459770114943
"10","lyft",50,2.29885057471264
"11","craigslist",46,2.11494252873563
"12","trustcloud",46,2.11494252873563
"13","etsy",34,1.5632183908046
"14","gone",33,1.51724137931034
"15","zopa",28,1.28735632183908
"16","blablacar",24,1.10344827586207
"17","skillshare",22,1.01149425287356
"18","whipcar",22,1.01149425287356
"19","circle",20,0.919540229885057
"20","loosecubes",20,0.919540229885057
"21","mosaic",20,0.919540229885057
"22","vayable",20,0.919540229885057
"23","sidecar",19,0.873563218390805
"24","button",17,0.781609195402299
"25","indiegogo",17,0.781609195402299
"26","makerbot",17,0.781609195402299
"27","favor",16,0.735632183908046
"28","prosper",16,0.735632183908046
"29","quirky",15,0.689655172413793
"30","zaarly",15,0.689655172413793
"31","leap",13,0.597701149425287
"32","thredup",13,0.597701149425287
"33","99designs",11,0.505747126436782
"34","angellist",10,0.459770114942529
"35","twice",10,0.459770114942529
"36","fon",9,0.413793103448276
"37","gidsy",9,0.413793103448276
"38","shapeways",9,0.413793103448276
"39","zirtual",9,0.413793103448276
"40","crowdcube",8,0.367816091954023
"41","flightcar",8,0.367816091954023
"42","artsicle",7,0.32183908045977
"43","gobble",7,0.32183908045977
"44","gocarshare",6,0.275862068965517
"45","hourlynerd",6,0.275862068965517
"46","kaggle",6,0.275862068965517
"47","liquidspace",6,0.275862068965517
"48","sidetour",6,0.275862068965517
"49","artsy",5,0.229885057471264
"50","dogvacay",5,0.229885057471264
"51","fiverr",5,0.229885057471264
"52","transferwise",5,0.229885057471264
"53","chegg",4,0.183908045977011
"54","getable",4,0.183908045977011
"55","jayride",4,0.183908045977011
"56","munchery",4,0.183908045977011
"57","onefinestay",4,0.183908045977011
"58","ridejoy",4,0.183908045977011
"59","wallapop",4,0.183908045977011
"60","coursera",3,0.137931034482759
"61","homejoy",3,0.137931034482759
"62","kiva",3,0.137931034482759
"63","kozaza",3,0.137931034482759
"64","lendingclub",3,0.137931034482759
"65","somolend",3,0.137931034482759
"66","upstart",3,0.137931034482759
"67","wework",3,0.137931034482759
"68","crowdflower",2,0.0919540229885057
"69","crowdfunder",2,0.0919540229885057
"70","crowdrise",2,0.0919540229885057
"71","flywheel",2,0.0919540229885057
"72","frents",2,0.0919540229885057
"73","gazelle",2,0.0919540229885057
"74","kitchit",2,0.0919540229885057
"75","pager",2,0.0919540229885057
"76","postmates",2,0.0919540229885057
"77","roomorama",2,0.0919540229885057
"78","scoot",2,0.0919540229885057
"79","sharedesk",2,0.0919540229885057
"80","sprig",2,0.0919540229885057
"81","storefront",2,0.0919540229885057
"82","thumbtack",2,0.0919540229885057
"83","tilt",2,0.0919540229885057
"84","turningart",2,0.0919540229885057
"85","udemy",2,0.0919540229885057
"86","zookal",2,0.0919540229885057
"87","airtasker",1,0.0459770114942529
"88","appbackr",1,0.0459770114942529
"89","auxmoney",1,0.0459770114942529
"90","bixi",1,0.0459770114942529
"91","bookrenter",1,0.0459770114942529
"92","breather",1,0.0459770114942529
"93","campusbookrentals",1,0.0459770114942529
"94","custommade",1,0.0459770114942529
"95","eatwith",1,0.0459770114942529
"96","farmigo",1,0.0459770114942529
"97","feastly",1,0.0459770114942529
"98","fundingcircle",1,0.0459770114942529
"99","gigwalk",1,0.0459770114942529
"100","grabtaxi",1,0.0459770114942529
"101","grubwithus",1,0.0459770114942529
"102","inspirato",1,0.0459770114942529
"103","instacart",1,0.0459770114942529
"104","listia",1,0.0459770114942529
"105","lovehomeswap",1,0.0459770114942529
"106","ola",1,0.0459770114942529
"107","quickflix",1,0.0459770114942529
"108","rover",1,0.0459770114942529
"109","traity",1,0.0459770114942529
"110","wegolook",1,0.0459770114942529
