"","Word","Frequency","Percentage"
"1","new",2281,0.701380005903769
"2","business",1657,0.50950752730493
"3","sharingeconomy",1651,0.507662599626095
"4","sharing",1637,0.50335776837548
"5","social",1562,0.480296172390042
"6","can",1520,0.467381678638197
"7","people",1386,0.426178293810883
"8","services",1360,0.418183607202598
"9","will",1285,0.39512201121716
"10","ago",1204,0.370215487552888
"11","2014",1157,0.35576355406868
"12","companies",1142,0.351151234871593
"13","like",1047,0.321939879956706
"14","collaborativeconomy",962,0.295803404506543
"15","share",951,0.292421037095346
"16","2015",925,0.284426350487061
"17","media",910,0.279814031289973
"18","news",895,0.275201712092886
"19","uber",872,0.268129489324018
"20","one",865,0.265977073698711
"21","economy",834,0.256444947358064
"22","get",816,0.250910164321559
"23","service",761,0.233998327265571
"24","years",732,0.225081176817869
"25","airbnb",728,0.223851225031979
"26","c2a0",717,0.220468857620781
"27","also",705,0.216779002263111
"28","just",695,0.213704122798386
"29","e28093",694,0.213396634851914
"30","marketing",669,0.205709436190101
"31","may",653,0.200789629046541
"32","now",648,0.199252189314179
"33","use",647,0.198944701367706
"34","home",640,0.196792285742399
"35","collaborativeconsumption",637,0.195869821902981
"36","time",628,0.193102430384729
"37","email",615,0.189105087080586
"38","need",606,0.186337695562334
"39","year",604,0.185722719669389
"40","work",596,0.183262816097609
"41","many",590,0.181417888418774
"42","technology",588,0.180802912525829
"43","company",587,0.180495424579356
"44","digital",583,0.179265472793466
"45","way",555,0.170655810292237
"46","make",546,0.167888418773984
"47","market",544,0.167273442881039
"48","car",522,0.160508708058644
"49","ite28099s",518,0.159278756272754
"50","facebook",517,0.158971268326282
"51","world",516,0.158663780379809
"52","data",497,0.152821509396832
"53","next",487,0.149746629932107
"54","content",484,0.148824166092689
"55","research",484,0.148824166092689
"56","online",476,0.146364262520909
"57","future",461,0.141751943323822
"58","ondemand",456,0.140214503591459
"59","2013",455,0.139907015644987
"60","mobile",450,0.138369575912624
"61","businesses",447,0.137447112073207
"62","community",445,0.136832136180262
"63","want",437,0.134372232608482
"64","report",434,0.133449768769064
"65","things",430,0.132219816983174
"66","see",423,0.130067401357867
"67","know",422,0.129759913411394
"68","economic",421,0.129452425464922
"69","months",419,0.128837449571977
"70","goods",415,0.127607497786087
"71","twitter",412,0.126685033946669
"72","industry",403,0.123917642428417
"73","products",403,0.123917642428417
"74","money",400,0.122995178588999
"75","blog",392,0.120535275017219
"76","access",391,0.120227787070747
"77","contact",388,0.119305323231329
"78","help",388,0.119305323231329
"79","reply",388,0.119305323231329
"80","first",386,0.118690347338384
"81","startups",382,0.117460395552494
"82","city",380,0.116845419659549
"83","even",378,0.116230443766604
"84","much",378,0.116230443766604
"85","customer",375,0.115307979927187
"86","think",375,0.115307979927187
"87","big",369,0.113463052248352
"88","consumers",369,0.113463052248352
"89","says",368,0.113155564301879
"90","cities",366,0.112540588408934
"91","internet",364,0.111925612515989
"92","change",362,0.111310636623044
"93","experience",361,0.111003148676572
"94","search",360,0.110695660730099
"95","global",358,0.110080684837154
"96","customers",355,0.109158220997737
"97","drivers",351,0.107928269211847
"98","find",349,0.107313293318902
"99","consumer",346,0.106390829479484
"100","resources",346,0.106390829479484
"101","around",344,0.105775853586539
"102","policy",341,0.104853389747122
"103","value",335,0.103008462068287
