"","Influencer","Frequency","Percentage"
"1","rachelbotsman",103,37.3188405797101
"2","jeremiahowyang",81,29.3478260869565
"3","arunsundararajan",22,7.97101449275362
"4","janelleorsi",12,4.34782608695652
"5","roorogers",10,3.6231884057971
"6","adamthierer",9,3.26086956521739
"7","michelbauwens",6,2.17391304347826
"8","julietschor",5,1.81159420289855
"9","sarahorowitz",5,1.81159420289855
"10","catherinerampell",4,1.44927536231884
"11","laurenanderson",4,1.44927536231884
"12","michaelspence",4,1.44927536231884
"13","davidswan",2,0.72463768115942
"14","friedrichchasin",2,0.72463768115942
"15","laurapiscicelli",2,0.72463768115942
"16","michaelroddan",2,0.72463768115942
"17","laurendavidson",1,0.36231884057971
"18","mikeisaac",1,0.36231884057971
"19","miltonfriedman",1,0.36231884057971
