"","influencer","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005"
"1","rachelbotsman",103,50,50,91,163,283,15,10,3,1,7
"2","jeremiahowyang",81,145,157,17,10,33,46,26,42,36,1
"3","arunsundararajan",22,29,9,9,25,NA,NA,2,NA,NA,NA
"4","janelleorsi",12,12,4,8,8,16,34,7,1,3,2
"5","roorogers",10,9,6,18,61,122,3,1,1,NA,NA
"6","adamthierer",9,5,NA,NA,NA,NA,NA,3,1,NA,3
"7","michelbauwens",6,7,13,22,3,2,6,7,NA,2,NA
"8","julietschor",5,11,NA,3,2,1,1,NA,NA,NA,NA
"9","sarahorowitz",5,1,16,6,6,4,NA,2,6,NA,NA
"10","catherinerampell",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","laurenanderson",4,19,10,9,9,6,1,2,2,NA,NA
"12","michaelspence",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","davidswan",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","friedrichchasin",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","laurapiscicelli",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","michaelroddan",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","laurendavidson",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","mikeisaac",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"19","miltonfriedman",1,1,NA,NA,NA,NA,NA,3,NA,4,5
"20","jasonankeny",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","sophiecurtis",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","aligheitasy",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","danahull",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"24","mauriecohen",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","derekthompson",NA,NA,2,1,2,NA,NA,NA,NA,NA,NA
"26","esthershaw",NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA
"27","francoiacomella",NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA
"28","ronlieber",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"29","deirdremacken",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"30","francesbula",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"31","nicolasmendoza",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"32","markscott",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
