"","Influencer","Frequency","Percentage"
"1","rachelbotsman",55,34.5911949685535
"2","arunsundararajan",25,15.7232704402516
"3","danahull",18,11.3207547169811
"4","roorogers",16,10.062893081761
"5","janelleorsi",14,8.80503144654088
"6","jeremiahowyang",11,6.91823899371069
"7","peterdelevett",4,2.51572327044025
"8","sarahorowitz",3,1.88679245283019
"9","adamthierer",2,1.25786163522013
"10","laurenanderson",2,1.25786163522013
"11","davidseifman",1,0.628930817610063
"12","haraldheinrichs",1,0.628930817610063
"13","jasonankeny",1,0.628930817610063
"14","julietschor",1,0.628930817610063
"15","laurapiscicelli",1,0.628930817610063
"16","michelbauwens",1,0.628930817610063
"17","miltonfriedman",1,0.628930817610063
"18","nataliealcoba",1,0.628930817610063
"19","ronlieber",1,0.628930817610063
