"","Word","Frequency","Percentage"
"1","c2a0",1473,1.25926495858019
"2","car",1063,0.908756721636617
"3","will",845,0.722388927359305
"4","said",741,0.633479520915083
"5","can",557,0.476178263359921
"6","people",509,0.435143152693357
"7","cars",473,0.404366819693434
"8","new",459,0.392398245749019
"9","also",427,0.365041505304643
"10","one",420,0.359057218332436
"11","sharing",419,0.358202320193549
"12","city",393,0.335974968582493
"13","zipcar",378,0.323151496499192
"14","share",323,0.276132098860421
"15","use",323,0.276132098860421
"16","year",303,0.259034136082686
"17","carsharing",295,0.252194950971592
"18","members",283,0.241936173304951
"19","program",270,0.230822497499423
"20","business",259,0.221418617971669
"21","just",257,0.219708821693895
"22","says",255,0.217999025416122
"23","work",255,0.217999025416122
"24","time",243,0.207740247749481
"25","per",236,0.201755960777273
"26","now",233,0.199191266360613
"27","well",230,0.196626571943953
"28","company",228,0.194916775666179
"29","first",226,0.193206979388406
"30","get",221,0.188932488693972
"31","scheme",220,0.188077590555085
"32","service",214,0.182948201721765
"33","make",206,0.176109016610671
"34","public",200,0.17097962777735
"35","way",200,0.17097962777735
"36","many",197,0.16841493336069
"37","need",197,0.16841493336069
"38","bike",195,0.166705137082917
"39","two",190,0.162430646388483
"40","like",188,0.160720850110709
"41","fuel",185,0.158156155694049
"42","transport",185,0.158156155694049
"43","energy",184,0.157301257555162
"44","council",182,0.155591461277389
"45","around",181,0.154736563138502
"46","take",177,0.151316970582955
"47","last",175,0.149607174305182
"48","local",169,0.144477785471861
"49","green",168,0.143622887332974
"50","costs",167,0.142767989194088
"51","vehicles",167,0.142767989194088
"52","bikes",166,0.141913091055201
"53","transportation",164,0.140203294777427
"54","number",163,0.139348396638541
"55","companies",159,0.135928804082994
"56","day",159,0.135928804082994
"57","cost",157,0.13421900780522
"58","reduce",157,0.13421900780522
"59","parking",156,0.133364109666333
"60","travel",154,0.13165431338856
"61","think",152,0.129944517110786
"62","may",151,0.129089618971899
"63","want",150,0.128234720833013
"64","part",148,0.126524924555239
"65","see",146,0.124815128277466
"66","university",146,0.124815128277466
"67","information",145,0.123960230138579
"68","students",145,0.123960230138579
"69","good",144,0.123105331999692
"70","years",143,0.122250433860805
"71","free",139,0.118830841305258
"72","pay",139,0.118830841305258
"73","road",138,0.117975943166372
"74","help",137,0.117121045027485
"75","services",133,0.113701452471938
"76","cent",130,0.111136758055278
"77","much",128,0.109426961777504
"78","staff",127,0.108572063638617
"79","even",125,0.106862267360844
"80","government",125,0.106862267360844
"81","money",125,0.106862267360844
"82","dont",124,0.106007369221957
"83","using",123,0.10515247108307
"84","change",122,0.104297572944184
"85","plan",122,0.104297572944184
"86","available",121,0.103442674805297
"87","market",121,0.103442674805297
"88","three",121,0.103442674805297
"89","community",119,0.101732878527523
"90","gas",119,0.101732878527523
"91","tax",118,0.100877980388637
"92","group",117,0.10002308224975
"93","vehicle",116,0.0991681841108632
"94","access",115,0.0983132859719764
"95","across",114,0.0974583878330897
"96","cities",111,0.0948936934164294
"97","environment",111,0.0948936934164294
"98","area",110,0.0940387952775427
"99","congestion",110,0.0940387952775427
"100","next",110,0.0940387952775427
"101","rental",110,0.0940387952775427
"102","traffic",110,0.0940387952775427
"103","used",110,0.0940387952775427
"104","areas",109,0.0931838971386559
"105","going",109,0.0931838971386559
"106","made",108,0.0923289989997692
"107","million",107,0.0914741008608824
"108","online",107,0.0914741008608824
"109","prices",107,0.0914741008608824
"110","customers",106,0.0906192027219957
"111","college",105,0.0897643045831089
"112","including",105,0.0897643045831089
"113","drive",104,0.0889094064442222
"114","hour",104,0.0889094064442222
"115","less",104,0.0889094064442222
"116","world",104,0.0889094064442222
"117","home",103,0.0880545083053354
"118","environmental",102,0.0871996101664487
"119","bus",100,0.0854898138886752
"120","businesses",99,0.0846349157497884
"121","programs",99,0.0846349157497884
"122","drivers",98,0.0837800176109017
"123","find",97,0.0829251194720149
"124","system",97,0.0829251194720149
"125","carshare",96,0.0820702213331282
"126","schemes",96,0.0820702213331282
"127","growth",95,0.0812153231942414
"128","high",95,0.0812153231942414
"129","weve",95,0.0812153231942414
"130","long",93,0.0795055269164679
"131","back",92,0.0786506287775812
"132","every",92,0.0786506287775812
"133","fee",92,0.0786506287775812
"134","idea",92,0.0786506287775812
"135","really",92,0.0786506287775812
"136","week",92,0.0786506287775812
"137","already",91,0.0777957306386944
"138","carbon",91,0.0777957306386944
"139","economic",91,0.0777957306386944
"140","include",91,0.0777957306386944
"141","save",91,0.0777957306386944
"142","campus",90,0.0769408324998077
"143","since",89,0.0760859343609209
"144","big",87,0.0743761380831474
"145","lane",87,0.0743761380831474
"146","great",86,0.0735212399442606
"147","working",86,0.0735212399442606
"148","economy",84,0.0718114436664871
"149","global",84,0.0718114436664871
"150","increase",84,0.0718114436664871
"151","lot",84,0.0718114436664871
"152","north",84,0.0718114436664871
"153","run",84,0.0718114436664871
"154","site",84,0.0718114436664871
"155","still",84,0.0718114436664871
"156","county",83,0.0709565455276004
"157","offers",83,0.0709565455276004
"158","according",82,0.0701016473887136
"159","month",82,0.0701016473887136
"160","residents",82,0.0701016473887136
"161","technology",82,0.0701016473887136
"162","director",81,0.0692467492498269
"163","users",81,0.0692467492498269
"164","without",81,0.0692467492498269
"165","driving",80,0.0683918511109401
"166","employees",80,0.0683918511109401
"167","give",80,0.0683918511109401
"168","industry",80,0.0683918511109401
"169","project",80,0.0683918511109401
"170","set",80,0.0683918511109401
"171","best",79,0.0675369529720534
"172","climate",79,0.0675369529720534
"173","membership",79,0.0675369529720534
"174","park",79,0.0675369529720534
"175","emissions",78,0.0666820548331666
"176","president",78,0.0666820548331666
"177","plans",77,0.0658271566942799
"178","looking",76,0.0649722585553931
"179","visit",76,0.0649722585553931
"180","development",75,0.0641173604165064
"181","percent",75,0.0641173604165064
"182","transit",75,0.0641173604165064
"183","making",74,0.0632624622776196
"184","card",73,0.0624075641387329
"185","come",73,0.0624075641387329
"186","right",73,0.0624075641387329
"187","space",73,0.0624075641387329
"188","states",73,0.0624075641387329
"189","ways",73,0.0624075641387329
"190","2007",72,0.0615526659998461
"191","club",72,0.0615526659998461
"192","cut",72,0.0615526659998461
