"","Company","Frequency","Percentage"
"1","zipcar",428,21.8478815722307
"2","airbnb",399,20.3675344563553
"3","lyft",165,8.42266462480858
"4","uber",125,6.38080653394589
"5","bixi",119,6.07452782031649
"6","via",105,5.35987748851455
"7","sidecar",92,4.69627360898418
"8","relayrides",91,4.64522715671261
"9","flightcar",65,3.31801939765186
"10","homejoy",23,1.17406840224604
"11","taskrabbit",23,1.17406840224604
"12","gone",19,0.969882593159775
"13","circle",18,0.918836140888208
"14","favor",18,0.918836140888208
"15","twice",18,0.918836140888208
"16","flywheel",16,0.816743236345074
"17","craigslist",15,0.765696784073507
"18","blackjet",14,0.71465033180194
"19","couchsurfing",14,0.71465033180194
"20","life360",12,0.612557427258805
"21","pivotdesk",11,0.561510974987238
"22","zaarly",11,0.561510974987238
"23","getaround",10,0.510464522715671
"24","button",9,0.459418070444104
"25","bookrenter",8,0.408371618172537
"26","etsy",8,0.408371618172537
"27","housetrip",8,0.408371618172537
"28","blablacar",7,0.35732516590097
"29","mosaic",7,0.35732516590097
"30","prosper",7,0.35732516590097
"31","vayable",6,0.306278713629403
"32","cherry",5,0.255232261357836
"33","fon",5,0.255232261357836
"34","kickstarter",5,0.255232261357836
"35","liquidspace",5,0.255232261357836
"36","zopa",5,0.255232261357836
"37","feastly",4,0.204185809086269
"38","fiverr",4,0.204185809086269
"39","homeaway",4,0.204185809086269
"40","kitchit",4,0.204185809086269
"41","quirky",4,0.204185809086269
"42","yourmechanic",4,0.204185809086269
"43","breather",3,0.153139356814701
"44","leap",3,0.153139356814701
"45","rover",3,0.153139356814701
"46","scoot",3,0.153139356814701
"47","artsy",2,0.102092904543134
"48","coursera",2,0.102092904543134
"49","dogvacay",2,0.102092904543134
"50","eatwith",2,0.102092904543134
"51","hailo",2,0.102092904543134
"52","jayride",2,0.102092904543134
"53","storefront",2,0.102092904543134
"54","upstart",2,0.102092904543134
"55","99designs",1,0.0510464522715671
"56","blender",1,0.0510464522715671
"57","chegg",1,0.0510464522715671
"58","fundingcircle",1,0.0510464522715671
"59","gobble",1,0.0510464522715671
"60","indiegogo",1,0.0510464522715671
"61","kiva",1,0.0510464522715671
"62","localmotion",1,0.0510464522715671
"63","onefinestay",1,0.0510464522715671
"64","soothe",1,0.0510464522715671
"65","zookal",1,0.0510464522715671
