"","Influencer","Frequency","Percentage"
"1","rachelbotsman",913,36.5785256410256
"2","jeremiahowyang",614,24.599358974359
"3","roorogers",286,11.4583333333333
"4","arunsundararajan",140,5.60897435897436
"5","janelleorsi",139,5.56891025641026
"6","laurenanderson",72,2.88461538461538
"7","michelbauwens",71,2.84455128205128
"8","sarahorowitz",49,1.96314102564103
"9","adamthierer",42,1.68269230769231
"10","julietschor",36,1.44230769230769
"11","danahull",20,0.801282051282051
"12","miltonfriedman",19,0.761217948717949
"13","aligheitasy",12,0.480769230769231
"14","laurapiscicelli",10,0.400641025641026
"15","francoiacomella",7,0.280448717948718
"16","ronlieber",7,0.280448717948718
"17","derekthompson",6,0.240384615384615
"18","airilampinen",5,0.200320512820513
"19","catherinerampell",5,0.200320512820513
"20","michaelspence",5,0.200320512820513
"21","markscott",4,0.16025641025641
"22","peterdelevett",4,0.16025641025641
"23","davidswan",3,0.120192307692308
"24","esthershaw",3,0.120192307692308
"25","friedrichchasin",3,0.120192307692308
"26","jasonankeny",3,0.120192307692308
"27","mikeisaac",3,0.120192307692308
"28","sophiecurtis",3,0.120192307692308
"29","haraldheinrichs",2,0.0801282051282051
"30","michaelroddan",2,0.0801282051282051
"31","davidseifman",1,0.0400641025641026
"32","deirdremacken",1,0.0400641025641026
"33","francesbula",1,0.0400641025641026
"34","heikogrunenberg",1,0.0400641025641026
"35","laurendavidson",1,0.0400641025641026
"36","mauriecohen",1,0.0400641025641026
"37","nataliealcoba",1,0.0400641025641026
"38","nicolasmendoza",1,0.0400641025641026
