"","COMPANY","X2015","X2014","X2013","X2012","X2011","X2010"
"1","airbnb",791,363,312,53,NA,NA
"2","uber",735,174,4,NA,NA,NA
"3","via",251,52,28,3,1,NA
"4","lyft",185,268,42,NA,NA,NA
"5","zipcar",110,92,25,2,NA,NA
"6","couchsurfing",97,83,14,5,NA,NA
"7","taskrabbit",87,50,30,6,NA,NA
"8","etsy",57,116,3,NA,NA,NA
"9","blablacar",42,14,5,NA,NA,NA
"10","relayrides",35,40,20,2,NA,NA
"11","getaround",25,12,1,NA,NA,NA
"12","favor",24,6,4,3,NA,NA
"13","circle",23,8,4,NA,1,NA
"14","sidecar",22,9,4,NA,NA,NA
"15","craigslist",21,190,12,9,NA,NA
"16","kickstarter",16,60,7,NA,NA,NA
"17","twice",16,7,9,NA,NA,NA
"18","homeaway",12,1,7,NA,NA,NA
"19","lendingclub",12,NA,1,NA,NA,NA
"20","gone",11,2,6,NA,NA,NA
"21","zopa",9,1,5,1,NA,NA
"22","airtasker",7,NA,1,NA,NA,NA
"23","kitchensurfing",7,2,NA,NA,NA,NA
"24","skillshare",7,5,3,NA,NA,NA
"25","zaarly",7,3,1,NA,NA,NA
"26","alfred",6,4,1,NA,NA,NA
"27","feastly",6,2,NA,NA,NA,NA
"28","homejoy",6,NA,1,NA,NA,NA
"29","fon",5,1,NA,NA,NA,NA
"30","housetrip",5,1,NA,NA,NA,NA
"31","onefinestay",5,NA,1,NA,NA,NA
"32","prosper",5,3,11,1,NA,NA
"33","thredup",5,1,51,1,NA,NA
"34","udemy",5,1,2,NA,NA,NA
"35","button",4,4,3,1,NA,NA
"36","dogvacay",4,NA,2,NA,NA,NA
"37","eatwith",4,5,1,NA,NA,NA
"38","justpark",4,NA,NA,NA,NA,NA
"39","poshmark",4,NA,1,NA,NA,NA
"40","sharedesk",4,NA,NA,NA,NA,NA
"41","boatbound",3,NA,NA,NA,NA,NA
"42","coursera",3,NA,NA,NA,NA,NA
"43","drivy",3,NA,NA,NA,NA,NA
"44","frents",3,NA,1,NA,NA,NA
"45","gobble",3,NA,1,NA,NA,NA
"46","instacart",3,NA,NA,NA,NA,NA
"47","shapeways",3,4,NA,NA,NA,NA
"48","maven",2,NA,NA,NA,NA,NA
"49","roomorama",2,NA,3,NA,NA,NA
"50","trustcloud",2,NA,NA,8,NA,NA
"51","vayable",2,1,1,NA,NA,NA
"52","wonolo",2,NA,NA,NA,NA,NA
"53","99designs",1,NA,1,NA,NA,NA
"54","buddytruk",1,NA,NA,NA,NA,NA
"55","cherry",1,NA,1,NA,NA,NA
"56","flightcar",1,1,5,NA,NA,NA
"57","getable",1,NA,2,2,NA,NA
"58","gigwalk",1,NA,2,NA,NA,NA
"59","grubwithus",1,NA,2,NA,NA,NA
"60","helparound",1,NA,NA,NA,NA,NA
"61","helpling",1,NA,NA,NA,NA,NA
"62","indiegogo",1,3,NA,NA,NA,NA
"63","inspirato",1,NA,NA,NA,NA,NA
"64","liquidspace",1,NA,5,NA,NA,NA
"65","lovehomeswap",1,NA,NA,NA,NA,NA
"66","ouicar",1,NA,NA,NA,NA,NA
"67","peerby",1,NA,30,NA,NA,NA
"68","rocksbox",1,NA,NA,NA,NA,NA
"69","roomer",1,NA,NA,NA,NA,NA
"70","transferwise",1,NA,NA,NA,NA,NA
"71","turningart",1,NA,1,NA,NA,NA
"72","upstart",1,NA,NA,NA,NA,NA
"73","videdressing",1,NA,NA,NA,NA,NA
"74","whipcar",1,NA,1,1,NA,NA
"75","bixi",NA,7,1,NA,NA,NA
"76","tujia",NA,7,NA,NA,NA,NA
"77","kiva",NA,3,1,NA,NA,NA
"78","kitchit",NA,2,NA,NA,NA,NA
"79","leap",NA,2,2,NA,NA,NA
"80","ppzuche",NA,2,NA,NA,NA,NA
"81","rover",NA,2,1,NA,NA,NA
"82","threadflip",NA,2,NA,NA,NA,NA
"83","airtime",NA,1,1,NA,NA,NA
"84","icarsclub",NA,1,NA,NA,NA,NA
"85","makerbot",NA,1,NA,NA,NA,NA
"86","quirky",NA,1,1,NA,NA,NA
"87","storefront",NA,1,NA,NA,NA,NA
"88","yongche",NA,1,NA,NA,NA,NA
"89","tilt",NA,NA,8,NA,NA,NA
"90","chegg",NA,NA,4,1,NA,NA
"91","gazelle",NA,NA,3,NA,NA,NA
"92","edufire",NA,NA,2,NA,NA,NA
"93","jayride",NA,NA,2,NA,NA,NA
"94","pivotdesk",NA,NA,2,NA,NA,NA
"95","wello",NA,NA,2,NA,NA,NA
"96","zozi",NA,NA,2,NA,NA,NA
"97","artsicle",NA,NA,1,1,NA,NA
"98","artsy",NA,NA,1,NA,NA,NA
"99","bookrenter",NA,NA,1,NA,NA,NA
"100","crowdcube",NA,NA,1,NA,NA,NA
"101","crowdflower",NA,NA,1,NA,NA,NA
"102","deskwanted",NA,NA,1,NA,NA,NA
"103","floqq",NA,NA,1,NA,NA,NA
"104","fundingcircle",NA,NA,1,NA,NA,NA
"105","getmaid",NA,NA,1,NA,NA,NA
"106","gidsy",NA,NA,1,NA,NA,NA
"107","glovico",NA,NA,1,NA,NA,NA
"108","gocarshare",NA,NA,1,NA,NA,NA
"109","livemocha",NA,NA,1,NA,NA,NA
"110","myngle",NA,NA,1,NA,NA,NA
"111","quickflix",NA,NA,1,NA,NA,NA
"112","redbeacon",NA,NA,1,NA,NA,NA
"113","rentstuff",NA,NA,1,NA,NA,NA
"114","sidetour",NA,NA,1,NA,NA,NA
"115","swapnetcycler",NA,NA,1,NA,NA,NA
"116","zookal",NA,NA,1,NA,NA,NA
