"","influencer","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005"
"1","arunsundararajan",12,7,4,2,NA,NA,NA,NA,NA,NA,NA
"2","janelleorsi",5,5,2,2,NA,NA,NA,NA,NA,NA,NA
"3","rachelbotsman",3,15,4,5,16,12,NA,NA,NA,NA,NA
"4","adamthierer",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","sarahorowitz",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","jeremiahowyang",1,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"7","laurapiscicelli",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","miltonfriedman",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","danahull",NA,3,10,3,NA,2,NA,NA,NA,NA,NA
"10","laurenanderson",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","haraldheinrichs",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","michelbauwens",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","peterdelevett",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"14","davidseifman",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"15","julietschor",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"16","roorogers",NA,NA,NA,2,7,7,NA,NA,NA,NA,NA
"17","jasonankeny",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"18","ronlieber",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"19","nataliealcoba",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
