;WORDS;X2015;X2014;X2013;X2012;X2011;X2010;X2009;X2008;X2007;X2006;X2005
32;car;439;963;1644;1441;1909;1237;1117;1063;688;674;173
7;people;1147;1430;1126;858;687;519;469;509;322;261;64
43;city;364;1039;1322;779;811;754;431;393;227;118;41
18;sharing;637;878;943;929;905;560;436;419;252;240;72
177;bike;167;886;1294;908;743;633;270;195;73;NA;NA
42;share;369;847;926;717;584;497;398;323;168;145;35
19;company;626;856;738;656;544;429;272;228;210;183;40
8;business;940;698;724;551;428;331;222;259;131;120;40
100;cars;235;437;573;492;593;484;382;473;360;321;77
17;service;638;784;582;445;385;328;278;214;173;160;64
11;companies;840;682;603;300;277;221;206;159;148;122;60
610;zipcar;NA;NA;428;408;598;454;579;378;224;333;111
1;sharingeconomy;2027;948;311;142;NA;NA;NA;NA;NA;NA;NA
9;services;888;719;469;318;254;237;157;133;79;80;32
14;work;737;367;457;308;410;209;251;255;147;106;35
3;uber;1561;1430;125;NA;NA;NA;NA;NA;NA;NA;NA
78;public;268;373;535;363;385;342;227;200;137;99;34
40;market;377;314;674;351;486;245;136;121;69;124;16
115;members;217;226;375;302;344;303;307;283;211;183;93
342;vehicles;107;146;348;382;491;439;306;167;181;164;60
231;transportation;142;331;569;309;412;363;200;164;74;88;19
13;drivers;749;858;273;195;134;93;60;98;83;77;22
46;cities;353;510;473;281;222;224;137;111;88;59;27
504;carsharing;NA;173;308;271;382;258;242;295;179;135;79
421;bikes;92;368;580;347;277;275;115;166;36;NA;NA
69;local;278;281;397;256;266;216;165;169;106;75;19
137;rental;192;232;554;301;398;181;153;110;59;29;16
38;technology;400;300;347;245;223;256;120;82;55;68;16
56;money;302;350;370;267;230;147;126;125;67;67;20
16;airbnb;699;775;399;197;NA;NA;NA;NA;NA;NA;NA
63;users;292;393;313;313;252;179;87;81;52;40;17
389;university;98;138;250;163;275;379;356;146;119;67;11
501;parking;NA;215;309;190;207;267;270;156;173;149;56
199;community;154;235;376;254;242;205;145;119;73;42;22
51;businesses;334;345;254;202;164;122;128;99;86;42;26
71;world;277;337;334;264;177;118;94;104;56;30;9
39;government;380;255;208;127;200;145;174;125;69;52;39
48;industry;349;239;408;163;173;102;84;80;63;73;28
380;vehicle;100;120;267;300;277;243;150;116;66;68;34
90;travel;251;164;334;147;150;148;183;154;102;77;9
173;cost;169;193;239;216;231;165;128;157;98;84;26
57;home;299;308;287;199;184;90;89;103;59;54;31
92;social;244;267;358;300;219;139;63;48;54;NA;10
24;economy;535;270;209;135;192;92;113;84;28;25;NA
30;consumers;476;228;161;205;137;144;86;65;58;35;23
169;costs;171;188;190;156;237;172;150;167;78;76;16
110;global;224;147;319;247;159;167;160;84;43;34;10
95;rent;240;391;274;203;226;72;55;55;47;NA;NA
74;economic;274;150;227;187;207;144;148;91;55;26;23
41;insurance;369;270;176;134;189;107;75;43;59;66;27
72;provide;276;191;212;146;180;153;115;71;54;48;22
220;network;145;173;285;234;223;105;93;71;61;37;14
412;transport;94;158;179;124;137;153;125;185;148;134;NA
136;customers;193;237;225;184;159;116;76;106;37;27;17
510;students;NA;122;159;132;162;229;219;145;98;41;NA
104;state;230;194;175;106;229;138;106;48;46;31;NA
175;ride;168;352;216;133;119;129;111;61;NA;NA;9
615;energy;NA;NA;199;112;134;268;168;184;110;59;13
641;green;NA;NA;126;162;157;226;181;168;126;63;10
94;app;241;395;178;211;116;77;NA;NA;NA;NA;NA
170;making;171;199;168;149;154;112;93;74;38;33;13
506;residents;NA;166;194;125;160;159;156;82;79;56;26
242;president;137;99;205;131;155;149;144;78;35;49;15
219;idea;145;197;229;141;129;78;66;92;67;23;12
93;working;244;183;159;134;106;105;99;86;53;NA;9
490;drive;80;134;152;150;138;99;117;104;83;88;22
47;benefits;350;118;121;132;105;82;104;71;29;40;13
503;stations;NA;190;385;186;184;152;NA;50;NA;NA;NA
31;taxi;449;572;120;NA;NA;NA;NA;NA;NA;NA;NA
171;states;171;119;182;118;186;90;87;73;44;40;29
188;research;161;120;222;169;132;120;73;57;35;24;25
77;employees;269;112;144;81;142;60;125;80;44;38;17
181;private;164;226;180;128;93;91;60;63;46;33;13
59;consumer;297;123;147;163;113;62;63;50;NA;49;12
66;model;283;189;166;115;135;72;47;43;NA;NA;16
149;financial;181;126;135;162;145;93;97;50;37;28;10
141;growing;188;171;183;129;106;90;49;55;42;31;15
241;mobile;137;135;212;237;168;105;44;NA;NA;NA;14
681;hertz;NA;NA;102;239;345;186;160;NA;NA;NA;NA
194;space;158;220;177;139;98;100;NA;73;35;22;NA
310;driving;115;113;168;143;131;94;83;80;47;38;9
258;capital;131;177;173;102;194;106;55;NA;30;20;11
616;electric;NA;NA;189;239;210;262;95;NA;NA;NA;NA
502;bikeshare;NA;195;315;199;142;93;NA;43;NA;NA;NA
293;london;119;141;112;126;158;88;94;53;63;32;NA
250;shared;134;182;188;97;135;114;48;49;30;NA;NA
274;national;125;NA;180;127;125;105;131;64;53;37;28
572;road;NA;84;104;111;129;112;93;138;104;78;18
306;demand;116;93;146;199;127;88;82;52;32;29;NA
214;office;147;112;165;93;128;88;73;66;56;32;NA
