"","x.before","x.after"
"business",3.54525,4.14
"social",3.01075,2.4225
"people",2.295,3.515
"sharing",1.8565,3.4625
"sharingeconomy",1.4125,3.8775
"economy",1.4385,2.715
"services",1.377,2.5825
"share",1.422,2.015
"world",1.42525,1.445
"technology",1.34375,1.7075
"companies",1.1815,3.0675
"community",1.31725,1.025
"work",1.17775,1.8
"research",1.204,1.375
"design",1.28025,0.4875
"collaborativeconsumption",1.0975,1.835
"marketing",1.15725,1.1775
"service",1.029,1.89
"company",0.9285,1.67
"global",0.9625,1.07
"economic",0.92575,1.125
"innovation",0.94925,0.78
"digital",0.9,0.9325
"money",0.8465,1.0825
"development",0.8875,0.58
"facebook",0.82725,1.0175
"car",0.7875,1.33
"help",0.8055,0.84
"mobile",0.7715,1.0425
"public",0.787,0.8425
"collaborativeconomy",0.63975,2.2025
"international",0.80475,0.5
"local",0.75375,0.9875
"systems",0.787,0.605
"internet",0.76975,0.665
"model",0.69875,1.0075
"industry",0.70125,0.8675
"network",0.6915,0.6875
"access",0.638,0.9675
"airbnb",0.53575,1.8625
"software",0.679,0.3975
"city",0.6325,0.82
"green",0.67375,0.3125
"group",0.64325,0.565
"energy",0.648,0.485
"experience",0.59075,0.57
"food",0.587,0.5725
"privacy",0.53975,0.965
"businesses",0.53,1.04
"uber",0.27375,3.595
"growth",0.52375,0.8475
"law",0.5615,0.4425
"conference",0.572,0.3
"customer",0.522,0.7825
"university",0.53875,0.5325
"financial",0.517,0.6775
"jobs",0.4725,0.99
"used",0.5065,0.6425
"science",0.523,0.4775
"consumer",0.48275,0.805
"collaborative",0.494,0.675
"society",0.50875,0.375
"space",0.4765,0.605
"capital",0.4885,0.475
"culture",0.48675,0.485
"sustainable",0.48975,0.45
"tech",0.404,1.2975
"customers",0.433,0.955
"books",0.496,0.315
"ideas",0.4755,0.45
"personal",0.4665,0.48
"recent",0.45825,0.5075
"government",0.4445,0.6025
"corporate",0.46,0.4475
"communities",0.464,0.4025
"users",0.44825,0.5475
"health",0.439,0.62
"platform",0.409,0.835
"learn",0.446,0.4525
"working",0.42425,0.5175
"trust",0.392,0.68
"goods",0.3815,0.75
"team",0.4155,0.3525
"building",0.411,0.3775
"job",0.39125,0.52
"cities",0.3675,0.755
"state",0.395,0.425
"impact",0.386,0.4525
"markets",0.36975,0.61
"user",0.3915,0.3425
"travel",0.35325,0.7175
"finance",0.3735,0.515
"climate",0.3825,0.3875
"consumers",0.34025,0.7975
"startups",0.31525,0.975
"learning",0.4105,0
"environment",0.36975,0.395
"members",0.35575,0.3925
"cost",0.32975,0.5675
"provide",0.32775,0.5625
"collaboration",0.3405,0.3525
"sustainability",0.3405,0.3
"trends",0.32675,0.435
"startup",0.2975,0.63
"sales",0.33025,0.3
"security",0.3035,0.5625
"cars",0.2905,0.6375
"peertopeer",0.2775,0.7525
"private",0.3045,0.4125
"enterprise",0.34575,0
"shared",0.2935,0.485
"economics",0.3095,0.315
"platforms",0.23175,1.09
"brand",0.288,0.47
"app",0.26025,0.7425
"states",0.2945,0.3975
"demand",0.26775,0.625
"national",0.289,0.395
"production",0.32725,0
"ownership",0.29025,0.3475
"together",0.29525,0.2975
"rise",0.271,0.4525
"legal",0.2725,0.3525
"benefits",0.23775,0.685
"music",0.30575,0
"ondemand",0.114,1.9
"advertising",0.303,0
"technologies",0.26475,0.355
"opportunities",0.256,0.41
"billion",0.2345,0.575
"workers",0.157,1.3475
"drivers",0.1565,1.34
"rent",0.22975,0.5725
"member",0.28075,0
"traditional",0.2115,0.68
"environmental",0.2735,0
"consumption",0.22875,0.445
"costs",0.21975,0.5075
"politics",0.20275,0.465
"american",0.21825,0.2975
"leadership",0.2465,0
"investment",0.24375,0
"funding",0.20725,0.325
"house",0.18975,0.4125
"problem",0.18725,0.3875
"europe",0.17375,0.4125
"london",0.215,0
"political",0.2065,0
"brands",0.162,0.4225
"changing",0.169,0.3525
"past",0.1595,0.445
"transportation",0.15125,0.4825
"price",0.15425,0.395
"connect",0.1465,0.435
"lyft",0.123,0.6675
"trend",0.15175,0.3275
"entrepreneurs",0.151,0.305
"smart",0.1805,0
"tax",0.1425,0.315
"rental",0.13,0.4225
"quality",0.17225,0
"care",0.12675,0.4125
"risk",0.1665,0
"theory",0.162,0
"china",0.15975,0
"renting",0.12025,0.39
"opportunity",0.1265,0.3025
"zipcar",0.1475,0
"european",0.147,0
"p2p",0.14625,0
"institute",0.1445,0
"countries",0.14375,0
"virtual",0.1425,0
"hotel",0.1015,0.37
"apps",0.0765,0.5925
"oil",0.13525,0
"carbon",0.1315,0
"performance",0.12975,0
"oxford",0.1295,0
"taxi",0.0615,0.675
"offers",0.12775,0
"driver",0.075,0.4725
"corporations",0.121,0
"friends",0.121,0
"buying",0.08325,0.3675
"manufacturing",0.114,0
"employees",0.044,0.6825
"adobe",0.11225,0
"challenges",0.11175,0
"rachelbotsman",0.1115,0
"income",0.06275,0.4825
"president",0.1095,0
"library",0.10775,0
"family",0.10525,0
"crowdfunding",0.1005,0
"ondemandeconomy",0.035,0.6475
"urban",0.0945,0
"retail",0.0945,0
"waste",0.0945,0
"association",0.09425,0
"organization",0.08975,0
"groups",0.0885,0
"room",0.05775,0.3025
"safety",0.088,0
"drive",0.05575,0.2975
"crisis",0.082,0
"regulation",0.0355,0.4325
"canada",0.078,0
"taskrabbit",0.077,0
"entrepreneurship",0.0765,0
"nature",0.07575,0
"jeremiahowyang",0.0755,0
"usa",0.075,0
"michigan",0.075,0
"israel",0.07325,0
"rules",0.025,0.4775
"fuel",0.072,0
"hardware",0.071,0
"cultural",0.071,0
"board",0.07,0
"amazon",0.0695,0
"infographic",0.06875,0
"regulations",0.03725,0.3125
"providers",0.0335,0.3425
"students",0.067,0
"ride",0.02975,0.365
"carsharing",0.06575,0
"seats",0.065,0
"crowdsourcing",0.06325,0
"employment",0.028,0.3425
"coworking",0.0605,0
"programmeoxford",0.0605,0
"driving",0.05975,0
"foundation",0.05975,0
"career",0.0595,0
"individual",0.05875,0
"works",0.0585,0
"blogs",0.0585,0
"independent",0,0.575
"africa",0.056,0
"sell",0.05525,0
"apple",0.05525,0
"tourism",0.0535,0
"lifestyle",0.0535,0
"natural",0.0515,0
"owners",0.0505,0
"california",0.05025,0
