"","x.before","x.after"
"car",2.20095440084836,1.64564564564565
"people",0.977995758218452,1.12712712712713
"city",0.94220572640509,1.32332332332332
"sharing",1.01086956521739,0.943943943943944
"bike",0.748144220572641,1.2952952952953
"share",0.760074231177094,0.926926926926927
"company",0.679215270413574,0.738738738738739
"business",0.551961823966066,0.724724724724725
"cars",0.843584305408271,0.573573573573574
"service",0.542682926829268,0.582582582582583
"companies",0.395811240721103,0.603603603603604
"zipcar",0.817868504772004,0.428428428428428
"sharingeconomy",0.0376458112407211,0.311311311311311
"services",0.341993637327678,0.469469469469469
"work",0.456256627783669,0.457457457457457
"uber",0,0.125125125125125
"public",0.473753976670201,0.535535535535536
"market",0.410392364793213,0.674674674674675
"members",0.53711558854719,0.375375375375375
"vehicles",0.580593849416755,0.348348348348348
"transportation",0.43186638388123,0.56956956956957
"drivers",0.202014846235419,0.273273273273273
"cities",0.304612937433722,0.473473473473473
"carsharing",0.488069989395546,0.308308308308308
"bikes",0.32237539766702,0.580580580580581
"local",0.337221633085896,0.397397397397397
"rental",0.330593849416755,0.554554554554555
"technology",0.282343584305408,0.347347347347347
"money",0.278101802757158,0.37037037037037
"airbnb",0.0522269353128314,0.399399399399399
"users",0.27067868504772,0.313313313313313
"university",0.401908801696713,0.25025025025025
"parking",0.389183457051962,0.309309309309309
"community",0.292152704135737,0.376376376376376
"businesses",0.230381760339343,0.254254254254254
"world",0.225874867444327,0.334334334334334
"government",0.246818663838812,0.208208208208208
"industry",0.203075291622481,0.408408408408408
"vehicle",0.332449628844115,0.267267267267267
"travel",0.257158006362672,0.334334334334334
"cost",0.292948038176034,0.239239239239239
"home",0.214475079533404,0.287287287287287
"social",0.220837751855779,0.358358358358358
"economy",0.177359490986214,0.209209209209209
"consumers",0.199628844114528,0.161161161161161
"costs",0.278897136797455,0.19019019019019
"global",0.23966065747614,0.319319319319319
"rent",0.174443266171792,0.274274274274274
"economic",0.23356309650053,0.227227227227227
"insurance",0.185577942735949,0.176176176176176
"provide",0.209172852598091,0.212212212212212
"network",0.222163308589608,0.285285285285285
"transport",0.266702014846235,0.179179179179179
"customers",0.191410392364793,0.225225225225225
"students",0.272004241781548,0.159159159159159
"state",0.186638388123012,0.175175175175175
"ride",0.148992576882291,0.216216216216216
"energy",0.277836691410392,0.199199199199199
"green",0.289766702014846,0.126126126126126
"app",0.107104984093319,0.178178178178178
"making",0.176564156945917,0.168168168168168
"residents",0.223488865323436,0.194194194194194
"president",0.200424178154825,0.205205205205205
"idea",0.16118769883351,0.229229229229229
"working",0.15694591728526,0.159159159159159
"drive",0.212354188759279,0.152152152152152
"benefits",0.15270413573701,0.121121121121121
"stations",0.151643690349947,0.385385385385385
"taxi",0,0.12012012012012
"states",0.176829268292683,0.182182182182182
"research",0.168345705196182,0.222222222222222
"employees",0.155620360551432,0.144144144144144
"private",0.139713679745493,0.18018018018018
"consumer",0.135737009544008,0.147147147147147
"model",0.113467656415695,0.166166166166166
"financial",0.164899257688229,0.135135135135135
"growing",0.137062566277837,0.183183183183183
"mobile",0.150583244962884,0.212212212212212
"hertz",0.246553552492047,0.102102102102102
"space",0.123806998939555,0.177177177177177
"driving",0.165694591728526,0.168168168168168
"capital",0.137327677624602,0.173173173173173
"electric",0.213679745493107,0.189189189189189
"bikeshare",0.126458112407211,0.315315315315315
"london",0.162778366914104,0.112112112112112
"shared",0.125397667020148,0.188188188188188
"national",0.17762460233298,0.18018018018018
"road",0.207582184517497,0.104104104104104
"demand",0.161452810180276,0.146146146146146
"office",0.142099681866384,0.165165165165165
"street",0.16542948038176,0.232232232232232
"urban",0.17576882290562,0.191191191191191
"tax",0.0980911983032874,0.123123123123123
"experience",0.121155885471898,0.204204204204204
"lyft",0,0.165165165165165
"traffic",0.191940615058324,0.158158158158158
"systems",0.12592788971368,0.157157157157157
"fuel",0.193531283138918,0.123123123123123
"personal",0.110021208907741,0.116116116116116
"bicycle",0.141304347826087,0.182182182182182
"markets",0.115853658536585,0.14014014014014
"sales",0.161983032873807,0.211211211211211
"owners",0.0914634146341463,0.146146146146146
"health",0.111876988335101,0.168168168168168
"price",0.122481442205726,0.124124124124124
"sustainable",0.180540827147402,0.126126126126126
"member",0.147667020148462,0.131131131131131
"house",0.0949098621420997,0.133133133133133
"workers",0.0310180275715801,0
"jobs",0.102863202545069,0
"innovation",0.0694591728525981,0.195195195195195
"gas",0.196712619300106,0
"products",0.113467656415695,0.184184184184184
"membership",0.155355249204666,0.143143143143143
"opportunity",0.0927889713679746,0.105105105105105
"america",0.117709437963945,0.181181181181181
"environmental",0.187698833510074,0
"ridesharing",0,0.137137137137137
"companys",0.10949098621421,0.104104104104104
"citys",0.115853658536585,0.16016016016016
"country",0.0941145281018028,0.131131131131131
"issues",0.0970307529162248,0
"safety",0.0251855779427359,0.125125125125125
"school",0.12592788971368,0.106106106106106
"trips",0.0978260869565217,0.209209209209209
"environment",0.150318133616119,0.0950950950950951
"ownership",0.130434782608696,0
"worlds",0.139448568398727,0.13013013013013
"zipcars",0.172057264050901,0
"station",0.095440084835631,0.203203203203203
"europe",0.113997879109226,0.112112112112112
"platform",0.0585896076352068,0
"renting",0.0503711558854719,0.112112112112112
"rate",0.11558854718982,0
"college",0.13016967126193,0.128128128128128
"study",0.0795334040296925,0.104104104104104
"county",0.132290562036055,0.116116116116116
"american",0.102067868504772,0.123123123123123
"carshare",0.126193001060445,0.131131131131131
"communities",0.0840402969247084,0.112112112112112
"sustainability",0.128313891834571,0.102102102102102
"driver",0.0106044538706257,0.0950950950950951
"congestion",0.150318133616119,0
"investment",0.116914103923648,0.115115115115115
"brand",0.147401908801697,0
"projects",0.11558854718982,0.114114114114114
"traditional",0,0.114114114114114
"income",0.0554082714740191,0
"bus",0.10949098621421,0.123123123123123
"connect",0.0904029692470838,0
"alternative",0.140243902439024,0
"bicycles",0.0819194061505832,0.126126126126126
"international",0.0874867444326617,0.185185185185185
"peertopeer",0.0516967126193001,0
"food",0.0466595970307529,0.125125125125125
"cycling",0.10949098621421,0.0980980980980981
"digital",0.0450689289501591,0.105105105105105
"boston",0.102863202545069,0.118118118118118
"apps",0.0291622481442206,0.117117117117117
"enterprise",0.0623011664899258,0.266266266266266
"platforms",0,0
"marketing",0.100742311770944,0.115115115115115
"facebook",0.0994167550371156,0.107107107107107
"law",0.0360551431601273,0
"canada",0.0893425238600212,0.132132132132132
"smart",0.0911983032873807,0.124124124124124
"carbon",0.121951219512195,0
"bixi",0.0676033934252386,0.119119119119119
"chicago",0.0623011664899258,0.129129129129129
"prices",0.0957051961823966,0
"rates",0.117179215270414,0
"room",0,0.131131131131131
"quality",0.0442735949098621,0.0970970970970971
"hotel",0,0.128128128128128
"mobility",0.0689289501590668,0.163163163163163
"startup",0.0196182396606575,0.0980980980980981
"works",0.0630965005302227,0.0990990990990991
"emissions",0.110816542948038,0
"startups",0.0217391304347826,0.109109109109109
"competition",0.0167020148462354,0
"benefit",0.0516967126193001,0
"regulations",0,0
"phone",0.0593849416755037,0.0960960960960961
"rides",0,0.109109109109109
"improve",0.0771474019088017,0.102102102102102
"countries",0.0278366914103924,0.0990990990990991
"rentals",0.0201484623541888,0.112112112112112
"washington",0.102332979851538,0
"charging",0.0697242841993637,0.106106106106106
"property",0.00344644750795334,0.118118118118118
"exchange",0.0485153764581124,0
"federal",0.0509013785790032,0
"commission",0.0543478260869565,0
"opportunities",0.0227995758218452,0.113113113113113
"regulatory",0,0
"job",0.0196182396606575,0
"ford",0.0904029692470838,0
"friends",0.0689289501590668,0
"association",0.0304878048780488,0
"customer",0.0307529162248144,0.108108108108108
"collaborativeconsumption",0.0588547189819724,0
"popular",0.0296924708377519,0.0970970970970971
"ubers",0,0
"flexcar",0.0861611876988335,0
"homes",0.0100742311770944,0
"rules",0,0
"innovative",0.0291622481442206,0.108108108108108
"toronto",0.0546129374337222,0.116116116116116
"legal",0,0
"budget",0.0368504772004242,0.158158158158158
"design",0.0410922587486744,0.141141141141141
"family",0.0501060445387063,0
"brands",0.0572640509013786,0
"trust",0,0
"technologies",0.0249204665959703,0.102102102102102
"corporate",0.0755567338282079,0
"bikesharing",0.045864262990456,0.111111111111111
"climate",0.0742311770943796,0
"security",0.0485153764581124,0
"owning",0.0689289501590668,0
"infrastructure",0.0379109225874867,0.116116116116116
"riders",0,0.13013013013013
"reducing",0.0681336161187699,0
"passengers",0,0
"leader",0.0676033934252386,0
"laws",0,0
"team",0.0668080593849417,0
"cyclists",0.0662778366914104,0
"leaders",0.0429480381760339,0
"rooms",0,0
"chairman",0.0646871686108165,0
"regulation",0,0
"individuals",0,0
"cash",0.0405620360551432,0
"relayrides",0.0638918345705196,0
"hybrid",0.0628313891834571,0
"governments",0.0143160127253446,0
"airport",0.0198833510074231,0.155155155155155
"avis",0,0.227227227227227
"helmets",0.0344644750795334,0.0970970970970971
"vancouver",0.0315482502651113,0.107107107107107
"hosts",0,0
"ondemand",0,0
"taxis",0,0
"apartment",0,0.119119119119119
"european",0.0554082714740191,0
"hotels",0,0
