"","x.before","x.after"
"sharing",25,24.6
"sharingeconomy",1,17.8
"people",5.5,47
"research",0,22.6
"social",4,21.4
"collaborativeconsumption",0,54.6
"business",2.5,19.8
"platforms",0,20.6
"consumer",0.5,40.2
"trust",0,110.2
"services",5,4.2
"companies",0,9.2
"consumption",0,15.2
"users",2,22.6
"service",6.5,6.4
"consumers",0,19.2
"goods",1.5,14
"online",0,20
"airbnb",0,10.6
"model",6.5,8.4
"platform",0,7
"economic",2,21.8
"car",1.5,6.4
"law",10,5.8
"data",1.5,7.8
"value",2.5,5
"community",7,7.6
"company",0.5,6
"share",3,7
"systems",0,22.6
"technology",1,4.6
"public",0,4
"work",6,11.4
"local",7,9.4
"ownership",2.5,4.4
"members",0,7.4
"uber",0,0
"shared",1.5,0
"sustainable",3,3.4
"collaborative",3,5
"environmental",0,4.2
"internet",0,14.2
"traditional",3,0
"models",1,0
"peertopeer",0,0
"products",0,5.8
"innovation",0.5,0
"sustainability",0,3.2
"quality",0,0
"participants",0,4.2
"drivers",0,0
"respondents",0,10.4
"money",1,8.4
"development",0,13.6
"product",0,8.2
"costs",0,4
"network",5,0
"legal",7.5,7.4
"p2p",0,30
"cost",1,3.8
"process",0,4.2
"society",0,14.6
"city",1,0
"markets",0,0
"tourism",0,0
"private",0,0
"regulation",0,0
"experience",0,3
"potential",0,0
"according",0,6.2
"university",0,6
"impact",0,0
"income",0,22.4
"review",0,0
"relationship",0,4.2
"theory",0,3.2
"things",0,5.4
"home",0,7.8
"benefits",0.5,0
"customers",0,0
"rental",0,3.6
"states",0,18.4
"space",1,4.2
"price",13,0
"accommodation",0,0
"environment",0,6
"belk",0,0
"botsman",0,10
"clothes",0,0
"customer",0,0
"user",0,5.2
"place",0,7.8
"industry",0,0
"policy",0,0
"demand",9,0
"individual",1,3.8
"cities",0,0
"technologies",1,4.8
"taxi",0,0
"media",0,6.2
"ridesharing",0,0
"financial",1.5,0
"rent",0,19.2
"regulatory",0,0
"lyft",0,0
"businesses",0,9.4
"international",1.5,0
"global",1,5.4
"networks",7,4.2
"carsharing",0,3
"communities",2,12
"cars",0,0
"marketing",0,5
"culture",0,6
"rules",1,0
"food",0,5.4
"design",0.5,5.8
"government",0.5,10.8
"safety",0,4.8
"hotel",0,6.6
"transactions",7,5.4
"collaborativeconomy",0,0
"driver",0,0
"relationships",0,8.6
"hosts",0,0
"ride",0,0
"buy",0,6.2
"digital",0,0
"interest",0.5,0
"fashion",0,0
"transportation",0,0
"european",0,0
"pay",0,0
"providers",1.5,0
"discussion",0,3.2
"owners",0,3.2
"clothing",0,0
"communication",1.5,11.2
"regulations",0,4.8
"peer",0,0
"rise",0,0
"renting",0,6.2
"possessions",0,0
"provided",0,0
"urban",1,0
"economics",3,0
"reasons",0,3.2
"mobility",0,0
"lack",0,0
"insurance",1.5,0
"instance",0,3.6
"swapping",0,0
"concerns",0.5,0
"political",0,7.8
"capital",0,6.2
"offer",0,3.6
"mobile",1.5,4.6
"commission",0.5,0
"issue",0,6.8
"travel",0,0
"challenges",0,0
"facebook",0,3.2
"vehicle",0,0
"strategy",0,0
"right",0,5.6
"opportunities",0,0
"participant",0,3
"limited",0,0
"commercial",0,3.6
"rate",15,4.4
"guests",0,0
"que",0,0
"tax",0,10.6
"press",0,4.4
"waste",0,0
"positive",0,0
"craigslist",0,0
"working",1,4.2
"negative",0,0
"room",0,6.6
"barcelona",0,0
"governments",0,0
"owning",0,0
"laws",0,3.8
"benefit",0,0
"compared",0,0
"competitive",0.5,0
"science",0,0
"presented",0,0
"period",1.5,0
"american",0,12.2
"cultural",0,0
"opportunity",0,0
"housing",0,0
"vehicles",0,0
"advantage",0,0
"success",0,0
"francisco",0,0
"rentals",0,0
"parking",0,0
"protection",0,0
"suppliers",0,0
"governance",0,0
"problems",0,0
"norms",0,0
"indicators",0,3.2
"nature",1,0
"health",0.5,0
"family",0.5,4.6
"computer",0.5,0
"reputation",0,8.4
"dependent",0,0
"reform",0,0
"reviews",0,0
"hotels",0,0
"household",0.5,0
"etsy",0,0
"experiences",0,3.4
"changes",0,6.8
"institutions",0,0
"identity",0,4.8
