"","x.before","x.after"
"business",2.40583333333333,3.5275
"social",2.21583333333333,2.5275
"people",1.2425,1.5825
"sharing",0.630833333333333,0.7075
"sharingeconomy",0.435,0.42
"economy",0.9525,1.1275
"services",0.795833333333333,1.0325
"share",0.658333333333333,1.1125
"world",0.975833333333333,1.775
"technology",1.10166666666667,1.0275
"companies",0.5475,0.86
"community",1.01833333333333,1.72
"work",0.9275,1.06
"research",0.929166666666667,1.0125
"design",0.8025,1.4625
"collaborativeconsumption",0.0816666666666667,0.295
"marketing",0.79,1.2425
"service",0.668333333333333,0.8075
"company",0.604166666666667,1.0575
"global",0.776666666666667,1.0775
"economic",0.729166666666667,1.07
"innovation",0.593333333333333,0.775
"digital",0.6425,0.7625
"money",0.573333333333333,1.16
"development",0.73,0.99
"facebook",0.451666666666667,0.6
"car",0.314166666666667,0.415
"help",0.4975,0.9575
"mobile",0.618333333333333,0.7125
"public",0.735,1.1975
"collaborativeconomy",0.0741666666666667,0
"international",0.4675,0.675
"local",0.445,1.14
"systems",0.72,0.5375
"internet",0.771666666666667,0.8225
"model",0.388333333333333,0.4575
"industry",0.576666666666667,0.67
"network",0.689166666666667,0.6825
"access",0.464166666666667,0.56
"airbnb",0,0.2875
"software",0.706666666666667,0.3575
"city",0.4275,0.8325
"green",0.499166666666667,2.6875
"group",0.5975,0.79
"energy",0.609166666666667,1.1325
"experience",0.458333333333333,0.5525
"food",0.361666666666667,0.7975
"privacy",0.403333333333333,0.4
"businesses",0.130833333333333,0.46
"uber",0,0
"growth",0.290833333333333,0.61
"law",0.6,1.0575
"conference",0.266666666666667,0.3675
"customer",0.261666666666667,0.3375
"university",0.523333333333333,0.4
"financial",0.51,0.6325
"jobs",0.29,0.5675
"used",0.341666666666667,0.4125
"science",0.339166666666667,0.3225
"consumer",0.245833333333333,0.5
"collaborative",0.175833333333333,0
"society",0.34,0.4575
"space",0.145833333333333,0.3575
"capital",0.484166666666667,0.7475
"culture",0.355833333333333,0.5
"sustainable",0.224166666666667,0.585
"tech",0.306666666666667,0.37
"customers",0.0941666666666667,0.385
"books",0.368333333333333,0.4925
"ideas",0.235,0.5625
"personal",0.351666666666667,0.355
"recent",0.3925,0.525
"government",0.471666666666667,0.6325
"corporate",0.550833333333333,0.5125
"communities",0.26,0.8725
"users",0.316666666666667,0
"health",0.413333333333333,0.5075
"platform",0.281666666666667,0.38
"learn",0.295,0.45
"working",0.295833333333333,0.3775
"trust",0,0.3925
"goods",0.100833333333333,0
"team",0.258333333333333,0.3525
"building",0.27,0.56
"job",0.33,0.395
"cities",0.0716666666666667,0.485
"state",0.285,0.84
"impact",0.304166666666667,0.365
"markets",0.32,0.35
"user",0.370833333333333,0.3575
"travel",0.199166666666667,0.525
"finance",0.329166666666667,0.3775
"climate",0.226666666666667,0.745
"consumers",0,0.2775
"startups",0.116666666666667,0
"learning",0.295,0.295
"environment",0.269166666666667,0.435
"members",0.289166666666667,0.4775
"cost",0.266666666666667,0.2975
"provide",0.175833333333333,0.3575
"collaboration",0.09,0
"sustainability",0.22,0.7025
"trends",0.166666666666667,0.325
"startup",0.2675,0
"sales",0.2725,0.3675
"security",0.335833333333333,0.2875
"cars",0,0
"peertopeer",0,0
"private",0.3025,0.335
"enterprise",0.254166666666667,0.3525
"shared",0,0
"economics",0.431666666666667,0.415
"platforms",0,0
"brand",0,0.3325
"app",0.13,0
"states",0.280833333333333,0.405
"demand",0.0933333333333333,0
"national",0.2525,0.575
"production",0.365833333333333,0.3975
"ownership",0.085,0
"together",0.0675,0.275
"rise",0,0
"legal",0.363333333333333,0.635
"benefits",0.07,0.295
"music",0.345,0.2675
"ondemand",0,0
"advertising",0.2775,0.39
"technologies",0.208333333333333,0.31
"opportunities",0.0633333333333333,0.2625
"billion",0.141666666666667,0.3625
"workers",0,0
"drivers",0.0975,0
"rent",0,0
"member",0.334166666666667,0.3475
"traditional",0.07,0
"environmental",0.184166666666667,0.51
"consumption",0.174166666666667,0
"costs",0.1625,0
"politics",0.234166666666667,0
"american",0.33,0.3225
"leadership",0.324166666666667,0.3375
"investment",0.313333333333333,0.54
"funding",0.145,0.35
"house",0.143333333333333,0.5725
"problem",0.219166666666667,0
"europe",0.146666666666667,0
"london",0.135,0.2825
"political",0.329166666666667,0.2825
"brands",0,0
"changing",0,0
"past",0.11,0
"transportation",0.0808333333333333,0.36
"price",0.0958333333333333,0.3075
"connect",0,0
"lyft",0,0
"trend",0,0
"entrepreneurs",0,0
"smart",0.223333333333333,0
"tax",0.2225,0.435
"rental",0,0
"quality",0.0825,0.2675
"care",0.181666666666667,0
"risk",0.184166666666667,0.47
"theory",0.22,0
"china",0.249166666666667,0
"renting",0,0
"opportunity",0,0
"zipcar",0,0
"european",0.0658333333333333,0
"p2p",0.0991666666666667,0
"institute",0.223333333333333,0.3975
"countries",0.155,0.32
"virtual",0.175833333333333,0
"hotel",0.0725,0
"apps",0,0
"oil",0.25,0
"carbon",0.165,0.4575
"performance",0.215833333333333,0.2775
"oxford",0.270833333333333,0
"taxi",0,0
"offers",0,0
"driver",0.111666666666667,0
"corporations",0.273333333333333,0
"friends",0,0
"buying",0,0
"manufacturing",0,0
"employees",0,0
"adobe",0,0
"challenges",0.0691666666666667,0
"rachelbotsman",0,0
"income",0,0
"president",0.239166666666667,0
"library",0.259166666666667,0
"family",0.255833333333333,0.285
"crowdfunding",0,0.455
"ondemandeconomy",0,0
"urban",0,0.3725
"retail",0.15,0
"waste",0,0.2725
"association",0.0675,0.3275
"organization",0.0775,0
"groups",0.193333333333333,0
"room",0,0
"safety",0.0666666666666667,0
"drive",0,0
"crisis",0.065,0
"regulation",0,0
"canada",0,0
"taskrabbit",0,0
"entrepreneurship",0.15,0.315
"nature",0.0675,0.265
"jeremiahowyang",0,0
"usa",0,0
"michigan",0,0.75
"israel",0.155833333333333,0.265
"rules",0.0833333333333333,0
"fuel",0.24,0
"hardware",0.085,0
"cultural",0.1475,0.2675
"board",0.1325,0.3025
"amazon",0.128333333333333,0
"infographic",0.135,0
"regulations",0,0
"providers",0,0
"students",0,0
"ride",0,0
"carsharing",0,0
"seats",0,0
"crowdsourcing",0,0
"employment",0.0933333333333333,0
"coworking",0,0
"programmeoxford",0.201666666666667,0
"driving",0,0
"foundation",0,0
"career",0.0825,0
"individual",0.0758333333333333,0
"works",0.0691666666666667,0
"blogs",0.0808333333333333,0.3425
"independent",0,0
"africa",0,0
"sell",0,0
"apple",0.184166666666667,0
"tourism",0,0
"lifestyle",0,0.535
"natural",0.0591666666666667,0
"owners",0.0683333333333333,0
"california",0,0.2625
