"","GSE.2007.X","GSE.2007.Y","GSE.2008.X","GSE.2008.Y","GSE.2009.X","GSE.2009.Y","GSE.2010.X","GSE.2010.Y","GSE.2011.X","GSE.2011.Y","GSE.2012.X","GSE.2012.Y","GSE.2013.X","GSE.2013.Y","GSE.2014.X","GSE.2014.Y","GSE.2015.X","GSE.2015.Y"
"business",2.3275,2.5625,2.40583333333333,3.5275,2.68625,3.39,2.827,4.355,3.08166666666667,4.3475,3.2625,4.5825,3.4275,3.89,3.47888888888889,4.1425,3.54525,4.14
"social",2.00625,2.635,2.21583333333333,2.5275,2.29375,4.065,2.648,3.63,2.81166666666667,3.135,2.85785714285714,3.12,2.890625,3.0775,2.91138888888889,3.905,3.01075,2.4225
"people",1.33,1.0675,1.2425,1.5825,1.3275,2.395,1.541,2.4275,1.68875,2.395,1.78964285714286,3.715,2.0303125,3.2425,2.165,3.465,2.295,3.515
"sharing",0.71,0.4725,0.630833333333333,0.7075,0.65,1.2775,0.7755,2.3825,1.04333333333333,2.2,1.20857142857143,3.1125,1.4465625,2.9,1.60805555555556,4.0925,1.8565,3.4625
"sharingeconomy",0.4775,0.35,0.435,0.42,0.43125,0.4075,0.4265,1.07,0.53375,0.9875,0.598571428571429,2.285,0.809375,3.5225,1.11083333333333,4.1275,1.4125,3.8775
"economy",1.03125,0.795,0.9525,1.1275,0.99625,1.25,1.047,1.645,1.14666666666667,1.7225,1.22892857142857,2.1225,1.340625,1.575,1.36666666666667,2.085,1.4385,2.715
"services",0.79125,0.805,0.795833333333333,1.0325,0.855,1.0225,0.8885,1.125,0.927916666666667,1.175,0.963214285714286,1.765,1.0634375,1.8625,1.15222222222222,3.4,1.377,2.5825
"share",0.6625,0.65,0.658333333333333,1.1125,0.771875,1.11,0.8395,1.4875,0.9475,1.845,1.07571428571429,2.235,1.220625,2.0775,1.31583333333333,2.3775,1.422,2.015
"world",0.99,0.9475,0.975833333333333,1.775,1.175625,1.8525,1.311,1.7325,1.38125,1.4675,1.39357142857143,1.7975,1.4440625,1.41,1.44027777777778,1.29,1.42525,1.445
"technology",1.06875,1.1675,1.10166666666667,1.0275,1.083125,2.3575,1.338,1.61,1.38333333333333,0.95,1.32142857142857,1.34,1.32375,1.3775,1.32972222222222,1.47,1.34375,1.7075
"companies",0.55,0.5425,0.5475,0.86,0.625625,0.8125,0.663,0.9325,0.707916666666667,1.06,0.758214285714286,1.7375,0.880625,1.915,0.995555555555556,2.855,1.1815,3.0675
"community",0.9975,1.06,1.01833333333333,1.72,1.19375,1.47,1.249,1.42,1.2775,1.3,1.28071428571429,2.0125,1.3721875,1.0825,1.34,1.1125,1.31725,1.025
"work",0.94125,0.9,0.9275,1.06,0.960625,1.31,1.0305,1.29,1.07375,1.295,1.10535714285714,1.465,1.1503125,1.085,1.14305555555556,1.49,1.17775,1.8
"research",0.88625,1.015,0.929166666666667,1.0125,0.95,2.3625,1.2325,1.2725,1.23916666666667,0.97,1.20071428571429,1.155,1.195,1.27,1.20333333333333,1.21,1.204,1.375
"design",0.7925,0.8225,0.8025,1.4625,0.9675,3.1775,1.4095,1.8075,1.47583333333333,1.1575,1.43035714285714,1.5575,1.44625,0.7975,1.37416666666667,0.435,1.28025,0.4875
"collaborativeconsumption",0,0.245,0.0816666666666667,0.295,0.135,0.305,0.169,2.115,0.493333333333333,1.765,0.675,2.65,0.921875,2.0075,1.0425,1.5925,1.0975,1.835
"marketing",0.685,1,0.79,1.2425,0.903125,1.45,1.0125,1.125,1.03125,1.2525,1.06285714285714,0.9825,1.0528125,1.4775,1.1,1.6725,1.15725,1.1775
"service",0.62125,0.7625,0.668333333333333,0.8075,0.703125,0.97,0.7565,1.0175,0.8,1.07,0.838571428571429,1.2775,0.8934375,1.24,0.931944444444444,1.9025,1.029,1.89
"company",0.59125,0.63,0.604166666666667,1.0575,0.7175,0.745,0.723,0.7225,0.722916666666667,0.9325,0.752857142857143,1.5275,0.8496875,1.02,0.868611111111111,1.4675,0.9285,1.67
"global",0.76875,0.7925,0.776666666666667,1.0775,0.851875,1.1025,0.902,1.2175,0.954583333333333,1.0875,0.973571428571429,1.13,0.993125,0.785,0.97,0.895,0.9625,1.07
"economic",0.78875,0.61,0.729166666666667,1.07,0.814375,0.9,0.8315,1.1525,0.885,0.78,0.87,1.23,0.915,0.885,0.911666666666667,1.0525,0.92575,1.125
"innovation",0.485,0.81,0.593333333333333,0.775,0.63875,1.7625,0.8635,1.17,0.914583333333333,1.1425,0.947142857142857,1.3675,0.9996875,0.7525,0.972222222222222,0.7425,0.94925,0.78
"digital",0.6125,0.7025,0.6425,0.7625,0.6725,1.2075,0.7795,1.0725,0.828333333333333,0.87,0.834285714285714,0.7075,0.8184375,0.995,0.838055555555556,1.4575,0.9,0.9325
"money",0.54875,0.6225,0.573333333333333,1.16,0.72,0.6525,0.7065,0.97,0.750416666666667,0.6825,0.740714285714286,1.2175,0.8003125,1.0625,0.829444444444444,1,0.8465,1.0825
"development",0.73375,0.7225,0.73,0.99,0.795,2.3275,1.1015,1.005,1.08541666666667,0.5175,1.00428571428571,0.9225,0.9940625,0.4275,0.931111111111111,0.495,0.8875,0.58
"facebook",0.43875,0.4775,0.451666666666667,0.6,0.48875,0.94,0.579,0.8275,0.620416666666667,1.1475,0.695714285714286,1.11,0.7475,1,0.775555555555556,1.2925,0.82725,1.0175
"car",0.33875,0.265,0.314166666666667,0.415,0.339375,0.68,0.4075,0.68,0.452916666666667,0.925,0.520357142857143,1.5725,0.651875,1.355,0.73,1.305,0.7875,1.33
"help",0.49875,0.495,0.4975,0.9575,0.6125,0.755,0.641,1.015,0.703333333333333,0.9675,0.741071428571429,0.995,0.7728125,0.9025,0.787222222222222,0.97,0.8055,0.84
"mobile",0.6125,0.63,0.618333333333333,0.7125,0.641875,0.7375,0.661,0.735,0.673333333333333,0.795,0.690714285714286,0.765,0.7,0.99,0.732222222222222,1.125,0.7715,1.0425
"public",0.825,0.555,0.735,1.1975,0.850625,1.1075,0.902,0.5125,0.837083333333333,0.4875,0.787142857142857,0.8375,0.7934375,0.71,0.784166666666667,0.8125,0.787,0.8425
"collaborativeconomy",0,0.2225,0.0741666666666667,0,0.055625,0.32,0.1085,0.37,0.152083333333333,0.41,0.188928571428571,0.7175,0.255,1.9525,0.443611111111111,2.405,0.63975,2.2025
"international",0.455,0.4925,0.4675,0.675,0.519375,3.9975,1.215,0.6725,1.12458333333333,0.45,1.02821428571429,0.485,0.9603125,0.365,0.894166666666667,0,0.80475,0.5
"local",0.48125,0.3725,0.445,1.14,0.61875,0.985,0.692,0.7,0.693333333333333,0.5875,0.678214285714286,1.14,0.7359375,0.905,0.754722222222222,0.745,0.75375,0.9875
"systems",0.5975,0.965,0.72,0.5375,0.674375,2.26,0.9915,0.9125,0.978333333333333,0.4975,0.909642857142857,0.665,0.8790625,0.5,0.836944444444444,0.3375,0.787,0.605
"internet",0.77625,0.7625,0.771666666666667,0.8225,0.784375,0.65,0.7575,0.7,0.747916666666667,0.79,0.753928571428571,0.7975,0.759375,0.7125,0.754166666666667,0.91,0.76975,0.665
"model",0.37,0.425,0.388333333333333,0.4575,0.405625,0.9225,0.509,0.605,0.525,0.65,0.542857142857143,1.27,0.63375,1.1,0.685555555555556,0.8175,0.69875,1.0075
"industry",0.59125,0.5475,0.576666666666667,0.67,0.6,0.805,0.641,0.8625,0.677916666666667,0.48,0.649642857142857,0.7325,0.66,0.725,0.667222222222222,1.0075,0.70125,0.8675
"network",0.7425,0.5825,0.689166666666667,0.6825,0.6875,0.695,0.689,0.7275,0.695416666666667,0.5825,0.679285714285714,0.925,0.71,0.6,0.697777777777778,0.635,0.6915,0.6875
"access",0.50625,0.38,0.464166666666667,0.56,0.488125,0.62,0.5145,0.5125,0.514166666666667,0.585,0.524285714285714,0.9275,0.5746875,0.805,0.600277777777778,0.9775,0.638,0.9675
"airbnb",0,0,0,0.2875,0.071875,0,0.0575,0,0.0479166666666667,0.4575,0.106428571428571,1.3075,0.2565625,1.485,0.393055555555556,1.82,0.53575,1.8625
"software",0.715,0.69,0.706666666666667,0.3575,0.619375,1.5025,0.796,0.6175,0.76625,0.3125,0.701428571428571,1.05,0.745,0.4325,0.710277777777778,0.3975,0.679,0.3975
"city",0.34625,0.59,0.4275,0.8325,0.52875,0.6625,0.5555,0.355,0.522083333333333,0.7225,0.550714285714286,0.8325,0.5859375,0.6875,0.597222222222222,0.95,0.6325,0.82
"green",0.3575,0.7825,0.499166666666667,2.6875,1.04625,0.6,0.957,0.55,0.889166666666667,0.685,0.86,0.445,0.808125,0.2725,0.748611111111111,0,0.67375,0.3125
"group",0.6075,0.5775,0.5975,0.79,0.645625,0.7625,0.669,0.6025,0.657916666666667,0.5075,0.636428571428571,0.69,0.643125,0.6675,0.645833333333333,0.62,0.64325,0.565
"energy",0.66,0.5075,0.609166666666667,1.1325,0.74,0.9275,0.7775,0.6425,0.755,0.505,0.719285714285714,0.7825,0.7271875,0.345,0.684722222222222,0.3175,0.648,0.485
"experience",0.47875,0.4175,0.458333333333333,0.5525,0.481875,0.65,0.5155,0.565,0.52375,0.525,0.523928571428571,0.5525,0.5275,0.785,0.556111111111111,0.9025,0.59075,0.57
"food",0.39,0.305,0.361666666666667,0.7975,0.470625,1.005,0.5775,0.415,0.550416666666667,0.515,0.545357142857143,0.8125,0.57875,0.6175,0.583055555555556,0.6225,0.587,0.5725
"privacy",0.4025,0.405,0.403333333333333,0.4,0.4025,0.58,0.438,0.49,0.446666666666667,0.6175,0.471071428571429,0.6175,0.489375,0.7825,0.521944444444444,0.7,0.53975,0.965
"businesses",0.19625,0,0.130833333333333,0.46,0.213125,0.3475,0.24,0.65,0.308333333333333,0.725,0.367857142857143,0.81,0.423125,0.7975,0.464722222222222,1.1175,0.53,1.04
"uber",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5575,0.0619444444444444,2.18,0.27375,3.595
"growth",0.27625,0.32,0.290833333333333,0.61,0.370625,0.5475,0.406,0.6125,0.440416666666667,0.5325,0.453571428571429,0.635,0.47625,0.6475,0.495277777777778,0.78,0.52375,0.8475
"law",0.4425,0.915,0.6,1.0575,0.714375,0.795,0.7305,0.405,0.67625,0.485,0.648928571428571,0.33,0.6090625,0.4,0.585833333333333,0.3425,0.5615,0.4425
"conference",0.21375,0.3725,0.266666666666667,0.3675,0.291875,3.5775,0.949,0,0.790833333333333,0.31,0.722142857142857,0,0.631875,0.325,0.597777777777778,0.34,0.572,0.3
"customer",0.1725,0.44,0.261666666666667,0.3375,0.280625,0.5175,0.328,0.725,0.394166666666667,0.605,0.424285714285714,0.66,0.45375,0.6525,0.475833333333333,0.9375,0.522,0.7825
"university",0.565,0.44,0.523333333333333,0.4,0.4925,1.555,0.705,0.4125,0.65625,0.37,0.615357142857143,0.4025,0.58875,0.3425,0.561388888888889,0.335,0.53875,0.5325
"financial",0.52375,0.4825,0.51,0.6325,0.540625,0.475,0.5275,0.545,0.530416666666667,0.355,0.505357142857143,0.595,0.5165625,0.49,0.513611111111111,0.5475,0.517,0.6775
"jobs",0.285,0.3,0.29,0.5675,0.359375,0.7675,0.441,0.445,0.441666666666667,0.44,0.441428571428571,0.515,0.450625,0.5475,0.461388888888889,0.5725,0.4725,0.99
"used",0.37125,0.2825,0.341666666666667,0.4125,0.359375,0.42,0.3715,0.5925,0.408333333333333,0.42,0.41,0.905,0.471875,0.585,0.484444444444444,0.705,0.5065,0.6425
"science",0.3925,0.2325,0.339166666666667,0.3225,0.335,1.6825,0.6045,0.525,0.59125,0.3675,0.559285714285714,0.585,0.5625,0.4375,0.548611111111111,0.2925,0.523,0.4775
"consumer",0.205,0.3275,0.245833333333333,0.5,0.309375,0.3825,0.324,0.49,0.351666666666667,0.325,0.347857142857143,0.7975,0.4040625,0.73,0.440277777777778,0.865,0.48275,0.805
"collaborative",0.13625,0.255,0.175833333333333,0,0.131875,0.4575,0.197,0.7775,0.29375,0.7475,0.358571428571429,0.945,0.431875,0.685,0.46,0.8,0.494,0.675
"society",0.385,0.25,0.34,0.4575,0.369375,1.285,0.5525,0.4475,0.535,0.405,0.516428571428571,0.605,0.5275,0.3725,0.510277777777778,0.495,0.50875,0.375
"space",0.10375,0.23,0.145833333333333,0.3575,0.19875,0.605,0.28,0.43,0.305,0.7225,0.364642857142857,0.73,0.4103125,0.7225,0.445,0.76,0.4765,0.605
"capital",0.36125,0.73,0.484166666666667,0.7475,0.55,0.3525,0.5105,0.33,0.480416666666667,0.365,0.463928571428571,0.505,0.4690625,0.5675,0.48,0.565,0.4885,0.475
"culture",0.3275,0.4125,0.355833333333333,0.5,0.391875,0.5475,0.423,0.5825,0.449583333333333,0.49,0.455357142857143,0.5725,0.47,0.5625,0.480277777777778,0.545,0.48675,0.485
"sustainable",0.1875,0.2975,0.224166666666667,0.585,0.314375,0.95,0.4415,0.7075,0.485833333333333,0.5025,0.488214285714286,0.6425,0.5075,0.3475,0.489722222222222,0.49,0.48975,0.45
"tech",0.30875,0.3025,0.306666666666667,0.37,0.3225,0,0.258,0.3675,0.27625,0.4125,0.295714285714286,0.61,0.335,0.6025,0.364722222222222,0.7575,0.404,1.2975
"customers",0,0.2825,0.0941666666666667,0.385,0.166875,0.3175,0.197,0.6225,0.267916666666667,0.46,0.295357142857143,0.7,0.3459375,0.675,0.3825,0.8875,0.433,0.955
"books",0.3775,0.35,0.368333333333333,0.4925,0.399375,0.5725,0.434,1.115,0.5475,0.4175,0.528928571428571,0.4725,0.521875,0.4875,0.518055555555556,0.2975,0.496,0.315
