"","GSE.2007.X","GSE.2007.Y","GSE.2008.X","GSE.2008.Y","GSE.2009.X","GSE.2009.Y","GSE.2010.X","GSE.2010.Y","GSE.2011.X","GSE.2011.Y","GSE.2012.X","GSE.2012.Y","GSE.2013.X","GSE.2013.Y","GSE.2014.X","GSE.2014.Y","GSE.2015.X","GSE.2015.Y"
"business",88.3301707779886,97.2485768500949,68.202220647295,100,66.0824108241082,83.3948339483395,64.9138920780712,100,70.8836496070539,100,71.1947626841244,100,88.1105398457584,100,83.9804197679877,100,85.6340579710145,100
"social",76.1385199240987,100,62.8159697613984,71.6513111268604,56.4268142681427,100,60.8036739380023,83.3524684270953,64.6731838221201,72.110408280621,62.364585768841,68.0851063829787,74.3091259640103,79.1131105398457,70.2809629182593,94.2667471333736,72.7234299516908,58.5144927536232
"people",50.4743833017078,40.5123339658444,35.223245924876,44.8618001417434,32.6568265682657,58.9175891758918,35.3846153846154,55.7405281285878,38.8441633122484,55.0891316848764,39.053853947471,81.0692853246045,52.1931233933162,83.3547557840617,52.2631261315631,83.6451418225709,55.4347826086957,84.9033816425121
"sharing",26.9449715370019,17.9316888045541,17.8832978974722,20.0566973777463,15.990159901599,31.4268142681427,17.8071182548794,54.707233065442,23.998466551658,50.6037952846464,26.3736263736264,67.9214402618658,37.1866966580977,74.5501285347044,38.8184805203515,98.7929993964997,44.8429951690821,83.6352657004831
"sharingeconomy",18.1214421252372,13.2827324478178,12.3316796598157,11.9064493267186,10.6088560885609,10.0246002460025,9.79334098737084,24.5694603903559,12.2771707878091,22.7142035652674,13.0621151897748,49.8636115657392,20.8065552699229,90.5526992287918,26.8155300744316,99.6378998189499,34.1183574879227,93.6594202898551
"economy",39.1366223908918,30.1707779886148,27.0021261516655,31.9631467044649,24.5079950799508,30.750307503075,24.0413318025258,37.7726750861079,26.3753114816945,39.6204715353651,26.8178629880757,46.3175122749591,34.4633676092545,40.4884318766067,32.9913498290083,50.3319251659626,34.7463768115942,65.5797101449275
"services",30.0284629981025,30.550284629981,22.5608315615403,29.2700212615167,21.0332103321033,25.1537515375154,20.4018369690011,25.8323765786452,21.3436841096416,27.027027027027,21.0194061257891,38.5160938352428,27.3377249357326,47.879177377892,27.8146583517736,82.0760410380205,33.2608695652174,62.3792270531401
"share",25.1423149905123,24.6679316888046,18.6628868414836,31.5379163713678,18.9883148831488,27.3062730627306,19.2766934557979,34.1561423650976,21.794134560092,42.4381828637148,23.4743979424831,48.772504091653,31.3785347043702,53.4061696658098,31.7642325487829,57.3928786964393,34.3478260869565,48.6714975845411
"world",37.5711574952562,35.9582542694497,27.6635955587054,50.3189227498228,28.9206642066421,45.5719557195572,30.1033295063146,39.7818599311137,31.7711328349626,33.755031627372,30.4107240277453,39.2253136933988,37.1224293059126,36.2467866323907,34.7683229397171,31.1406155703078,34.4263285024155,34.9033816425121
"technology",40.5597722960152,44.3074003795066,31.2308055752422,29.128277817151,26.6451414514145,57.9950799507995,30.7233065442021,36.9690011481056,31.8190530956488,21.8516388729155,28.8364118151352,29.2416803055101,34.0295629820051,35.4113110539846,32.0995104941996,35.4858177429089,32.457729468599,41.243961352657
"companies",20.8728652751423,20.5882352941176,15.5209071580439,24.3798724309001,15.3905289052891,19.9876998769988,15.2238805970149,21.4121699196326,16.2833045811769,24.3818286371478,16.5458654820357,37.9159847244954,22.6381748071979,49.2287917737789,24.0327231274727,68.9197344598672,28.5386473429952,74.0942028985507
"community",37.8557874762808,40.2277039848197,28.8684148358138,48.7597448618001,29.3665436654367,36.1623616236162,28.6796785304248,32.6061997703789,29.384703852789,29.9022426682001,27.9479385862365,43.9170758319695,35.2747429305913,27.827763496144,32.3476161738081,26.8557634278817,31.8176328502415,24.7584541062802
