"","LN.2007.X","LN.2007.Y","LN.2008.X","LN.2008.Y","LN.2009.X","LN.2009.Y","LN.2010.X","LN.2010.Y","LN.2011.X","LN.2011.Y","LN.2012.X","LN.2012.Y","LN.2013.X","LN.2013.Y","LN.2014.X","LN.2014.Y","LN.2015.X","LN.2015.Y"
"car",100,78.036768426379,100,87.1988464871648,100,88.783421532125,100,87.5555060662101,96.922563352042,100,100,58.2196764320069,100,74.7696383446806,100,46.8026125270992,92.7195264073939,21.657622101628
"people",38.3707201889021,36.5230224321134,42.1498371335506,41.7537279980874,44.4957659738262,37.2779093093704,43.7415881561239,36.7350910657745,41.9632422913528,35.9874279727606,41.2622066754116,34.6651508526453,44.4350758853288,51.2108350219649,48.4114216770558,69.4992065563361,53.0785078755314,56.5860878145042
"city",18.7721369539552,25.7475965592849,25.1465798045603,32.2381436213131,29.9846035411855,34.2575243333446,32.5706594885599,53.3685138026859,38.4402088900264,42.4829753797801,40.4459991254918,31.4733712286838,42.8089616959768,60.1249768197489,49.0247335612307,50.4962766517714,50.2737188284657,17.9575727676369
"sharing",36.8358913813459,28.5832349468714,36.7426710097718,34.3709470161074,37.8367975365666,34.6549434091375,38.1965006729475,39.6370924794486,38.7337950068036,47.4070193818753,42.0346888208715,37.5337122868386,45.9286918814742,42.8879373230131,47.8182183792479,42.6715408087155,47.8853984580857,31.4257523433646
"bike",0,8.28006409175242,4.7557003257329,15.9960254609569,10.3156274056967,21.4606300928145,14.4818304172274,44.8040706062335,22.9192895164058,38.9209009952855,27.8968080454744,36.6852645386969,33.9918092026017,58.8515279914944,41.3834707420068,43.060347558681,42.5138024649174,8.2387765170202
"share",21.2514757969304,19.0554899645809,22.671009771987,26.4959806353286,25.8275596612779,31.6345584331117,28.7752355316285,35.1779195755105,30.6503905915384,30.5919329491881,31.3365398629937,28.9684302579798,34.533847265719,42.1147719630012,38.1359340438366,41.1649146525991,39.4370338738938,18.2042427232363
"company",26.3282172373082,23.8193624557261,28.2084690553746,18.7030451543496,25.4426481909161,21.6195977231316,25.114401076716,30.3648440601489,26.6576194033686,28.496595075956,27.7802069669144,26.5038915609969,30.8600337268128,33.5644726875755,33.1791675045244,41.6023222463104,35.3233432715308,30.8830784410458
"business",18.8902007083825,14.858745150953,18.957654723127,21.2460030481427,21.1701308698999,17.6454069652031,20.7806191117093,23.4283528762454,21.5883657870158,22.420115243583,22.3145314094155,22.2616528202885,25.0782943868947,32.9277482734481,28.2123466720289,33.9233889344914,29.7817600633888,46.3739516526887
"cars",46.9893742621018,40.8331927812449,49.3811074918566,38.8006156052954,47.3826020015396,30.3628173905746,43.4185733512785,34.257772785809,41.0433391254509,31.0633839706653,39.2071126657921,19.8779186707477,38.3281137075403,26.0602206639306,37.7538709028755,21.2385687168664,35.6293202584834,11.5934879131722
"service",26.4462809917356,19.6226176420982,25.8631921824104,17.5546125571527,23.518090839107,22.0965006140831,23.9300134589502,23.2160113093912,23.8196202745225,20.1676270298586,23.3493659816353,17.9790118058592,24.6567092266923,26.4695435015839,26.4327367786044,38.1030614966207,29.0083182352585,31.4750863344845
"companies",21.4876033057852,16.7869792545118,21.4983713355049,13.0429130681649,18.8221709006928,16.3736659226659,18.7079407806191,15.6424954249252,17.9283255311936,14.510214772132,17.3881358402565,12.1206821163096,17.9836184052035,27.4246301227751,21.0737985119646,33.1457754345604,23.6112241598442,41.4405525407005
"zipcar",52.4203069657615,25.4073199527745,43.5179153094464,31.0076801243164,40.2617397998459,46.0211289768133,43.7415881561239,32.1343571172671,40.6910357853184,31.3253012048193,39.0176359131321,16.484127678181,37.1597205492652,19.465574946182,35.3207319525437,0,29.8582543101269,0
"sharingeconomy",0,0,0,0,0,0,0,0,0,0,0,5.73712286838652,1.71043122139243,14.1443780566883,4.55459481198471,46.0735998709138,11.9076044089063,100
"services",13.2231404958678,8.96061730477316,12.442996742671,10.9101096733706,12.4711316397229,12.4789589798958,12.9475100942126,16.7749837814808,14.0529887897347,13.3053954950236,14.1670310450372,12.8479230432881,15.5384244760299,21.3302678732695,17.6855017092298,34.9440066531509,21.061415935239,43.8085841144548
"work",16.6469893742621,16.6735537190083,18.7622149837134,20.9178794489436,20.9006928406467,19.9504376048016,21.3728129205922,14.7931291575084,19.6311250085013,21.4772132006286,20.5946655006559,12.4439003060778,20.7299445916646,20.7845040897317,21.8982505529861,17.8365096546681,21.6308731054008,36.3591514553527
"uber",0,0,0,0,0,0,0,0,0,0,0,0,0,5.68503941185221,1.25678664789865,69.4992065563361,13.2165059642036,77.0103601381352
"public",15.702479338843,15.5392983639737,17.5895765472313,16.4061799599558,18.0908391070054,18.0428260409959,18.7617765814266,24.2069386213774,20.3357316887665,20.1676270298586,20.7549919836758,14.6660253607346,21.5249337509033,24.3319686827275,23.3460687713653,18.1281147171422,22.9057772177034,13.2215096201283
"market",16.5289256198347,7.82636194973857,13.6156351791531,9.92573887577326,12.70207852194,10.8097988615658,12.5437415881561,17.3412279597587,13.9159819352387,25.4583551597695,17.4464363795365,14.1811980760822,18.6461093712358,30.6537325087072,22.3406394530464,15.2606649361466,21.5543788586627,18.5989146521953
"members",32.5855962219598,23.9327879912296,31.7263843648209,23.2147446433374,29.6381832178599,24.4015312536817,28.9905787348586,21.446498252273,27.0099227435013,18.0199057097957,25.1275324296749,12.2014866637516,24.4037581305709,17.0551182355566,24.1403579328373,10.9837906865258,22.3278206867929,10.7054760730143
"vehicles",26.4462809917356,20.5300219261258,26.3843648208469,13.6991602665631,22.0169361046959,24.3220474385231,23.6339165545087,31.0726492829962,25.7768610530371,25.7202723939235,26.3518437545547,15.4336685614342,26.3791857383762,15.8271497225966,25.5177960989342,7.0957231868707,22.8122842494679,5.27873704982731
"transportation",12.6328217237308,8.39348962725586,11.7915309446254,13.4530675671637,13.2794457274827,15.8967630317144,14.6702557200538,25.6933295893568,17.7717462689124,21.5819800942902,19.2391779623961,12.4843025797988,19.621777884847,25.8782994027513,22.0993364166499,16.0868792798233,21.4948833334218,7.0054267390232
"drivers",11.6883116883117,9.41431944678698,11.85667752443,8.03902818037834,10.7775211701309,4.76902890951435,9.15208613728129,6.58258857247984,8.47485257096813,7.01938187532741,8.26410144293835,7.87844337560121,9.17851120211996,12.4161260754852,10.4061934446008,41.6995239338017,16.0892898972588,36.9511593487913
"cities",10.1534828807556,9.98144712430427,11.3355048859935,9.10542987777547,10.9699769053118,10.8892826767244,11.3593539703903,15.8548369917794,12.6437754292042,11.6291251964379,12.6512170237574,11.3530389156099,13.8400385449289,21.5121891344488,16.3080635431329,24.7864303103017,18.1206371161943,17.4148988653182
"carsharing",25.2656434474617,20.3031708551189,25.6026058631922,24.1991154409348,26.481909160893,19.2350832683745,25.0336473755047,18.2613747494602,23.2520204487533,20.0104766893662,22.8829616673954,10.9490161783996,22.1753794266441,14.0079371108039,21.6066760506736,8.40794596800432,19.7355156584443,0
"bikes",0,4.08331927812449,2.34527687296417,13.6171293667633,7.77521170130871,9.1406387432358,8.53297442799461,19.4646436283006,11.5868654088063,14.510214772132,12.6657921585774,14.019588981198,14.6470729944591,26.3785828709943,18.0575105570078,17.8851104984138,18.3926166601522,4.53872718302911
