"","GSC.2011.X","GSC.2011.Y","GSC.2010.X","GSC.2010.Y","GSC.2009.X","GSC.2009.Y","GSC.2008.X","GSC.2008.Y","GSC.2007.X","GSC.2007.Y","GSC.2012.X","GSC.2012.Y","GSC.2013.X","GSC.2013.Y","GSC.2014.X","GSC.2014.Y","GSC.2015.X","GSC.2015.Y","GSE.2007.X","GSE.2007.Y","GSE.2008.X","GSE.2008.Y","GSE.2009.X","GSE.2009.Y","GSE.2010.X","GSE.2010.Y","GSE.2011.X","GSE.2011.Y","GSE.2012.X","GSE.2012.Y","GSE.2013.X","GSE.2013.Y","GSE.2014.X","GSE.2014.Y","GSE.2015.X","GSE.2015.Y","LN.2007.X","LN.2007.Y","LN.2008.X","LN.2008.Y","LN.2009.X","LN.2009.Y","LN.2010.X","LN.2010.Y","LN.2011.X","LN.2011.Y","LN.2012.X","LN.2012.Y","LN.2013.X","LN.2013.Y","LN.2014.X","LN.2014.Y","LN.2015.X","LN.2015.Y"
"sharing",0,0,0,0,0,0,0,0,0,0,22.6860254083485,22.3230490018149,31.3974591651543,34.9364791288566,60.0482254539975,100,71.980847312747,100,26.9449715370019,17.9316888045541,17.8832978974722,20.0566973777463,15.990159901599,31.4268142681427,17.8071182548794,54.707233065442,23.998466551658,50.6037952846464,26.3736263736264,67.9214402618658,37.1866966580977,74.5501285347044,38.8184805203515,98.7929993964997,44.8429951690821,83.6352657004831,36.8358913813459,28.5832349468714,36.7426710097718,34.3709470161074,37.8367975365666,34.6549434091375,38.1965006729475,39.6370924794486,38.7337950068036,47.4070193818753,42.0346888208715,37.5337122868386,45.9286918814742,42.8879373230131,47.8182183792479,42.6715408087155,47.8853984580857,31.4257523433646
"sharingeconomy",0,0,0,0,0,0,0,0,0,0,0.907441016333938,16.1524500907441,16.5154264972777,17.5476406533575,30.5628814708762,63.1715771230502,42.4063735441821,87.041884816754,18.1214421252372,13.2827324478178,12.3316796598157,11.9064493267186,10.6088560885609,10.0246002460025,9.79334098737084,24.5694603903559,12.2771707878091,22.7142035652674,13.0621151897748,49.8636115657392,20.8065552699229,90.5526992287918,26.8155300744316,99.6378998189499,34.1183574879227,93.6594202898551,0,0,0,0,0,0,0,0,0,0,0,5.73712286838652,1.71043122139243,14.1443780566883,4.55459481198471,46.0735998709138,11.9076044089063,100
"people",0,0,0,0,0,0,0,0,0,0,4.99092558983666,42.6497277676951,44.6460980036297,59.1538112522686,97.0763318514052,48.7001733102253,63.2633027032803,43.6845549738219,50.4743833017078,40.5123339658444,35.223245924876,44.8618001417434,32.6568265682657,58.9175891758918,35.3846153846154,55.7405281285878,38.8441633122484,55.0891316848764,39.053853947471,81.0692853246045,52.1931233933162,83.3547557840617,52.2631261315631,83.6451418225709,55.4347826086957,84.9033816425121,38.3707201889021,36.5230224321134,42.1498371335506,41.7537279980874,44.4957659738262,37.2779093093704,43.7415881561239,36.7350910657745,41.9632422913528,35.9874279727606,41.2622066754116,34.6651508526453,44.4350758853288,51.2108350219649,48.4114216770558,69.4992065563361,53.0785078755314,56.5860878145042
"research",0,0,0,0,0,0,0,0,0,0,0,20.508166969147,20.508166969147,54.6279491833031,78.464320699269,42.2010398613517,52.4682124158564,49.8036649214659,33.6337760910816,38.5199240986717,26.3406567446256,28.7030474840539,23.370233702337,58.1180811808118,28.300803673938,29.2192881745121,28.5029710561626,22.3116733755032,26.2021666276986,25.2045826513912,30.719794344473,32.6478149100257,29.0484811909072,29.2094146047073,29.0821256038647,33.2125603864734,5.78512396694215,3.96989374262102,5.47231270358305,4.67576128858738,5.4272517321016,5.80231850657576,5.76043068640645,8.4936626741675,6.53718420023872,6.91461498166578,6.79201282611862,6.82798425885438,7.64875933509994,10.0966299954495,8.61652925799316,5.83210124948276,8.30387545146426,7.94277257030092
"social",0,0,0,0,0,0,0,0,0,0,3.62976406533575,19.4192377495463,20.8711433756805,50.6578947368421,73.7623389345188,56.9324090121318,57.4380275670477,39.5942408376964,76.1385199240987,100,62.8159697613984,71.6513111268604,56.4268142681427,100,60.8036739380023,83.3524684270953,64.6731838221201,72.110408280621,62.364585768841,68.0851063829787,74.3091259640103,79.1131105398457,70.2809629182593,94.2667471333736,72.7234299516908,58.5144927536232,1.18063754427391,6.12497891718672,4.16938110749186,3.93748319038938,4.31100846805234,5.00748035499004,4.71063257065949,9.83849259757737,6.14573604453579,11.4719748559455,7.76854685905842,12.1206821163096,10.0337268128162,16.2819528755447,11.9746631811783,12.9764252800991,12.3920679715813,12.0374938332511
"collaborativeconsumption",0,0,0,0,0,0,0,0,0,0,0,49.546279491833,49.546279491833,54.5485480943739,94.0396352950041,27.209705372617,51.8979057591623,38.6125654450262,0,9.29791271347249,2.31514292463974,8.36286321757619,3.3210332103321,7.50307503075031,3.88059701492537,48.564867967853,11.3475177304964,40.598044853364,14.7299509001637,57.8286961265685,23.6985861182519,51.6066838046272,25.1659625829813,38.4429692214846,26.5096618357488,44.3236714975845,0,0,0,0,0,0,0,0,0,5.29072812991096,1.4720886168197,4.88867512024485,2.67405444471211,0,2.232053086668,5.39469365577154,2.83028712931178,0
"business",0,0,0,0,0,0,0,0,0,0,2.26860254083485,17.967332123412,18.874773139746,25.8847549909256,42.1219199758872,46.8804159445407,39.5548402607115,46.6295811518324,88.3301707779886,97.2485768500949,68.202220647295,100,66.0824108241082,83.3948339483395,64.9138920780712,100,70.8836496070539,100,71.1947626841244,100,88.1105398457584,100,83.9804197679877,100,85.6340579710145,100,18.8902007083825,14.858745150953,18.957654723127,21.2460030481427,21.1701308698999,17.6454069652031,20.7806191117093,23.4283528762454,21.5883657870158,22.420115243583,22.3145314094155,22.2616528202885,25.0782943868947,32.9277482734481,28.2123466720289,33.9233889344914,29.7817600633888,46.3739516526887
"platforms",0,0,0,0,0,0,0,0,0,0,0,18.6932849364791,18.6932849364791,10.9573502722323,23.6078667771833,41.2478336221837,29.2078480606903,37.532722513089,0,0,0,0,0,0,0,0,0,6.78550891316849,0.919647728158366,14.9481723949809,3.14910025706941,15.1028277634961,4.20438543552606,18.1050090525045,5.59782608695652,26.3285024154589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99852149937929,1.2239079478105,17.5629008386778
"consumer",0,0,0,0,0,0,0,0,0,0,0.453720508166969,36.4791288566243,36.6606170598912,25.8053539019964,51.62384145882,18.8041594454073,30.3077251843147,36.0929319371729,7.77988614800759,12.4288425047438,6.96905268131348,14.1743444365698,7.61070110701107,9.40959409594096,7.43972445464983,11.2514351320321,8.08894000383363,7.47556066705003,7.59099056971398,17.4031642116749,10.3872107969152,18.7660668380463,10.628310869711,20.8811104405552,11.6606280193237,19.4444444444444,7.20188902007086,0,3.97394136807817,4.10154498998895,4.27251732101616,5.00748035499004,4.68371467025572,4.3883923816532,4.6190882372944,5.91932949188057,5.08672205217898,6.58557061652819,6.16718862924593,6.6856063483382,6.62577920772171,5.97790378071985,6.64650010547087,14.6521953626048
"trust",0,0,0,0,0,0,0,0,0,0,0,100,100,32.3956442831216,93.9416773415717,21.2305025996534,49.0463724756919,18.946335078534,0,0,0,11.1268603827073,2.41389913899139,0,1.80252583237658,10.2181400688863,3.21065746597661,16.561242093157,4.85542825968358,23.7861429350791,8.50739074550128,11.8251928020566,8.33500972306042,19.6137598068799,9.46859903381643,16.4251207729469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94992065563361,1.21540858706181,7.20276270350272
